Time(s),Depth(m),Pressure(Pa)
1.0,6.0,106609.30707626739
1.0,6.4,113654.85905664926
1.0,6.8,120703.89676633927
1.0,7.2,127812.03899000151
1.0,7.6,135009.4017687702
1.0,8.0,142202.27150132283
16.4,6.0,106589.48297664229
16.4,6.4,113691.00164103812
16.4,6.8,120791.40749097882
16.4,7.2,127932.404850304
16.4,7.6,135129.2483721472
16.4,8.0,142321.57434437075
52.8,6.0,106555.68399956169
52.8,6.4,113654.36260959684
52.8,6.8,120750.86597748485
52.8,7.2,127894.43112747649
52.8,7.6,135093.27241057457
52.8,8.0,142285.63022510914
112.8,6.0,106500.25236759195
112.8,6.4,113618.79599909986
112.8,6.8,120735.81943603588
112.8,7.2,127897.98750361068
112.8,7.6,135093.66764385518
112.8,8.0,142284.01736740695
152.8,6.0,106464.04151742527
152.8,6.4,113590.00324331052
152.8,6.8,120714.39558702544
152.8,7.2,127886.34552020574
152.8,7.6,135081.38351619677
152.8,8.0,142270.92980312867
200.0,6.0,106420.38250407242
200.0,6.4,113517.26399359429
200.0,6.8,120621.3312508984
200.0,7.2,127786.94430552697
200.0,7.6,134967.72271994653
200.0,8.0,142151.6216809957
