Time(s),Depth(m),Pressure(Pa)
1.0,6.0,106609.30707626739
1.0,6.01,106777.30381983436
1.0,6.02,106957.13585037831
1.0,6.03,107133.2296202662
1.0,6.04,107309.53982630213
1.0,6.05,107485.80189364922
1.0,6.06,107662.06730869508
1.0,6.07,107838.35601402396
1.0,6.08,108014.64111679551
1.0,6.09,108190.87900802371
1.0,6.1,108367.16481371465
1.0,6.11,108543.44795799462
1.0,6.12,108719.70924540091
1.0,6.13,108895.97063017405
1.0,6.14,109072.23529349464
1.0,6.15,109248.50243796495
1.0,6.16,109424.78334000602
1.0,6.17,109601.03564872842
1.0,6.18,109777.29839370365
1.0,6.19,109953.5552456012
1.0,6.2,110129.8120437544
1.0,6.21,110306.08968017407
1.0,6.22,110482.3454155029
1.0,6.23,110658.60725427623
1.0,6.24,110834.84627577625
1.0,6.25,111011.13014241685
1.0,6.26,111187.35623764535
1.0,6.27,111363.64442284203
1.0,6.28,111539.88508157202
1.0,6.29,111716.11865200946
1.0,6.3,111892.36651442522
1.0,6.31,112068.65013338439
1.0,6.32,112244.88568599737
1.0,6.33,112421.12971369133
1.0,6.34,112597.40567247031
1.0,6.35,112773.63766139495
1.0,6.36,112949.86344476578
1.0,6.37,113126.14594501219
1.0,6.38,113302.35934198348
1.0,6.39,113478.63056124837
1.0,6.4,113654.85905664926
1.0,6.41,113831.10276944855
1.0,6.42,114007.34211914212
1.0,6.43,114183.60090522912
1.0,6.44,114359.83604724886
1.0,6.45,114536.06901554871
1.0,6.46,114712.32387497614
1.0,6.47,114888.53293648618
1.0,6.48,115064.78857284806
1.0,6.49,115241.02010166974
1.0,6.5,115417.26566835915
1.0,6.51,115593.49749196258
1.0,6.52,115769.71983403043
1.0,6.53,115945.97821424002
1.0,6.54,116122.17949571428
1.0,6.55,116298.42212317704
1.0,6.56,116474.65914880541
1.0,6.57,116650.89095068525
1.0,6.58,116827.11615495279
1.0,6.59,117003.33260089265
1.0,6.6,117179.56641271261
1.0,6.61,117355.8018017465
1.0,6.62,117532.02447913353
1.0,6.63,117708.25056380444
1.0,6.64,117884.46619416258
1.0,6.65,118060.68650611679
1.0,6.66,118236.91585915975
1.0,6.67,118413.13702266973
1.0,6.68,118589.3750432617
1.0,6.69,118765.56023893865
1.0,6.7,118941.8010905711
1.0,6.71,119118.0092616374
1.0,6.72,119294.22103696919
1.0,6.73,119470.45145534945
1.0,6.74,119646.65139415888
