Time(s),Depth(m),Pressure(Pa)
1.0,6.0,503432.9872744781
1.0,6.4,680477.0383068728
1.0,6.8,687491.964164113
1.0,7.2,694579.0883048188
1.0,7.6,701778.3226861934
1.0,8.0,708971.9179226417
16.4,6.0,494980.8677027612
16.4,6.4,680443.0431092021
16.4,6.8,687517.7523432133
16.4,7.2,694645.6670334296
16.4,7.6,701844.2539313089
16.4,8.0,709037.1436199038
52.8,6.0,493613.5626284466
52.8,6.4,680225.7073901448
52.8,6.8,687280.1524570413
52.8,7.2,694406.8050220753
52.8,7.6,701611.3948857965
52.8,8.0,708805.4992621999
112.8,6.0,492926.81450034527
112.8,6.4,679887.741601863
112.8,6.8,686970.4203720002
112.8,7.2,694132.0865346154
112.8,7.6,701332.5588965308
112.8,8.0,708523.5635130813
152.8,6.0,492728.5751669866
152.8,6.4,679660.4065799261
152.8,6.8,686751.8624002554
152.8,7.2,693931.21202023
152.8,7.6,701130.3342136216
152.8,8.0,708319.7998851662
200.0,6.0,492518.7446944695
200.0,6.4,679374.6481238985
200.0,6.8,686450.4808854873
200.0,7.2,693635.340506921
200.0,7.6,700819.7364331773
200.0,8.0,708002.587909043
