Time(s),Depth(m),Pressure(Pa)
1.0,6.0,503432.9872744781
1.0,6.01,571279.4439075242
1.0,6.02,616665.3716344255
1.0,6.03,644047.1821615177
1.0,6.04,661460.2142523327
1.0,6.05,671282.7907474565
1.0,6.06,676561.1175714433
1.0,6.07,678981.574567526
1.0,6.08,679899.9724993177
1.0,6.09,679803.9472623956
1.0,6.1,679243.3233700008
1.0,6.11,678966.9831055341
1.0,6.12,677702.8104151052
1.0,6.13,677574.239258378
1.0,6.14,677308.7565951322
1.0,6.15,677018.923523815
1.0,6.16,676869.9492159319
1.0,6.17,676823.7512135223
1.0,6.18,676843.9456121128
1.0,6.19,676915.3363067886
1.0,6.2,677023.9588116888
1.0,6.21,677158.6984713073
1.0,6.22,677313.7022575623
1.0,6.23,677478.2399907645
1.0,6.24,677647.6454788088
1.0,6.25,677819.8794106495
1.0,6.26,677994.5883158653
1.0,6.27,678169.4728770505
1.0,6.28,678347.6047054857
1.0,6.29,678527.2147508337
1.0,6.3,678707.643706928
1.0,6.31,678887.3277412193
1.0,6.32,679066.1084003608
1.0,6.33,679244.0216567683
1.0,6.34,679421.1520761385
1.0,6.35,679597.7436960079
1.0,6.36,679774.1289704245
1.0,6.37,679950.0475444027
1.0,6.38,680125.8190943372
1.0,6.39,680301.4833590903
1.0,6.4,680477.0383068728
1.0,6.41,680652.5365447158
1.0,6.42,680827.9687039361
1.0,6.43,681003.3924565259
1.0,6.44,681178.7688469996
1.0,6.45,681354.1306400169
1.0,6.46,681529.4996476019
1.0,6.47,681704.8881259336
1.0,6.48,681880.2535719505
1.0,6.49,682055.6129125409
1.0,6.5,682230.98709253
1.0,6.51,682406.3483921997
1.0,6.52,682581.6990812579
1.0,6.53,682757.0815317741
1.0,6.54,682932.475525538
1.0,6.55,683107.8402442898
1.0,6.56,683283.2202679368
1.0,6.57,683458.586251669
1.0,6.58,683633.951743911
1.0,6.59,683809.3350234339
1.0,6.6,683984.7071316355
1.0,6.61,684160.0668547484
1.0,6.62,684335.444264935
1.0,6.63,684510.8082485353
1.0,6.64,684686.1812717548
1.0,6.65,684861.5512115785
1.0,6.66,685036.921177483
1.0,6.67,685212.2837190279
1.0,6.68,685387.6453260425
1.0,6.69,685563.036410661
1.0,6.7,685738.4054203492
1.0,6.71,685913.7543033856
1.0,6.72,686089.1062641182
1.0,6.73,686264.4818894669
1.0,6.74,686439.8291203333
1.0,6.75,686615.2002509161
1.0,6.76,686790.5615673361
1.0,6.77,686965.9138228329
1.0,6.78,687141.26865811
1.0,6.79,687316.5962309893
1.0,6.8,687491.964164113
1.0,6.81,687667.2979660882
1.0,6.82,687842.6402022066
1.0,6.83,688017.9751314477
1.0,6.84,688193.3249136949
1.0,6.85,688368.6707418326
1.0,6.86,688544.042002564
1.0,6.87,688719.417248953
1.0,6.88,688894.8374443724
1.0,6.89,689070.2975369525
1.0,6.9,689245.8617122858
1.0,6.91,689421.5082201373
1.0,6.92,689597.3595231252
1.0,6.93,689773.4618304707
1.0,6.94,689949.8334483237
1.0,6.95,690126.928655534
1.0,6.96,690304.8749976809
1.0,6.97,690484.4303767039
1.0,6.98,690669.3322671319
1.0,6.99,690863.755574732
1.0,7.0,690967.6627712629
1.0,7.01,691125.9792329977
1.0,7.02,691318.4587486602
1.0,7.03,691501.2229328778
1.0,7.04,691660.1264984941
1.0,7.05,691854.9036482046
1.0,7.06,692025.5422891659
1.0,7.07,692217.0027810492
1.0,7.08,692345.0364833161
1.0,7.09,692556.6995662979
1.0,7.1,692745.4965411715
1.0,7.11,693009.634249619
1.0,7.12,693162.8045112045
1.0,7.13,693328.6263775659
1.0,7.14,693504.8683066391
1.0,7.15,693681.7273374763
1.0,7.16,693860.6643569923
1.0,7.17,694039.7978635987
1.0,7.18,694219.3825418717
1.0,7.19,694399.1736455708
1.0,7.2,694579.0883048188
1.0,7.21,694759.049211036
1.0,7.22,694939.0632598911
1.0,7.23,695119.1082721553
1.0,7.24,695299.1570899006
1.0,7.25,695479.206176315
1.0,7.26,695659.2555121849
1.0,7.27,695839.2997755543
1.0,7.28,696019.3388787316
1.0,7.29,696199.3718157638
1.0,7.3,696379.3991486899
1.0,7.31,696559.4211692316
1.0,7.32,696739.4380563755
1.0,7.33,696919.4502075193
1.0,7.34,697099.4581449328
1.0,7.35,697279.4613644407
1.0,7.36,697459.4604642983
1.0,7.37,697639.4555329754
1.0,7.38,697819.4469139759
1.0,7.39,697999.4345764739
1.0,7.4,698179.418521096
1.0,7.41,698359.3988476902
1.0,7.42,698539.3755321722
1.0,7.43,698719.3486255916
1.0,7.44,698899.3175012645
1.0,7.45,699079.2828928772
1.0,7.46,699259.2446128095
1.0,7.47,699439.2027408298
1.0,7.48,699619.1572280755
1.0,7.49,699799.1080660484
1.0,7.5,699979.0554810665
1.0,7.51,700158.9990064603
1.0,7.52,700338.9385329396
1.0,7.53,700518.87434804
1.0,7.54,700698.8064934224
1.0,7.55,700878.7350380454
1.0,7.56,701058.6600598431
1.0,7.57,701238.5813728712
1.0,7.58,701418.4987281206
1.0,7.59,701598.4130791939
1.0,7.6,701778.3226861934
1.0,7.61,701958.2287963842
1.0,7.62,702138.1312558752
1.0,7.63,702318.0300135489
1.0,7.64,702497.9250986024
1.0,7.65,702677.8165787469
1.0,7.66,702857.704501296
1.0,7.67,703037.5887955995
1.0,7.68,703217.4686021357
1.0,7.69,703397.3448496254
1.0,7.7,703577.2173276283
1.0,7.71,703757.0862219537
1.0,7.72,703936.9514322038
1.0,7.73,704116.8128805223
1.0,7.74,704296.6707243893
1.0,7.75,704476.5250557549
1.0,7.76,704656.3747485384
1.0,7.77,704836.2210753651
1.0,7.78,705016.0635192145
1.0,7.79,705195.9022593984
1.0,7.8,705375.7372378325
1.0,7.81,705555.5684472718
1.0,7.82,705735.3960359036
1.0,7.83,705915.2200305308
1.0,7.84,706095.0398446398
1.0,7.85,706274.8556817529
1.0,7.86,706454.6677366738
1.0,7.87,706634.4761033923
1.0,7.88,706814.2807130117
1.0,7.89,706994.0815501496
1.0,7.9,707173.8786833349
1.0,7.91,707353.6721586337
1.0,7.92,707533.4619521907
1.0,7.93,707713.2480550522
1.0,7.94,707893.0306082305
1.0,7.95,708072.8108255871
1.0,7.96,708252.5895952085
1.0,7.97,708432.3706423378
1.0,7.98,708612.1588042784
1.0,7.99,708791.9754464331
16.4,6.0,494980.8677027612
16.4,6.01,571611.5955218219
16.4,6.02,616505.4529830816
16.4,6.03,644006.2442244475
16.4,6.04,661432.2469042497
16.4,6.05,671173.168246314
16.4,6.06,676531.0619657299
16.4,6.07,678908.3239040159
16.4,6.08,679835.0693595925
16.4,6.09,679733.6805758459
16.4,6.1,679207.9758968147
16.4,6.11,678760.0096690775
16.4,6.12,677895.9627685703
16.4,6.13,677531.5772507393
16.4,6.14,677204.3894054134
16.4,6.15,676947.2919371169
16.4,6.16,676801.6660097349
16.4,6.17,676758.7687554718
16.4,6.18,676781.9215749018
16.4,6.19,676855.3544127056
16.4,6.2,676964.2133253552
16.4,6.21,677099.5800162702
16.4,6.22,677255.6243259844
16.4,6.23,677421.7336386663
16.4,6.24,677592.313548294
16.4,6.25,677765.916788977
16.4,6.26,677941.9747841938
16.4,6.27,678118.4534012855
16.4,6.28,678297.7482392328
16.4,6.29,678478.4111540698
16.4,6.3,678659.8760422247
16.4,6.31,678840.8129547524
16.4,6.32,679020.9634893041
16.4,6.33,679200.217220174
16.4,6.34,679378.7075181414
16.4,6.35,679556.677613293
16.4,6.36,679734.403606643
16.4,6.37,679911.7433258176
16.4,6.38,680088.9320160002
16.4,6.39,680266.0451035483
16.4,6.4,680443.0431092021
16.4,6.41,680620.0035928737
16.4,6.42,680796.9291994857
16.4,6.43,680973.8389910209
16.4,6.44,681150.722281644
16.4,6.45,681327.5965814991
16.4,6.46,681504.4791563808
16.4,6.47,681681.3363385263
16.4,6.48,681858.2180380614
16.4,6.49,682035.0886336362
16.4,6.5,682211.967063196
16.4,6.51,682388.8392538591
16.4,6.52,682565.7078005798
16.4,6.53,682742.5935035757
16.4,6.54,682919.4521939842
16.4,6.55,683096.330865495
16.4,6.56,683273.2060488011
16.4,6.57,683450.0792173865
16.4,6.58,683626.9487729423
16.4,6.59,683803.8107484167
16.4,6.6,683980.6840058161
16.4,6.61,684157.5548009644
16.4,6.62,684334.4185480522
16.4,6.63,684511.2852500227
16.4,6.64,684688.1437386496
16.4,6.65,684865.003971248
16.4,6.66,685041.868019253
16.4,6.67,685218.7271273871
16.4,6.68,685395.5930732429
16.4,6.69,685572.4328314877
16.4,6.7,685749.2978272757
16.4,6.71,685926.1467330492
16.4,6.72,686102.9963946758
16.4,6.73,686279.8540011283
16.4,6.74,686456.6955579823
16.4,6.75,686633.5459158446
16.4,6.76,686810.388724634
16.4,6.77,686987.2340315687
16.4,6.78,687164.0700112676
16.4,6.79,687340.9071947063
16.4,6.8,687517.7523432133
16.4,6.81,687694.5825887013
16.4,6.82,687871.4154957441
16.4,6.83,688048.2563540308
16.4,6.84,688225.0857193144
16.4,6.85,688401.9234544457
16.4,6.86,688578.7840496161
16.4,6.87,688755.6386705247
16.4,6.88,688932.5267228446
16.4,6.89,689109.4464013939
16.4,6.9,689286.4168889229
16.4,6.91,689463.4357500509
16.4,6.92,689640.5897921936
16.4,6.93,689817.8816048678
16.4,6.94,689995.3587254399
16.4,6.95,690173.2417012973
16.4,6.96,690351.6988516907
16.4,6.97,690531.1148910534
16.4,6.98,690715.7328490264
16.4,6.99,690891.1366032672
16.4,7.0,691028.6344018435
16.4,7.01,691190.6089253123
16.4,7.02,691373.2124674424
16.4,7.03,691560.7397154325
16.4,7.04,691739.4137941
16.4,7.05,691917.1013474015
16.4,7.06,692092.1622310609
16.4,7.07,692273.7599008247
16.4,7.08,692451.725967085
16.4,7.09,692620.6464183046
16.4,7.1,692816.6538940512
16.4,7.11,693034.4390893779
16.4,7.12,693219.2867243057
16.4,7.13,693392.3280584806
16.4,7.14,693568.1609732063
16.4,7.15,693747.4029155094
16.4,7.16,693926.416037986
16.4,7.17,694106.0444803797
16.4,7.18,694285.7974309992
16.4,7.19,694465.7014767149
16.4,7.2,694645.6670334296
16.4,7.21,694825.6560178384
16.4,7.22,695005.6719941745
16.4,7.23,695185.7029202397
16.4,7.24,695365.7340093082
16.4,7.25,695545.7629664905
16.4,7.26,695725.7901694826
16.4,7.27,695905.8122358928
16.4,7.28,696085.8297831375
16.4,7.29,696265.8420852311
16.4,7.3,696445.8496049165
16.4,7.31,696625.8525450332
16.4,7.32,696805.8509529436
16.4,7.33,696985.8450593344
16.4,7.34,697165.8353137707
16.4,7.35,697345.821140028
16.4,7.36,697525.8030131999
16.4,7.37,697705.780968841
16.4,7.38,697885.7552961577
16.4,7.39,698065.7259399499
16.4,7.4,698245.692884973
16.4,7.41,698425.6562139733
16.4,7.42,698605.615891599
16.4,7.43,698785.571965011
16.4,7.44,698965.5238015593
16.4,7.45,699145.4721361124
16.4,7.46,699325.4167803634
16.4,7.47,699505.3578145396
16.4,7.48,699685.2951895348
16.4,7.49,699865.2288969855
16.4,7.5,700045.1591647412
16.4,7.51,700225.0855241157
16.4,7.52,700405.007865708
16.4,7.53,700584.926478575
16.4,7.54,700764.841404727
