Elements,Radius(m),Velocity(m/s)
8813.0,0.1,0.0
8813.0,0.10500000000000001,6.048879316372037e-06
8813.0,0.11000000000000001,1.1057576379034093e-05
8813.0,0.11500000000000002,1.5230956989029376e-05
8813.0,0.12000000000000002,1.866872603501775e-05
8813.0,0.12500000000000003,2.1476592395381026e-05
8813.0,0.13000000000000003,2.3732261769969496e-05
8813.0,0.13500000000000004,2.5489622421988742e-05
8813.0,0.14000000000000004,2.6798366508892663e-05
8813.0,0.14500000000000005,2.7700860756374145e-05
8813.0,0.15000000000000005,2.8230806132411738e-05
8813.0,0.15500000000000005,2.841569586743986e-05
8813.0,0.16000000000000006,2.827875147999313e-05
8813.0,0.16500000000000006,2.7821556067253435e-05
8813.0,0.17000000000000007,2.703990918899602e-05
8813.0,0.17500000000000007,2.5930517086596296e-05
8813.0,0.18000000000000008,2.4487598162592715e-05
8813.0,0.18500000000000008,2.2705404283195565e-05
8813.0,0.19000000000000009,2.0576806332615343e-05
8813.0,0.1950000000000001,1.8093473951240875e-05
8813.0,0.2000000000000001,1.5247571806212268e-05
8813.0,0.2050000000000001,1.2027575641490941e-05
8813.0,0.2100000000000001,8.421612384805581e-06
8813.0,0.2150000000000001,4.4182974568380415e-06
8813.0,0.2200000000000001,0.0
