Time(s),Depth(m),Pressure(Pa)
1.0,6.0,106609.30707549422
1.0,6.01,106777.3038175228
1.0,6.02,106957.13584711804
1.0,6.03,107133.2296167331
1.0,6.04,107309.53982267792
1.0,6.05,107485.80188990205
1.0,6.06,107662.06730495137
1.0,6.07,107838.35601027668
1.0,6.08,108014.64111300826
1.0,6.09,108190.87900423305
1.0,6.1,108367.16480994136
1.0,6.11,108543.44795420681
1.0,6.12,108719.70924159492
1.0,6.13,108895.97062636107
1.0,6.14,109072.2352896873
1.0,6.15,109248.50243419551
1.0,6.16,109424.78333622358
1.0,6.17,109601.03564488253
1.0,6.18,109777.29838987913
1.0,6.19,109953.55524175902
1.0,6.2,110129.8120399196
1.0,6.21,110306.08967634209
1.0,6.22,110482.34541163612
1.0,6.23,110658.60725037535
1.0,6.24,110834.84627191676
1.0,6.25,111011.13013854329
1.0,6.26,111187.35623375836
1.0,6.27,111363.64441905032
1.0,6.28,111539.8850776646
1.0,6.29,111716.11864813094
1.0,6.3,111892.36651055561
1.0,6.31,112068.65012951038
1.0,6.32,112244.88568207399
1.0,6.33,112421.12970981498
1.0,6.34,112597.4056685851
1.0,6.35,112773.63765745147
1.0,6.36,112949.86344093265
1.0,6.37,113126.14594108386
1.0,6.38,113302.35933805704
1.0,6.39,113478.6305573331
1.0,6.4,113654.85905268138
1.0,6.41,113831.10276550641
1.0,6.42,114007.34211522772
1.0,6.43,114183.60090130872
1.0,6.44,114359.83604331134
1.0,6.45,114536.06901160738
1.0,6.46,114712.32387100249
1.0,6.47,114888.53293250152
1.0,6.48,115064.78856888681
1.0,6.49,115241.02009772824
1.0,6.5,115417.2656644099
1.0,6.51,115593.4974879889
1.0,6.52,115769.71983007199
1.0,6.53,115945.97821022439
1.0,6.54,116122.17949170865
1.0,6.55,116298.42211919761
1.0,6.56,116474.65914483469
1.0,6.57,116650.89094670766
1.0,6.58,116827.11615094249
1.0,6.59,117003.3325969073
1.0,6.6,117179.56640874437
1.0,6.61,117355.8017977993
1.0,6.62,117532.02447511404
1.0,6.63,117708.25055982484
1.0,6.64,117884.46619013124
1.0,6.65,118060.6865021052
1.0,6.66,118236.91585514873
1.0,6.67,118413.13701863686
1.0,6.68,118589.37503919503
1.0,6.69,118765.56023486375
1.0,6.7,118941.80108653502
1.0,6.71,119118.0092575887
1.0,6.72,119294.22103293409
1.0,6.73,119470.45145131568
1.0,6.74,119646.65139009175
1.0,6.75,119822.87303778112
1.0,6.76,119999.07489413956
1.0,6.77,120175.28915706299
1.0,6.78,120351.48476898325
1.0,6.79,120527.68086027779
1.0,6.8,120703.89676232614
1.0,6.81,120880.08039228703
1.0,6.82,121056.27010246683
1.0,6.83,121232.4714912365
1.0,6.84,121408.64746315722
1.0,6.85,121584.83316280358
1.0,6.86,121761.05330708806
1.0,6.87,121937.25250644727
1.0,6.88,122113.50234174069
1.0,6.89,122289.79517627531
1.0,6.9,122466.15595955358
1.0,6.91,122642.58352987534
1.0,6.92,122819.23006964372
1.0,6.93,122996.06899328531
1.0,6.94,123173.20764249936
1.0,6.95,123351.01229865215
1.0,6.96,123529.71199180353
1.0,6.97,123709.86087005684
1.0,6.98,123895.89091788052
1.0,6.99,124092.71793238532
1.0,7.0,124198.72033515433
1.0,7.01,124337.69415885581
1.0,7.02,124549.7929621379
1.0,7.03,124729.53514361312
1.0,7.04,124881.53102267419
1.0,7.05,125080.50648409504
1.0,7.06,125260.6603658761
1.0,7.07,125446.63227681821
1.0,7.08,125590.63044044234
1.0,7.09,125789.49510885867
1.0,7.1,125977.66150317888
1.0,7.11,126239.86739201527
1.0,7.12,126393.40993769414
1.0,7.13,126560.24822792364
1.0,7.14,126737.29964991643
1.0,7.15,126914.5180074403
1.0,7.16,127093.54186614754
1.0,7.17,127272.77387010853
1.0,7.18,127452.37212510152
1.0,7.19,127632.15406460027
1.0,7.2,127812.03899161163
1.0,7.21,127991.96056065462
1.0,7.22,128171.9265277051
1.0,7.23,128351.91790771946
1.0,7.24,128531.91084024464
1.0,7.25,128711.90254408997
1.0,7.26,128891.8936189508
1.0,7.27,129071.87963446685
1.0,7.28,129251.86087710131
1.0,7.29,129431.83649392918
1.0,7.3,129611.80721757837
1.0,7.31,129791.77335788668
1.0,7.32,129971.73515578287
1.0,7.33,130151.69309735115
1.0,7.34,130331.64759517887
1.0,7.35,130511.59825404549
1.0,7.36,130691.5456304689
1.0,7.37,130871.48979869462
1.0,7.38,131051.43102500151
1.0,7.39,131231.36929793784
1.0,7.4,131411.3046533658
1.0,7.41,131591.23718581005
1.0,7.42,131771.16683351723
1.0,7.43,131951.0936461336
1.0,7.44,132131.01717083744
1.0,7.45,132310.9379018862
1.0,7.46,132490.85573936126
1.0,7.47,132670.77076134484
1.0,7.48,132850.68292460367
1.0,7.49,133030.59221853333
1.0,7.5,133210.49882406826
1.0,7.51,133390.4023544028
1.0,7.52,133570.30271472412
1.0,7.53,133750.20015464968
1.0,7.54,133930.09472166284
1.0,7.55,134109.9864676958
1.0,7.56,134289.87540658296
1.0,7.57,134469.761397481
1.0,7.58,134649.64434763457
1.0,7.59,134829.5250266289
1.0,7.6,135009.40177036764
1.0,7.61,135189.27584325816
1.0,7.62,135369.14707403394
1.0,7.63,135549.015353985
1.0,7.64,135728.88076311714
1.0,7.65,135908.7433819469
1.0,7.66,136088.60317650405
1.0,7.67,136268.4601278952
1.0,7.68,136448.31350084973
1.0,7.69,136628.1641355803
1.0,7.7,136808.01180478945
1.0,7.71,136987.85665145254
1.0,7.72,137167.6986169801
1.0,7.73,137347.53762908914
1.0,7.74,137527.37379513957
1.0,7.75,137707.207248664
1.0,7.76,137887.03694479837
1.0,7.77,138066.8642217622
1.0,7.78,138246.68828975025
1.0,7.79,138426.50947558973
1.0,7.8,138606.32773753666
1.0,7.81,138786.1430333729
1.0,7.82,138965.95550475313
1.0,7.83,139145.76518866274
1.0,7.84,139325.57155597524
1.0,7.85,139505.37485528138
1.0,7.86,139685.17518306576
1.0,7.87,139864.97262546915
1.0,7.88,140044.76712625579
1.0,7.89,140224.55864995797
1.0,7.9,140404.34723436678
1.0,7.91,140584.1329259447
1.0,7.92,140763.91566035623
1.0,7.93,140943.69532871374
1.0,7.94,141123.47183332616
1.0,7.95,141303.24620706623
1.0,7.96,141483.01899769713
1.0,7.97,141662.79299027845
1.0,7.98,141842.57198848246
1.0,7.99,142022.37280903678
16.4,6.0,106589.48297655155
16.4,6.01,106766.63227022928
16.4,6.02,106943.24400153823
16.4,6.03,107120.94299628721
16.4,6.04,107298.53113177112
16.4,6.05,107476.1221465766
16.4,6.06,107653.71015555738
16.4,6.07,107831.30816721369
16.4,6.08,108008.90727962385
16.4,6.09,108186.48230337158
16.4,6.1,108364.07622718939
16.4,6.11,108541.66972922413
16.4,6.12,108719.25159541077
16.4,6.13,108896.83349054138
16.4,6.14,109074.41160359792
16.4,6.15,109251.99440430336
16.4,6.16,109429.58508897903
16.4,6.17,109607.15360145477
16.4,6.18,109784.72946828058
16.4,6.19,109962.30261080254
16.4,6.2,110139.87157733922
16.4,6.21,110317.45255074586
16.4,6.22,110495.02066085576
16.4,6.23,110672.58798817327
16.4,6.24,110850.14361114483
16.4,6.25,111027.72178516579
16.4,6.26,111205.27041842016
16.4,6.27,111382.85205869234
16.4,6.28,111560.4007247574
16.4,6.29,111737.95484231522
16.4,6.3,111915.50746605237
16.4,6.31,112093.08077506012
16.4,6.32,112270.62565912511
16.4,6.33,112448.17447655044
16.4,6.34,112625.73848392983
16.4,6.35,112803.28177940086
16.4,6.36,112980.81706790252
16.4,6.37,113158.3842251992
16.4,6.38,113335.91292650157
16.4,6.39,113513.46942597232
16.4,6.4,113691.00164005646
16.4,6.41,113868.53952054806
16.4,6.42,114046.07726500877
16.4,6.43,114223.62380163085
16.4,6.44,114401.15624755739
16.4,6.45,114578.68998828056
16.4,6.46,114756.2308586879
16.4,6.47,114933.74302489319
16.4,6.48,115111.2813355554
16.4,6.49,115288.80773589005
16.4,6.5,115466.33930973193
16.4,6.51,115643.86295607233
16.4,6.52,115821.38487000456
16.4,6.53,115998.91748952912
16.4,6.54,116176.41817068617
16.4,6.55,116353.94295539617
16.4,6.56,116531.46415569719
16.4,6.57,116708.98064024703
16.4,6.58,116886.49453518365
16.4,6.59,117064.00090143703
16.4,6.6,117241.5125598356
16.4,6.61,117419.03189093704
16.4,6.62,117596.53754022674
16.4,6.63,117774.04266813952
16.4,6.64,117951.54642594059
16.4,6.65,118129.04752425826
16.4,6.66,118306.55298057453
16.4,6.67,118484.05487035436
16.4,6.68,118661.56326079542
16.4,6.69,118839.03821866667
16.4,6.7,119016.54503772667
16.4,6.71,119194.03837163579
16.4,6.72,119371.52856938788
16.4,6.73,119549.02803727171
16.4,6.74,119726.51142311232
16.4,6.75,119904.00170532215
16.4,6.76,120081.4800842303
16.4,6.77,120258.96808197637
16.4,6.78,120436.44567506177
16.4,6.79,120613.92205745941
16.4,6.8,120791.40748994125
16.4,6.81,120968.87511767715
16.4,6.82,121146.34495061524
16.4,6.83,121323.82417081484
16.4,6.84,121501.28506198854
16.4,6.85,121678.75113394114
16.4,6.86,121856.23900935645
16.4,6.87,122033.71422537355
16.4,6.88,122211.21900522312
16.4,6.89,122388.74776294924
16.4,6.9,122566.31461482955
16.4,6.91,122743.9269813697
16.4,6.92,122921.66017849995
16.4,6.93,123099.51179195923
16.4,6.94,123277.55221722394
16.4,6.95,123455.96784499918
16.4,6.96,123634.97504136097
16.4,6.97,123814.92717511326
16.4,6.98,124000.01993078674
16.4,6.99,124180.548299704
16.4,7.0,124319.2064357942
16.4,7.01,124471.92620327923
16.4,7.02,124659.78211265907
16.4,7.03,124846.24296993559
16.4,7.04,125024.94877377298
16.4,7.05,125201.10440765064
16.4,7.06,125381.83659616172
16.4,7.07,125563.00749963362
16.4,7.08,125736.78073718239
16.4,7.09,125908.8202415993
16.4,7.1,126105.2152828209
16.4,7.11,126326.81323196585
16.4,7.12,126505.38499094994
16.4,7.13,126678.3218577521
16.4,7.14,126855.081012892
16.4,7.15,127034.13667755073
16.4,7.16,127213.28231246118
16.4,7.17,127392.88589219732
16.4,7.18,127572.62097266501
16.4,7.19,127752.4852961268
16.4,7.2,127932.40485050176
16.4,7.21,128112.34419085554
16.4,7.22,128292.30747225866
16.4,7.23,128472.2839907065
16.4,7.24,128652.26017178874
16.4,7.25,128832.23405767069
16.4,7.26,129012.20629406243
16.4,7.27,129192.17398741175
16.4,7.28,129372.13776987705
16.4,7.29,129552.09695328402
16.4,7.3,129732.05209205474
16.4,7.31,129912.00336439093
16.4,7.32,130091.95086959768
16.4,7.33,130271.89492757792
16.4,7.34,130451.83586370875
16.4,7.35,130631.77321140467
16.4,7.36,130811.70741723635
16.4,7.37,130991.63850756385
16.4,7.38,131171.56670055544
16.4,7.39,131351.4919643951
16.4,7.4,131531.41432228236
16.4,7.41,131711.3338545388
16.4,7.42,131891.25049002096
16.4,7.43,132071.16427591644
16.4,7.44,132251.0747547625
16.4,7.45,132430.98242239904
16.4,7.46,132610.88717880045
16.4,7.47,132790.7891028005
16.4,7.48,132970.68815112335
16.4,7.49,133150.58431340102
16.4,7.5,133330.4777720533
16.4,7.51,133510.36813837715
16.4,7.52,133690.2553174652
16.4,7.53,133870.13956043654
16.4,7.54,134050.02091517675
16.4,7.55,134229.89943399615
16.4,7.56,134409.77513087608
16.4,7.57,134589.64786427224
16.4,7.58,134769.51754095338
16.4,7.59,134949.38493458275
16.4,7.6,135129.24837234395
16.4,7.61,135309.10912527816
16.4,7.62,135488.96702121914
16.4,7.63,135668.8219508875
16.4,7.64,135848.67399470796
16.4,7.65,136028.52323361769
16.4,7.66,136208.36963346662
16.4,7.67,136388.21317526177
16.4,7.68,136568.05311988073
16.4,7.69,136747.8903119358
16.4,7.7,136927.72452293805
16.4,7.71,137107.55589661124
16.4,7.72,137287.38437405895
16.4,7.73,137467.2098826192
16.4,7.74,137647.03253021365
16.4,7.75,137826.8524510746
16.4,7.76,138006.66859486475
16.4,7.77,138186.48230681385
16.4,7.78,138366.29279297762
16.4,7.79,138546.10038189637
16.4,7.8,138725.90503160746
16.4,7.81,138905.70669967117
16.4,7.82,139085.5055284841
16.4,7.83,139265.30155522533
16.4,7.84,139445.09424799657
16.4,7.85,139624.8838566906
16.4,7.86,139804.6704782973
16.4,7.87,139984.45419940865
16.4,7.88,140164.23496349406
16.4,7.89,140344.0127349
16.4,7.9,140523.78755161553
16.4,7.91,140703.55946034618
16.4,7.92,140883.32839641924
16.4,7.93,141063.09425037663
16.4,7.94,141242.8569240155
16.4,7.95,141422.6174556191
16.4,7.96,141602.37639582003
16.4,7.97,141782.1365442682
16.4,7.98,141961.90172456228
16.4,7.99,142141.6888415296
52.8,6.0,106555.68399950529
52.8,6.01,106733.78684345842
52.8,6.02,106909.39784346105
52.8,6.03,107086.8196835106
52.8,6.04,107264.35835706825
52.8,6.05,107441.89288950867
52.8,6.06,107619.42777113468
52.8,6.07,107796.96689567997
52.8,6.08,107974.505233541
52.8,6.09,108152.0305442334
52.8,6.1,108329.56298241051
52.8,6.11,108507.09406593195
52.8,6.12,108684.61715268319
52.8,6.13,108862.1391369447
52.8,6.14,109039.65740776533
52.8,6.15,109217.17662555707
52.8,6.16,109394.69801929632
52.8,6.17,109572.20672592317
52.8,6.18,109749.71733861582
52.8,6.19,109927.22561291847
52.8,6.2,110104.72957276579
52.8,6.21,110282.2387764968
52.8,6.22,110459.73888114288
52.8,6.23,110637.23759380219
52.8,6.24,110814.72899389062
52.8,6.25,110992.22995650902
52.8,6.26,111169.71447028087
52.8,6.27,111347.21488797423
52.8,6.28,111524.69616733686
