Time(s),Depth(m),Pressure(Pa)
1.0,6.0,110148.08188038744
1.0,6.4,156437.0933487213
1.0,6.8,166282.6410948453
1.0,7.2,176032.29624645162
1.0,7.6,185955.16869096615
1.0,8.0,195596.4109065505
16.4,6.0,109499.18046579858
16.4,6.4,156429.76210950006
16.4,6.8,166292.91663242521
16.4,7.2,176069.14585515496
16.4,7.6,185981.62591450324
16.4,8.0,195624.38214642974
52.8,6.0,108927.8250997439
52.8,6.4,156367.19137399486
52.8,6.8,166219.2102193541
52.8,7.2,176009.39512276993
52.8,7.6,185916.76384549518
52.8,8.0,195562.5433720286
112.8,6.0,108682.18640338299
112.8,6.4,156290.19230106028
112.8,6.8,166168.59327761218
112.8,7.2,175993.54834769075
112.8,7.6,185865.53439156612
112.8,8.0,195492.8994994623
152.8,6.0,108616.43462886447
152.8,6.4,156241.29310547
152.8,6.8,166116.7072251788
152.8,7.2,175929.41271893596
152.8,7.6,185819.12646659205
152.8,8.0,195470.47216233803
200.0,6.0,108561.72731032438
200.0,6.4,156166.39407918745
200.0,6.8,166016.74989363138
200.0,7.2,175860.76763839764
200.0,7.6,185783.08048475825
200.0,8.0,195397.51040579248
