Time(s),Depth(m),Pressure(Pa)
1.0,6.0,110148.08188038744
1.0,6.01,125238.52154840263
1.0,6.02,134951.783004519
1.0,6.03,140880.1222706357
1.0,6.04,144760.2517712068
1.0,6.05,146947.14856367343
1.0,6.06,148323.15879023907
1.0,6.07,149072.61349314003
1.0,6.08,149486.10443419556
1.0,6.09,149706.00318360585
1.0,6.1,149840.9562903621
1.0,6.11,149948.6055316725
1.0,6.12,150049.07617930693
1.0,6.13,150171.69731851981
1.0,6.14,150315.90374003074
1.0,6.15,150483.52760934082
1.0,6.16,150661.09266523283
1.0,6.17,150857.01904467258
1.0,6.18,151057.68956010608
1.0,6.19,151294.9489537244
1.0,6.2,151516.57393591435
1.0,6.21,151778.85775292313
1.0,6.22,152003.28603368253
1.0,6.23,152252.73788679222
1.0,6.24,152508.72438969495
1.0,6.25,152744.69314848256
1.0,6.26,153000.68627962464
1.0,6.27,153234.3633458067
1.0,6.28,153484.3954169473
1.0,6.29,153726.79884913834
1.0,6.3,153974.92212481349
1.0,6.31,154237.93098285317
1.0,6.32,154472.55679141407
1.0,6.33,154713.5867174246
1.0,6.34,154965.05280763342
1.0,6.35,155203.99195637205
1.0,6.36,155459.2570840212
1.0,6.37,155694.11106810157
1.0,6.38,155948.85407539055
1.0,6.39,156187.68765467632
1.0,6.4,156437.0933487213
1.0,6.41,156687.14455192327
1.0,6.42,156912.77138684408
1.0,6.43,157189.22455663915
1.0,6.44,157415.42411318238
1.0,6.45,157671.7860658018
1.0,6.46,157898.03254510727
1.0,6.47,158167.36312921764
1.0,6.48,158401.8550495938
1.0,6.49,158644.16164637665
1.0,6.5,158900.4159905382
1.0,6.51,159141.9650626541
1.0,6.52,159394.95333743328
1.0,6.53,159618.74095317652
1.0,6.54,159886.13160492427
1.0,6.55,160118.61035323868
1.0,6.56,160379.83580274906
1.0,6.57,160615.9124224328
1.0,6.58,160865.3454789864
1.0,6.59,161118.8897315471
1.0,6.6,161350.63414155485
1.0,6.61,161604.09566181392
1.0,6.62,161853.6323767715
1.0,6.63,162099.38326301365
1.0,6.64,162348.24245171796
1.0,6.65,162586.15821682147
1.0,6.66,162830.1370202283
1.0,6.67,163078.36854492253
1.0,6.68,163307.1896330123
1.0,6.69,163596.87411829512
1.0,6.7,163812.84530348974
1.0,6.71,164066.92172268778
1.0,6.72,164302.42039695586
1.0,6.73,164561.93337181164
1.0,6.74,164796.80275252182
1.0,6.75,165038.56728927518
1.0,6.76,165298.32751909527
1.0,6.77,165533.5360127057
1.0,6.78,165788.3067795523
1.0,6.79,166023.20025849345
1.0,6.8,166282.6410948453
1.0,6.81,166522.55365044234
1.0,6.82,166769.14204292363
1.0,6.83,167013.6887450638
1.0,6.84,167259.86826956208
1.0,6.85,167503.88186926246
1.0,6.86,167757.73283169654
1.0,6.87,167995.50506258395
1.0,6.88,168247.31472133615
1.0,6.89,168480.38518991275
1.0,6.9,168740.99909593206
1.0,6.91,168980.13655992385
1.0,6.92,169238.0812334974
1.0,6.93,169478.7130570008
1.0,6.94,169708.1646147148
1.0,6.95,169969.52560047977
1.0,6.96,170204.1136297789
1.0,6.97,170454.9943360769
1.0,6.98,170688.8840860427
1.0,6.99,170941.64984776443
1.0,7.0,171377.05309387384
1.0,7.01,171469.14113748854
1.0,7.02,171636.8516317392
1.0,7.03,171869.77115855733
1.0,7.04,172122.28780076443
1.0,7.05,172350.72107129893
1.0,7.06,172517.01120817236
1.0,7.07,172746.14860975902
1.0,7.08,173007.687294539
1.0,7.09,173135.70465121992
1.0,7.1,173370.51942351228
1.0,7.11,173829.21141785683
1.0,7.12,174066.48114349763
1.0,7.13,174304.48928807158
1.0,7.14,174561.6848581444
1.0,7.15,174802.50370719528
1.0,7.16,175033.7283809246
1.0,7.17,175294.63007921143
1.0,7.18,175525.6804071231
1.0,7.19,175782.4791145179
1.0,7.2,176032.29624645162
1.0,7.21,176279.15848620495
1.0,7.22,176524.4196816034
1.0,7.23,176775.74121964257
1.0,7.24,177026.53516745372
1.0,7.25,177263.93267016488
1.0,7.26,177514.41299126268
1.0,7.27,177765.98141428374
1.0,7.28,178001.38380884382
1.0,7.29,178271.89298652622
1.0,7.3,178520.50785453955
1.0,7.31,178753.21122321108
1.0,7.32,178993.45902397117
1.0,7.33,179245.06592926662
1.0,7.34,179507.05231295121
1.0,7.35,179747.0027995864
1.0,7.36,179998.3458711768
1.0,7.37,180251.89410460804
1.0,7.38,180489.69028209092
1.0,7.39,180720.92048507795
1.0,7.4,180976.70255454924
1.0,7.41,181251.41936234242
1.0,7.42,181472.49145318122
1.0,7.43,181734.22553438653
1.0,7.44,181988.01844865922
1.0,7.45,182225.03784802757
1.0,7.46,182456.93592123594
1.0,7.47,182698.6748425217
1.0,7.48,182948.74191306165
1.0,7.49,183209.7188891791
1.0,7.5,183495.143289755
1.0,7.51,183726.7440046078
1.0,7.52,183944.23105549757
1.0,7.53,184177.39776592396
1.0,7.54,184450.44043167625
1.0,7.55,184703.22202069606
1.0,7.56,184932.107155021
1.0,7.57,185172.11674198674
1.0,7.58,185429.79161071207
1.0,7.59,185687.263820849
1.0,7.6,185955.16869096615
1.0,7.61,186161.67667947145
1.0,7.62,186429.17586022185
1.0,7.63,186671.06943275343
1.0,7.64,186905.04664626316
1.0,7.65,187168.52527019556
1.0,7.66,187422.19534158698
1.0,7.67,187655.55153590662
1.0,7.68,187906.73899010912
1.0,7.69,188146.10138714375
1.0,7.7,188403.9343257917
1.0,7.71,188650.67272580945
1.0,7.72,188902.4248069633
1.0,7.73,189145.4157026347
1.0,7.74,189358.4193817097
1.0,7.75,189645.3652923534
1.0,7.76,189896.27791760402
1.0,7.77,190142.7445206013
1.0,7.78,190381.35317051772
1.0,7.79,190622.9706358149
1.0,7.8,190861.6293210826
1.0,7.81,191107.56642895177
1.0,7.82,191369.2468711863
1.0,7.83,191609.03214157405
1.0,7.84,191848.52323604183
1.0,7.85,192141.44342255313
1.0,7.86,192336.01782855132
1.0,7.87,192607.57046496874
1.0,7.88,192871.0376579592
1.0,7.89,193098.65399116484
1.0,7.9,193342.3797629881
1.0,7.91,193573.86835021526
1.0,7.92,193865.97445313915
1.0,7.93,194092.79066584923
1.0,7.94,194332.01030390736
1.0,7.95,194571.86932090422
1.0,7.96,194805.0626748085
1.0,7.97,195024.10643957523
1.0,7.98,195226.28281281525
1.0,7.99,195417.42393572742
16.4,6.0,109499.18046579858
16.4,6.01,125266.56415852893
16.4,6.02,134931.21658288117
16.4,6.03,140874.16322978018
16.4,6.04,144723.4658052018
16.4,6.05,146972.6443122136
16.4,6.06,148319.77354706198
16.4,6.07,149052.64304738294
16.4,6.08,149474.59636275374
16.4,6.09,149688.52801084015
16.4,6.1,149821.47577343945
16.4,6.11,149928.06065917082
16.4,6.12,150027.63533199448
16.4,6.13,150149.05095571076
16.4,6.14,150292.98453758832
16.4,6.15,150460.0595958132
16.4,6.16,150638.5167498048
16.4,6.17,150837.04284602497
16.4,6.18,151040.4051170397
16.4,6.19,151275.0190450003
16.4,6.2,151494.58858185468
16.4,6.21,151756.42932738783
16.4,6.22,151985.4145003616
16.4,6.23,152235.00599446174
16.4,6.24,152488.523669088
16.4,6.25,152726.724211694
16.4,6.26,152984.0211616464
16.4,6.27,153219.31137443165
16.4,6.28,153471.80521095084
16.4,6.29,153716.47442444105
16.4,6.3,153960.62607503426
16.4,6.31,154218.9086142531
16.4,6.32,154458.9856256593
16.4,6.33,154701.7969100778
16.4,6.34,154954.7089032221
16.4,6.35,155194.31040494272
16.4,6.36,155450.8872050185
16.4,6.37,155684.06787449788
16.4,6.38,155939.8108699703
16.4,6.39,156182.89687284065
16.4,6.4,156429.76210950006
16.4,6.41,156682.01856081127
16.4,6.42,156904.0249442123
16.4,6.43,157182.16337258797
16.4,6.44,157409.94510135966
16.4,6.45,157668.34144277155
16.4,6.46,157904.0826856289
16.4,6.47,158155.4926052884
16.4,6.48,158400.79972568835
16.4,6.49,158640.1543221713
16.4,6.5,158898.64620177087
16.4,6.51,159138.56162590085
16.4,6.52,159388.53412368346
16.4,6.53,159596.7898902086
16.4,6.54,159886.77519197186
16.4,6.55,160124.88543316207
16.4,6.56,160386.94691195112
16.4,6.57,160619.1808676058
16.4,6.58,160869.5267324135
16.4,6.59,161121.96290931283
16.4,6.6,161358.5073553725
16.4,6.61,161606.7643901647
16.4,6.62,161850.95028907337
16.4,6.63,162091.05260898505
16.4,6.64,162344.39829463142
16.4,6.65,162586.6985593187
16.4,6.66,162835.32060115744
16.4,6.67,163089.0176916815
16.4,6.68,163326.2741579823
16.4,6.69,163593.737011087
16.4,6.7,163819.02301591553
16.4,6.71,164072.60247086926
16.4,6.72,164308.82500717396
16.4,6.73,164567.70291277277
16.4,6.74,164804.41515533385
16.4,6.75,165045.02578248564
16.4,6.76,165313.98406597204
16.4,6.77,165544.8786582018
16.4,6.78,165801.13599253044
16.4,6.79,166031.80501418677
16.4,6.8,166292.91663242521
16.4,6.81,166532.4840462283
16.4,6.82,166780.15500800998
16.4,6.83,167026.59772477133
16.4,6.84,167276.09259847415
16.4,6.85,167518.09057883912
16.4,6.86,167771.64421401123
16.4,6.87,168010.30617724918
16.4,6.88,168263.8935482471
16.4,6.89,168504.01048842026
16.4,6.9,168754.27962630586
16.4,6.91,168998.14816054376
