Time(s),Depth(m),Pressure(Pa)
1.0,6.0,106604.5703422959
1.0,6.01,106781.4575249122
1.0,6.02,106958.34470752846
1.0,6.03,107135.36824778309
1.0,6.04,107313.20993386772
1.0,6.05,107491.05161995236
1.0,6.06,107668.7323839875
1.0,6.07,107846.01084289893
1.0,6.08,108023.28930181034
1.0,6.09,108200.65031575199
1.0,6.1,108378.1214030673
1.0,6.11,108555.59249038262
1.0,6.12,108733.00918969103
1.0,6.13,108910.38509799422
1.0,6.14,109087.76100629741
1.0,6.15,109265.16665643359
1.0,6.16,109442.58420330293
1.0,6.17,109620.00175017228
1.0,6.18,109797.40840190224
1.0,6.19,109974.81323777568
1.0,6.2,110152.2180736491
1.0,6.21,110329.5994497346
1.0,6.22,110506.98082582008
1.0,6.23,110684.3650503931
1.0,6.24,110861.76636589112
1.0,6.25,111039.16768138912
1.0,6.26,111216.56329783454
1.0,6.27,111393.94466664844
1.0,6.28,111571.32603546238
1.0,6.29,111748.70361653226
1.0,6.3,111926.07614727676
1.0,6.31,112103.44867802128
1.0,6.32,112280.83060240498
1.0,6.33,112458.21957201803
1.0,6.34,112635.60854163108
1.0,6.35,112812.99131442871
1.0,6.36,112990.37160850017
1.0,6.37,113167.75190257162
1.0,6.38,113345.07893714019
1.0,6.39,113522.39709512495
1.0,6.4,113699.71525310971
1.0,6.41,113877.12988864482
1.0,6.42,114054.54452417989
1.0,6.43,114231.95057636173
1.0,6.44,114409.30512842411
1.0,6.45,114586.6596804865
1.0,6.46,114764.00019248493
1.0,6.47,114941.30560432358
1.0,6.48,115118.61101616225
1.0,6.49,115295.95780236628
1.0,6.5,115473.35975439078
1.0,6.51,115650.7617064153
1.0,6.52,115828.12813620825
1.0,6.53,116005.46792432747
1.0,6.54,116182.8077124467
1.0,6.55,116360.11281063259
1.0,6.56,116537.40403284518
1.0,6.57,116714.69525505777
1.0,6.58,116892.07033049622
1.0,6.59,117069.45938147232
1.0,6.6,117246.84843244845
1.0,6.61,117424.1765093448
1.0,6.62,117601.50458624114
1.0,6.63,117778.82530279095
1.0,6.64,117956.1018572615
1.0,6.65,118133.37841173209
1.0,6.66,118310.68333776179
1.0,6.67,118488.05919268932
1.0,6.68,118665.43504761686
1.0,6.69,118842.78451427231
1.0,6.7,119020.09879656491
1.0,6.71,119197.41307885753
1.0,6.72,119374.69725295332
1.0,6.73,119551.95884590148
1.0,6.74,119729.22043884962
1.0,6.75,119906.55159820469
1.0,6.76,120083.91058412257
1.0,6.77,120261.26957004041
1.0,6.78,120438.58012733783
1.0,6.79,120615.88261319851
1.0,6.8,120793.18509905919
1.0,6.81,120970.43106547743
1.0,6.82,121147.67703189573
1.0,6.83,121324.94132445072
1.0,6.84,121502.31557382616
1.0,6.85,121679.68982320157
1.0,6.86,121857.06070012646
1.0,6.87,122034.42314592481
1.0,6.88,122211.78559172316
1.0,6.89,122389.2654018984
1.0,6.9,122566.90169790949
1.0,6.91,122744.53799392057
1.0,6.92,122921.88294429723
1.0,6.93,123099.00938544812
1.0,6.94,123276.135826599
1.0,6.95,123458.70265395712
1.0,6.96,123643.44563579813
1.0,6.97,123828.18861763914
1.0,6.98,123986.56976963421
1.0,6.99,124140.55728332157
1.0,7.0,124294.54479700894
1.0,7.01,124474.30760838557
1.0,7.02,124680.99406453312
1.0,7.03,124849.44456278553
1.0,7.04,125037.7467835239
1.0,7.05,125222.07466151609
1.0,7.06,125411.99810297278
1.0,7.07,125600.30424721733
1.0,7.08,125778.55415297432
1.0,7.09,125977.01600401815
1.0,7.1,126150.99627719575
1.0,7.11,126332.45435829365
1.0,7.12,126513.91243939154
1.0,7.13,126695.37052048944
1.0,7.14,126876.49323182974
1.0,7.15,127054.0945607159
1.0,7.16,127231.69588960207
1.0,7.17,127409.29721848822
1.0,7.18,127587.3869393187
1.0,7.19,127767.79652188427
1.0,7.2,127948.20610444983
1.0,7.21,128128.61568701538
1.0,7.22,128308.9061339937
1.0,7.23,128488.85903014167
1.0,7.24,128668.81192628962
1.0,7.25,128848.76482243757
1.0,7.26,129028.72816253563
1.0,7.27,129208.71108504015
1.0,7.28,129388.69400754468
1.0,7.29,129568.67693004919
1.0,7.3,129748.6500256742
1.0,7.31,129928.61034635594
1.0,7.32,130108.57066703768
1.0,7.33,130288.53098771942
1.0,7.34,130468.48412731783
1.0,7.35,130648.43068425651
1.0,7.36,130828.37724119521
1.0,7.37,131008.3237981339
1.0,7.38,131188.26387814735
1.0,7.39,131368.19979442313
1.0,7.4,131548.1357106989
1.0,7.41,131728.07162697468
1.0,7.42,131907.9992922077
1.0,7.43,132087.92334760953
1.0,7.44,132267.84740301134
1.0,7.45,132447.77145841316
1.0,7.46,132627.68846242677
1.0,7.47,132807.6035077214
1.0,7.48,132987.51855301604
1.0,7.49,133167.4335983107
1.0,7.5,133347.33549182475
1.0,7.51,133527.23541257175
1.0,7.52,133707.13533331876
1.0,7.53,133887.03525406576
1.0,7.54,134066.92613367652
1.0,7.55,134246.81660232655
1.0,7.56,134426.70707097655
1.0,7.57,134606.59710354416
1.0,7.58,134786.47754229853
1.0,7.59,134966.35798105292
1.0,7.6,135146.23841980728
1.0,7.61,135326.11691123058
1.0,7.62,135505.98242044653
1.0,7.63,135685.84792966244
1.0,7.64,135865.71343887842
1.0,7.65,136045.57698256578
1.0,7.66,136225.4334503501
1.0,7.67,136405.28991813445
1.0,7.68,136585.1463859188
1.0,7.69,136764.99909764403
1.0,7.7,136944.84322409125
1.0,7.71,137124.6873505385
1.0,7.72,137304.53147698572
1.0,7.73,137484.3712110253
1.0,7.74,137664.2041124308
1.0,7.75,137844.03701383626
1.0,7.76,138023.86991524172
1.0,7.77,138203.69736829988
1.0,7.78,138383.51887770637
1.0,7.79,138563.34038711284
1.0,7.8,138743.1618965193
1.0,7.81,138922.97654318952
1.0,7.82,139102.78591083182
1.0,7.83,139282.5952784741
1.0,7.84,139462.4046461164
1.0,7.85,139642.2078295922
1.0,7.86,139822.0077148459
1.0,7.87,140001.8076000996
1.0,7.88,140181.6074853533
1.0,7.89,140361.39621534658
1.0,7.9,140541.18100818916
1.0,7.91,140720.96580103168
1.0,7.92,140900.75059387425
1.0,7.93,141080.52705775568
1.0,7.94,141260.3017681716
1.0,7.95,141440.07647858752
1.0,7.96,141619.8511890034
1.0,7.97,141799.6411831812
1.0,7.98,141979.43263295537
1.0,7.99,142159.22408272955
16.4,6.0,106588.59078189843
16.4,6.01,106765.83090470269
16.4,6.02,106943.07102750694
