Time(s),Depth(m),Pressure(Pa)
1.0,6.0,106608.98776498662
1.0,6.4,113655.84621660426
1.0,6.8,120705.78839512312
1.0,7.2,127827.10948330078
1.0,7.6,135024.6632554178
1.0,8.0,142217.5256108684
16.4,6.0,106589.73250665993
16.4,6.4,113690.91654802056
16.4,6.8,120791.19653556772
16.4,7.2,127950.77012062763
16.4,7.6,135147.85021091637
16.4,8.0,142340.16876736743
52.8,6.0,106555.7130571722
52.8,6.4,113654.0626796586
52.8,6.8,120750.24893261706
52.8,7.2,127921.0342300062
52.8,7.6,135120.2410740441
52.8,8.0,142312.58811589153
112.8,6.0,106500.22081380847
112.8,6.4,113618.1628857679
112.8,6.8,120734.55395517043
112.8,7.2,127930.19169072468
112.8,7.6,135126.40861527223
112.8,8.0,142316.74977197102
152.8,6.0,106464.00763005979
152.8,6.4,113588.95359049253
152.8,6.8,120712.31166220311
152.8,7.2,127919.54783059645
152.8,7.6,135115.22421251863
152.8,8.0,142304.7618019973
200.0,6.0,106420.34868186573
200.0,6.4,113515.44556879331
200.0,6.8,120617.69461295093
200.0,7.2,127823.0101691991
200.0,7.6,135004.6528019212
200.0,8.0,142188.55757301685
