Time(s),Depth(m),Pressure(Pa)
1.0,6.0,99236.8703050102
1.0,6.4,89659.32884526119
1.0,6.8,80081.74270858124
1.0,7.2,76628.38885777388
1.0,7.6,83311.08811351638
1.0,8.0,89995.95210927915
112.8,6.0,63184.90743950615
112.8,6.4,66587.98423487291
112.8,6.8,69995.19956850362
112.8,7.2,74571.87793590044
112.8,7.6,81252.19013349435
112.8,8.0,87931.31134243822
212.8,6.0,56922.53704474387
212.8,6.4,62574.57676568643
212.8,6.8,68229.40362903419
212.8,7.2,74205.85372291098
212.8,7.6,80878.460706246
212.8,8.0,87552.24556336668
312.8,6.0,55138.34670096453
312.8,6.4,61407.647609633044
312.8,6.8,67677.26837421232
312.8,7.2,74110.3006716609
312.8,7.6,80777.36717619355
312.8,8.0,87445.62344852941
412.8,6.0,54585.21334881566
412.8,6.4,61029.04688741031
412.8,6.8,67473.12454686066
412.8,7.2,74134.14382266998
412.8,7.6,80796.66088091288
412.8,8.0,87459.19041789275
512.8,6.0,54372.82918617809
512.8,6.4,60872.302316597576
512.8,6.8,67372.02935695721
512.8,7.2,74179.66002021037
512.8,7.6,80837.0837772656
512.8,8.0,87493.6824114372
612.8,6.0,54250.19592619862
612.8,6.4,60779.70252919938
612.8,6.8,67309.4019827621
612.8,7.2,74217.01328550887
612.8,7.6,80868.80257596934
612.8,8.0,87519.26002575597
712.8,6.0,54155.23889713851
712.8,6.4,60710.63090230209
712.8,6.8,67266.21948187792
712.8,7.2,74246.09063676232
712.8,7.6,80891.8275275203
712.8,8.0,87535.92730447816
812.8,6.0,54074.86873448514
812.8,6.4,60652.491152222865
812.8,6.8,67230.3080673336
812.8,7.2,74271.56517562337
812.8,7.6,80911.06879530555
812.8,8.0,87548.58811814514
912.8,6.0,54004.35937849494
912.8,6.4,60601.65793305483
912.8,6.8,67199.142990646
912.8,7.2,74290.5598388949
912.8,7.6,80923.2323108119
912.8,8.0,87553.94202494364
1012.8,6.0,53940.82669996676
1012.8,6.4,60556.274299265184
