Time(s),Depth(m),Pressure(Pa)
1.0,6.0,99236.8703050102
1.0,6.01,98997.560809455
1.0,6.02,98758.26334341522
1.0,6.03,98518.6991351626
1.0,6.04,98279.14557891327
1.0,6.05,98039.66143385913
1.0,6.06,97799.89391766774
1.0,6.07,97560.53210543207
1.0,6.08,97321.07501013373
1.0,6.09,97081.93204867061
1.0,6.1,96842.6168879984
1.0,6.11,96603.2760981965
1.0,6.12,96363.75090517744
1.0,6.13,96124.22916555834
1.0,6.14,95884.80488372062
1.0,6.15,95645.26863802971
1.0,6.16,95405.9365762284
1.0,6.17,95166.49415796853
1.0,6.18,94927.27114377658
1.0,6.19,94687.66064733648
1.0,6.2,94448.13806480009
1.0,6.21,94208.70203052802
1.0,6.22,93969.18029606655
1.0,6.23,93729.83364173448
1.0,6.24,93490.48693794411
1.0,6.25,93251.34673995465
1.0,6.26,93011.86461990193
1.0,6.27,92772.33520543293
1.0,6.28,92532.80167558315
1.0,6.29,92293.20820076535
1.0,6.3,92053.66651828044
1.0,6.31,91814.33706336888
1.0,6.32,91575.18230005262
1.0,6.33,91335.75389046254
1.0,6.34,91096.25444001654
1.0,6.35,90856.64434424411
1.0,6.36,90617.03272884755
1.0,6.37,90377.42212510789
1.0,6.38,90137.89643918075
1.0,6.39,89898.78008552606
1.0,6.4,89659.32884526119
1.0,6.41,89420.00438485321
1.0,6.42,89180.7529463501
1.0,6.43,88941.30920264036
1.0,6.44,88701.96704733316
1.0,6.45,88462.6205764676
1.0,6.46,88223.0950083965
1.0,6.47,87983.4795317127
1.0,6.48,87743.87718096096
1.0,6.49,87504.48890076089
1.0,6.5,87265.03860696012
1.0,6.51,87025.64827825884
1.0,6.52,86786.39736938346
1.0,6.53,86547.09047623668
1.0,6.54,86307.65629392015
1.0,6.55,86068.17526301564
1.0,6.56,85828.64112362941
1.0,6.57,85589.07230027422
1.0,6.58,85349.70304230087
1.0,6.59,85110.3364324568
1.0,6.6,84870.95570517067
1.0,6.61,84631.69109765034
1.0,6.62,84392.60411041562
1.0,6.63,84153.50725594888
1.0,6.64,83914.3421050469
1.0,6.65,83674.88319284482
1.0,6.66,83435.15196468051
1.0,6.67,83195.53591235158
1.0,6.68,82955.97238105195
1.0,6.69,82716.36396845906
1.0,6.7,82476.43518519457
1.0,6.71,82236.9151916931
1.0,6.72,81997.6470619487
1.0,6.73,81758.35432116038
1.0,6.74,81519.15144918495
1.0,6.75,81279.73685437124
1.0,6.76,81040.22733448271
1.0,6.77,80800.74870531844
1.0,6.78,80561.18601285118
1.0,6.79,80321.53293024011
1.0,6.8,80081.74270858124
1.0,6.81,79841.859943243
1.0,6.82,79601.87955932203
1.0,6.83,79361.77607121598
1.0,6.84,79121.29378114227
1.0,6.85,78880.71136689482
1.0,6.86,78639.95873258423
1.0,6.87,78399.97105740834
1.0,6.88,78160.87223381565
1.0,6.89,77923.92789299885
1.0,6.9,77689.54479174502
1.0,6.91,77458.91117833742
1.0,6.92,77236.05269056027
1.0,6.93,77024.03708588162
1.0,6.94,76833.18925962348
1.0,6.95,76674.3676484507
1.0,6.96,76577.68200088004
1.0,6.97,76565.25819824
1.0,6.98,76782.14092800124
1.0,6.99,77897.64440168737
1.0,7.0,92644.13926253034
1.0,7.01,71588.0799394315
1.0,7.02,71589.20574764223
1.0,7.03,71586.6834435188
1.0,7.04,71588.05377920128
1.0,7.05,71587.81109082124
1.0,7.06,71587.52094513066
1.0,7.07,71587.98715816885
1.0,7.08,71587.17422106062
1.0,7.09,71587.27355700084
1.0,7.1,97609.16330089762
1.0,7.11,77284.22340728967
1.0,7.12,76296.21866092684
1.0,7.13,76010.43414584255
1.0,7.14,75943.6246829245
1.0,7.15,75984.15862641943
1.0,7.16,76065.5330069399
1.0,7.17,76184.77987683893
1.0,7.18,76321.29389217334
1.0,7.19,76474.145492931
1.0,7.2,76628.38885777388
1.0,7.21,76789.0367820654
1.0,7.22,76951.19951500998
1.0,7.23,77116.66217383684
1.0,7.24,77284.71487505919
1.0,7.25,77452.89713692867
1.0,7.26,77621.61200440818
1.0,7.27,77790.42092802851
1.0,7.28,77958.9354664007
1.0,7.29,78127.25480001218
1.0,7.3,78295.29435395483
1.0,7.31,78463.1340880629
1.0,7.32,78630.76345939614
1.0,7.33,78798.24275815386
1.0,7.34,78965.60616816192
1.0,7.35,79132.88539601778
1.0,7.36,79300.10202055742
1.0,7.37,79467.27794155685
1.0,7.38,79634.4294955721
1.0,7.39,79801.56322141619
1.0,7.4,79968.68794046096
1.0,7.41,80135.80699154336
1.0,7.42,80302.92424811066
1.0,7.43,80470.04109595636
1.0,7.44,80637.15788359183
1.0,7.45,80804.27542321918
1.0,7.46,80971.39378918373
1.0,7.47,81138.51292231114
1.0,7.48,81305.6326191928
1.0,7.49,81472.75287319474
1.0,7.5,81639.87356120796
1.0,7.51,81806.9945491457
1.0,7.52,81974.11574734178
1.0,7.53,82141.2371151358
1.0,7.54,82308.35858482376
1.0,7.55,82475.48011791453
1.0,7.56,82642.60168892542
1.0,7.57,82809.72328358167
1.0,7.58,82976.8448906509
1.0,7.59,83143.96650199473
1.0,7.6,83311.08811351638
1.0,7.61,83478.20972462707
1.0,7.62,83645.33133457322
1.0,7.63,83812.45294221971
1.0,7.64,83979.57454760985
1.0,7.65,84146.69615110541
1.0,7.66,84313.81775293752
1.0,7.67,84480.93935363175
1.0,7.68,84648.06095353127
1.0,7.69,84815.18255292071
1.0,7.7,84982.30415199758
1.0,7.71,85149.42575082665
1.0,7.72,85316.54734951846
1.0,7.73,85483.66894812144
1.0,7.74,85650.79054668249
1.0,7.75,85817.91214522354
1.0,7.76,85985.03374375374
1.0,7.77,86152.15534228913
1.0,7.78,86319.27694083196
1.0,7.79,86486.39853938078
1.0,7.8,86653.52013793633
1.0,7.81,86820.64173649666
1.0,7.82,86987.7633350601
1.0,7.83,87154.88493362481
1.0,7.84,87322.00653219079
1.0,7.85,87489.12813075788
1.0,7.86,87656.24972932515
1.0,7.87,87823.37132789269
1.0,7.88,87990.4929264609
1.0,7.89,88157.6145250294
1.0,7.9,88324.73612359764
1.0,7.91,88491.85772216634
1.0,7.92,88658.9793207342
1.0,7.93,88826.10091930271
1.0,7.94,88993.22251787093
1.0,7.95,89160.34411643962
1.0,7.96,89327.46571500693
1.0,7.97,89494.5873135759
1.0,7.98,89661.7089121436
1.0,7.99,89828.83051071157
212.8,6.0,56922.53704474387
212.8,6.01,57063.73400199373
212.8,6.02,57204.9052651271
212.8,6.03,57345.99803217707
212.8,6.04,57487.37253657247
212.8,6.05,57628.9034940841
212.8,6.06,57770.29406267944
212.8,6.07,57911.795871361785
212.8,6.08,58053.00581944802
212.8,6.09,58194.342118023305
212.8,6.1,58335.74660667619
212.8,6.11,58477.111141878726
212.8,6.12,58618.54136552146
212.8,6.13,58759.7931944661
212.8,6.14,58901.03151435919
212.8,6.15,59041.88375281042
212.8,6.16,59183.09306479014
212.8,6.17,59324.56432930742
