Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.3540283789
0.0,6.01,130551.57795148213
0.0,6.02,130768.80187472753
0.0,6.03,130986.02579794855
0.0,6.04,131203.24972113004
0.0,6.05,131420.4736444434
0.0,6.06,131637.6975676276
0.0,6.07,131854.9214908773
0.0,6.08,132072.1454139939
0.0,6.09,132289.36933735525
0.0,6.1,132506.593260513
0.0,6.11,132723.81718369617
0.0,6.12,132941.04110700852
0.0,6.13,133158.265030149
0.0,6.14,133375.48895339656
0.0,6.15,133592.71287660033
0.0,6.16,133809.93679991277
0.0,6.17,134027.1607230089
0.0,6.18,134244.3846463621
0.0,6.19,134461.6085695298
0.0,6.2,134678.83249270037
0.0,6.21,134896.05641596715
0.0,6.22,135113.28033916696
0.0,6.23,135330.50426246223
0.0,6.24,135547.7281855781
0.0,6.25,135764.9521089198
0.0,6.26,135982.1760320862
0.0,6.27,136199.3999552641
0.0,6.28,136416.6238785251
0.0,6.29,136633.847801734
0.0,6.3,136851.0717250135
0.0,6.31,137068.2956481486
0.0,6.32,137285.5195714726
0.0,6.33,137502.74349463658
0.0,6.34,137719.9674178763
0.0,6.35,137937.19134107622
0.0,6.36,138154.4152643031
0.0,6.37,138371.63918756382
0.0,6.38,138588.8631107299
0.0,6.39,138806.08703399572
0.0,6.4,139023.31095722038
0.0,6.41,139240.53488042133
0.0,6.42,139457.7588036408
0.0,6.43,139674.98272685517
0.0,6.44,139892.20665007472
0.0,6.45,140109.43057334574
0.0,6.46,140326.6544965044
0.0,6.47,140543.8784197888
0.0,6.48,140761.10234299794
0.0,6.49,140978.32626622144
0.0,6.5,141195.55018942084
0.0,6.51,141412.774112673
0.0,6.52,141629.9980358754
0.0,6.53,141847.22195911044
0.0,6.54,142064.44588233982
0.0,6.55,142281.66980552828
0.0,6.56,142498.89372873242
0.0,6.57,142716.11765202784
0.0,6.58,142933.34157523143
0.0,6.59,143150.56549841302
0.0,6.6,143367.78942170943
0.0,6.61,143585.01334490586
0.0,6.62,143802.23726808256
0.0,6.63,144019.461191316
0.0,6.64,144236.68511457654
0.0,6.65,144453.90903777228
0.0,6.66,144671.1329609978
0.0,6.67,144888.3568842648
