Time(s),outletFlowRate(Kg/s)
0,0.0016299999999999965
0.31000000000000005,0.0016299999999999932
70.23,0.0016299999999999958
130.23000000000002,0.0012327870904135674
190.23000000000002,0.0009173288733181639
200.23000000000002,0.0008813937255817899
260.23,0.0007184291532972453
320.23,0.0006110859766214307
380.23,0.0005344739139261897
440.23,0.0004767520557493398
500.23,0.00043152930822524095
560.23,0.0003950362297308408
620.23,0.00036489803929552327
680.23,0.0003395401841452037
740.23,0.00031787522266286434
800.23,0.0002991266609365098
860.23,0.00028272441478326317
920.23,0.00026823997955849257
980.23,0.00025534470549428117
1040.23,0.000243782079499318
1100.23,0.00023334880060841678
1160.23,0.00022388154673648963
1220.23,0.00021524752424287468
1280.23,0.00020733759160803872
1340.23,0.00020006117176523997
1400.23,0.00019334243081631485
1460.23,0.00018711736863154905
1520.23,0.0001813315761936043
1580.23,0.00017593848728377555
1640.23,0.00017089800138418647
1700.23,0.00016617538861377765
1760.23,0.00016174041126060034
1820.23,0.00015756661331894897
1880.23,0.000153630741548317
1940.23,0.0001499122703801736
2000.23,0.00014639300947934331
2060.23,0.0001430567775848734
2120.23,0.00013988912987225664
2180.23,0.000136877128819178
2240.23,0.00013400915065078363
2300.23,0.00013127472105338921
2360.23,0.00012866437509737578
2420.23,0.00012616953728859432
2480.23,0.0001237824184377456
2500.23,0.0001230094053916102
2560.23,0.000120754989188219
2620.23,0.00011859269706276843
2680.23,0.00011651678145482538
2740.23,0.00011452197168055077
2800.23,0.00011260342497300673
2860.23,0.00011075668347285979
2920.23,0.00010897763633862263
2980.23,0.00010726248627604275
3040.23,0.00010560771989398474
3100.23,0.00010401008138363574
3160.23,0.00010246654909229438
3220.23,0.00010097431462533714
3280.23,9.953076416215181e-05
3340.23,9.813346171588528e-05
3400.23,9.678013410396157e-05
3460.23,9.546865742786653e-05
3520.23,9.41970448874452e-05
3580.23,9.296343577779473e-05
3640.23,9.176608553635025e-05
3700.23,9.060335672449669e-05
3760.23,8.947371084242137e-05
3820.23,8.837570088832156e-05
3880.23,8.730796458379979e-05
3940.23,8.626921819654063e-05
4000.23,8.525825089943656e-05
4060.23,8.427391961231487e-05
4120.23,8.331514427855006e-05
4180.23,8.238090353416801e-05
4240.23,8.147023073172298e-05
4300.23,8.058221028534057e-05
4360.23,7.97159743069126e-05
4420.23,7.887069950660854e-05
4480.23,7.804560433366888e-05
4500.23,7.777492756751138e-05
4560.23,7.697559004137244e-05
4620.23,7.619475638145902e-05
4680.23,7.543176618444754e-05
4740.23,7.468599068903944e-05
4800.23,7.39568308828032e-05
4860.23,7.324371574429313e-05
4920.23,7.254610060923615e-05
4980.23,7.186346565064474e-05
5040.23,7.119531446364823e-05
5100.23,7.054117274667225e-05
5160.23,6.990058707137431e-05
5220.23,6.927312373439461e-05
5280.23,6.865836768462394e-05
5340.23,6.805592152021902e-05
5400.23,6.746540455011153e-05
5460.23,6.688645191519675e-05
5520.23,6.631871376479859e-05
5580.23,6.576185448437687e-05
5640.23,6.521555197077706e-05
5700.23,6.46794969516264e-05
5760.23,6.415339234575298e-05
5820.23,6.363695266175688e-05
5880.23,6.31299034320952e-05
5940.23,6.263198068024027e-05
6000.23,6.214293041867219e-05
6060.23,6.166250817562837e-05
6120.23,6.119047854869961e-05
6180.23,6.072661478350398e-05
6240.23,6.027069837579875e-05
6300.23,5.982251869551969e-05
6360.23,5.938187263134058e-05
6420.23,5.894856425445192e-05
6480.23,5.852240450035365e-05
6540.23,5.810321086753552e-05
6600.23,5.769080713200843e-05
6660.23,5.728502307671307e-05
6720.23,5.688569423490766e-05
6780.23,5.6492661646693496e-05
6840.23,5.610577162789702e-05
6900.23,5.572487555057873e-05
6960.23,5.534982963448814e-05
7000.23,5.510298022118409e-05
7060.23,5.473737760468026e-05
7120.23,5.437726395823724e-05
7180.23,5.4022511652649196e-05
7240.23,5.3672997060364593e-05
7300.23,5.33286003981307e-05
7360.23,5.298920557706135e-05
7420.23,5.2654700059717214e-05
7480.23,5.232497472381832e-05
7540.23,5.19999237322305e-05
7600.23,5.167944440888929e-05
7660.23,5.136343712034689e-05
7720.23,5.10518051626431e-05
7780.23,5.074445465322535e-05
7840.23,5.044129442765113e-05
7900.23,5.014223594083113e-05
7960.23,4.984719317257744e-05
8020.23,4.955608253723763e-05
