Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.28006612403
0.0,6.01,130551.50278196938
0.0,6.02,130768.72549782331
0.0,6.03,130985.94821367651
0.0,6.04,131203.17092952534
0.0,6.05,131420.39364538534
0.0,6.06,131637.61636123466
0.0,6.07,131854.8390770888
0.0,6.08,132072.06179293405
0.0,6.09,132289.28450879655
0.0,6.1,132506.50722464398
0.0,6.11,132723.72994049417
0.0,6.12,132940.95265635158
0.0,6.13,133158.1753721984
0.0,6.14,133375.39808805296
0.0,6.15,133592.620803905
0.0,6.16,133809.84351976306
0.0,6.17,134027.06623560746
0.0,6.18,134244.28895146897
0.0,6.19,134461.51166731725
0.0,6.2,134678.73438316595
0.0,6.21,134895.95709902162
0.0,6.22,135113.17981487326
0.0,6.23,135330.4025307301
0.0,6.24,135547.6252465759
0.0,6.25,135764.84796243662
0.0,6.26,135982.07067828468
0.0,6.27,136199.29339413397
0.0,6.28,136416.5161099893
0.0,6.29,136633.7388258413
0.0,6.3,136850.9615416972
0.0,6.31,137068.1842575443
0.0,6.32,137285.40697340382
0.0,6.33,137502.62968925197
0.0,6.34,137719.85240510534
0.0,6.35,137937.075120957
0.0,6.36,138154.29783680916
0.0,6.37,138371.52055266465
0.0,6.38,138588.74326851312
0.0,6.39,138805.96598436832
0.0,6.4,139023.18870022113
0.0,6.41,139240.41141607257
0.0,6.42,139457.63413192437
0.0,6.43,139674.85684777712
0.0,6.44,139892.0795636297
0.0,6.45,140109.30227948504
0.0,6.46,140326.52499533357
0.0,6.47,140543.74771119058
0.0,6.48,140760.97042704196
0.0,6.49,140978.1931428943
0.0,6.5,141195.4158587457
0.0,6.51,141412.6385746002
0.0,6.52,141629.86129045126
0.0,6.53,141847.0840063049
0.0,6.54,142064.30672215825
0.0,6.55,142281.52943800853
0.0,6.56,142498.7521538603
0.0,6.57,142715.9748697183
0.0,6.58,142933.1975855701
0.0,6.59,143150.42030142056
0.0,6.6,143367.6430172787
0.0,6.61,143584.86573313043
0.0,6.62,143802.08844898158
0.0,6.63,144019.31116483768
0.0,6.64,144236.53388069622
0.0,6.65,144453.7565965505
0.0,6.66,144670.9793124079
0.0,6.67,144888.20202826813
0.0,6.68,145105.42474412167
0.0,6.69,145322.64745997573
0.0,6.7,145539.87017582188
0.0,6.71,145757.0928916649
0.0,6.72,145974.3156074862
0.0,6.73,146191.53832328125
0.0,6.74,146408.76103903953
0.0,6.75,146625.98375473512
0.0,6.76,146843.2064703352
0.0,6.77,147060.42918580913
