Time(s),outletFlowRate(Kg/s)
0,0.0016299999999999965
10.23,0.0016299999999999965
30.23,0.0016299999999999965
90.23,0.0016299999999999965
150.23000000000002,0.0011027891613676175
210.23000000000002,0.000848517553396544
270.23,0.0006976064891054891
330.23,0.0005966035048277794
390.23,0.0005237603033372686
450.23,0.0004684722108846655
470.23,0.000452856525054666
530.23,0.0004123638051680921
590.23,0.0003792853699959031
650.23,0.00035169842808035383
710.23,0.0003283004359632252
770.23,0.00030817595749277967
830.23,0.0002906617741253948
860.23,0.00028272441478326333
920.23,0.00026823997955849273
980.23,0.00025534470549428117
1040.23,0.0002437820794993184
1100.23,0.00023334880060841716
1160.23,0.00022388154673649003
1220.23,0.0002152475242428752
1280.23,0.00020733759160803885
1340.23,0.0002000611717652408
1360.23,0.00019776300714642201
1420.23,0.0001912154224956767
1480.23,0.00018514240974345595
1540.23,0.00017949234790939922
1600.23,0.00017422096352016063
1660.23,0.0001692900560873225
1720.23,0.00016466648156372658
1780.23,0.0001603213345972504
1840.23,0.00015622928547024214
1900.23,0.00015236803848880917
1960.23,0.0001487178865289239
2020.23,0.00014526134231069603
2080.23,0.0001419828313464321
2140.23,0.00013886843480225504
2200.23,0.00013590567301589634
2260.23,0.0001330833223310532
2320.23,0.0001303912593897286
2380.23,0.00012782032817623825
2440.23,0.00012536222600941657
2500.23,0.00012300940539161054
2560.23,0.00012075498918821934
2620.23,0.00011859269706276884
2680.23,0.00011651678145482569
2740.23,0.00011452197168055118
2800.23,0.00011260342497300707
2860.23,0.00011075668347286013
2920.23,0.00010897763633862297
2980.23,0.0001072624862760431
3040.23,0.00010560771989398506
3100.23,0.00010401008138363609
3160.23,0.00010246654909229464
3220.23,0.00010097431462533756
3280.23,9.953076416215207e-05
3340.23,9.813346171588558e-05
3400.23,9.678013410396173e-05
3460.23,9.546865742786681e-05
3520.23,9.419704488744549e-05
3580.23,9.296343577779505e-05
3640.23,9.176608553635064e-05
3700.23,9.060335672449705e-05
3760.23,8.947371084242171e-05
3820.23,8.837570088832187e-05
3880.23,8.730796458380025e-05
3940.23,8.626921819654096e-05
4000.23,8.525825089943686e-05
4060.23,8.427391961231536e-05
4120.23,8.331514427855015e-05
4180.23,8.238090353416823e-05
4240.23,8.147023073172328e-05
4300.23,8.058221028534102e-05
4360.23,7.971597430691301e-05
4420.23,7.88706995066088e-05
4480.23,7.804560433366922e-05
