Time(s),rhoInlet(Kg/m3),P6(Pa),P6.125(Pa),P6.25(Pa),P6.375(Pa),P6.5(Pa),P6.625(Pa),P6.75(Pa),P6.875(Pa),P7(Pa),P7.125(Pa),P7.25(Pa),P7.375(Pa),P7.5(Pa),P7.625(Pa),P7.75(Pa),P7.875(Pa),P8(Pa)
10.23,2207.9680571697945,129958.31975034671,132665.32779628577,135372.33583735127,138079.34388278835,140786.35192541234,143493.35996888648,146200.36861596644,148912.91788716495,201378.70804839864,161247.3475465376,157030.15009929193,159736.7261633472,162444.24688814871,165151.76771818547,167859.28854829163,170566.8093783958,173274.33020850044
30.23,2207.75853240391,129943.33646575417,132650.0875666805,135356.8386627499,138063.5897631864,140770.34086528403,143477.0937750764,146184.56523179132,149116.28193680904,201352.8354322972,167841.2451912259,157090.2575712524,159719.14650833327,162426.17267467,165133.435925668,167840.699824428,170547.9637247838,173255.22762514374
470.23,2202.596613992131,129607.15891765077,132308.3150685232,135012.77176329584,137744.16934808498,140640.0461642324,144272.6709329295,150331.14618383843,162375.97899672808,200748.77543899804,186891.61372109252,168589.70674842026,163211.38109418986,163010.8928491515,164911.85278300932,167447.95638938466,170123.2988666167,172821.46805433423
860.23,2197.0117247980525,129267.28810780706,131987.49172576063,134775.25229052635,137802.66489774638,141503.3932114349,146763.34468659337,155047.52217411718,168336.7886725942,200121.33775577007,190407.31452963775,174867.5352262507,167924.20364820224,165421.38381077777,165689.67794894348,167423.28749652184,169800.08104733593,172425.16000226667
1360.23,2188.1506835298205,128736.3729160329,131635.33884033945,134758.00278550928,138431.84523854763,143180.4111390752,149754.76636747623,159094.37671161038,172219.47559643493,199135.91902719153,192055.94576734665,179172.73306417724,172207.5101049706,168540.61852805287,167411.06474416982,168039.35433916913,169769.28918632556,172184.75494167302
2740.23,2149.695215713825,126457.46332287812,130447.21692112117,134818.91504555507,139917.9451938198,146113.57569882693,153773.62498133018,163230.71307863193,174772.6017190152,194891.21899218205,191059.5282536492,182405.02895806608,176904.15919670992,173099.3226937155,170933.00622820697,170293.22374120308,171046.2445627277,173104.69556763093
4500.23,2051.5772472119306,120672.55293979816,125611.24090789861,130878.98334116883,136675.5300777316,143200.07546746696,150629.44256301504,159100.69960721544,168733.09085605267,184099.41792456523,182253.23777036168,176785.84166382323,173235.3715478678,170645.26662156923,169113.94323099128,168723.23869452951,169526.54299206706,171569.76168072943
7000.23,1756.132226827034,103282.59066870216,107851.92884236068,112632.9774036792,117690.51002372215,123088.12447718954,128880.7667122113,135110.3647357204,141828.9001964376,151642.51908656704,151643.2546599145,149727.82457651716,148739.87928094453,148185.04736788973,148154.25872862013,148735.01167076704,149995.68274736355,151989.40472449592
8250.23,1543.1067011850128,90749.11519413245,94524.03620582187,98442.46047688874,102535.74230762108,106833.92598272185,111362.50826671593,116141.15229737377,121200.90225653353,128247.292793405,128885.80073718583,128386.11511139855,128436.66108738635,128732.25833751186,129335.6401032113,130308.62750241985,131700.58733986758,133549.37226989615
9000.23,1410.2835685779096,82935.14376650426,86142.5276962249,89453.65721261302,92887.45621460747,96461.62185236279,100190.86344102204,104086.49925323666,108169.46675921741,113661.34500078575,114569.32567268361,114725.4127219641,115250.09191356304,115932.83640786074,116818.57673033213,117952.24826013655,119370.13059829774,121099.89345657374
10500,1173.2336562764724,68990.1107219161,71094.76283195554,73238.29254736775,75425.96428228918,77662.3635250723,79951.01081082443,82294.46190040467,84699.62683408613,87631.03830593429,88823.02759437049,89787.53819140895,90872.73284529347,92004.54860052317,93198.75604008848,94471.68950632027,95836.81332027444,97304.33717686785
