Time(s),outletFlowRate(Kg/s)
0,0.00163
1.27,0.00163
70.23,0.00163
130.23000000000002,0.00123278709041
190.23000000000002,0.000917328873318
200.23000000000002,0.000881393725582
260.23,0.000718429153297
320.23,0.000611085976621
380.23,0.000534473913926
440.23,0.000476752055749
500.23,0.000431529308225
560.23,0.000395036229731
620.23,0.000364898039296
680.23,0.000339540184145
740.23,0.000317875222663
800.23,0.000299126660937
860.23,0.000282724414783
920.23,0.000268239979558
980.23,0.000255344705494
1040.23,0.000243782079499
1100.23,0.000233348800608
1160.23,0.000223881546736
1220.23,0.000215247524243
1280.23,0.000207337591608
1340.23,0.000200061171765
1400.23,0.000193342430816
1460.23,0.000187117368632
1520.23,0.000181331576194
1580.23,0.000175938487284
1640.23,0.000170898001384
1700.23,0.000166175388614
1760.23,0.000161740411261
1820.23,0.000157566613319
1880.23,0.000153630741548
1940.23,0.00014991227038
2000.23,0.000146393009479
2060.23,0.000143056777585
2120.23,0.000139889129872
2180.23,0.000136877128819
2240.23,0.000134009150651
2300.23,0.000131274721053
2360.23,0.000128664375097
2420.23,0.000126169537289
2480.23,0.000123782418438
2500.23,0.000123009405392
2560.23,0.000120754989188
2620.23,0.000118592697063
2680.23,0.000116516781455
2740.23,0.000114521971681
2800.23,0.000112603424973
2860.23,0.000110756683473
2920.23,0.000108977636339
2980.23,0.000107262486276
3040.23,0.000105607719894
3100.23,0.000104010081384
3160.23,0.000102466549092
3220.23,0.000100974314625
3280.23,9.95307641622e-05
3340.23,9.81334617159e-05
3400.23,9.6780134104e-05
3460.23,9.54686574279e-05
3520.23,9.41970448874e-05
3580.23,9.29634357778e-05
3640.23,9.17660855363e-05
3700.23,9.06033567245e-05
3760.23,8.94737108424e-05
3820.23,8.83757008883e-05
3880.23,8.73079645838e-05
3940.23,8.62692181965e-05
4000.23,8.52582508994e-05
4060.23,8.42739196123e-05
4120.23,8.33151442786e-05
4180.23,8.23809035342e-05
4240.23,8.14702307317e-05
4300.23,8.05822102853e-05
4360.23,7.97159743069e-05
4420.23,7.88706995066e-05
4480.23,7.80456043337e-05
4500.23,7.77749275675e-05
4560.23,7.69755900414e-05
4620.23,7.61947563815e-05
4680.23,7.54317661844e-05
4740.23,7.4685990689e-05
4800.23,7.39568308828e-05
4860.23,7.32437157443e-05
4920.23,7.25461006092e-05
4980.23,7.18634656506e-05
5040.23,7.11953144636e-05
5100.23,7.05411727467e-05
5160.23,6.99005870714e-05
5220.23,6.92731237344e-05
5280.23,6.86583676846e-05
5340.23,6.80559215202e-05
5400.23,6.74654045501e-05
5460.23,6.68864519152e-05
5520.23,6.63187137648e-05
5580.23,6.57618544844e-05
5640.23,6.52155519708e-05
5700.23,6.46794969516e-05
5760.23,6.41533923458e-05
5820.23,6.36369526618e-05
5880.23,6.31299034321e-05
5940.23,6.26319806802e-05
6000.23,6.21429304187e-05
6060.23,6.16625081756e-05
6120.23,6.11904785487e-05
6180.23,6.07266147835e-05
6240.23,6.02706983758e-05
6300.23,5.98225186955e-05
6360.23,5.93818726313e-05
6420.23,5.89485642545e-05
6480.23,5.85224045004e-05
6540.23,5.81032108675e-05
6600.23,5.7690807132e-05
6660.23,5.72850230767e-05
6720.23,5.68856942349e-05
6780.23,5.64926616467e-05
6840.23,5.61057716279e-05
6900.23,5.57248755506e-05
6960.23,5.53498296345e-05
7000.23,5.51029802212e-05
7060.23,5.47373776047e-05
7120.23,5.43772639582e-05
7180.23,5.40225116526e-05
7240.23,5.36729970604e-05
7300.23,5.33286003981e-05
7360.23,5.29892055771e-05
7420.23,5.26547000597e-05
7480.23,5.23249747238e-05
7540.23,5.19999237322e-05
7600.23,5.16794444089e-05
7660.23,5.13634371203e-05
7720.23,5.10518051626e-05
7780.23,5.07444546532e-05
7840.23,5.04412944277e-05
7900.23,5.01422359408e-05
7960.23,4.98471931726e-05
8020.23,4.95560825372e-05
8080.23,4.92688227972e-05
8140.23,4.89853349802e-05
8200.23,4.87055422997e-05
8250.23,4.84751504694e-05
8310.23,4.82019397269e-05
8370.23,4.79322177786e-05
8430.23,4.76659155411e-05
8490.23,4.7402965778e-05
8550.23,4.71433030376e-05
8610.23,4.68868635937e-05
8670.23,4.66335853881e-05
8730.23,4.63834079764e-05
8790.23,4.61362724746e-05
8850.23,4.5892121509e-05
8910.23,4.56508991674e-05
8970.23,4.54125509521e-05
9000.23,4.5294437987e-05
9060.23,4.50603017628e-05
9120.23,4.48289093195e-05
9180.23,4.46002107681e-05
9240.23,4.43741574448e-05
9300.23,4.41507018736e-05
9360.23,4.39297977295e-05
9420.23,4.37113998037e-05
9480.23,4.34954639697e-05
9540.23,4.32819471507e-05
9600.23,4.30708072883e-05
9660.23,4.28620033121e-05
9720.23,4.26554951109e-05
9780.23,4.2451243504e-05
9840.23,4.22492102147e-05
9900.23,4.20493578433e-05
9960.23,4.18516498427e-05
10020.23,4.16560504933e-05
10080.23,4.14625248799e-05
10140.23,4.12710388685e-05
10200.23,4.10815590848e-05
10260.23,4.08940528925e-05
10320.23,4.07084883731e-05
10380.23,4.0524834306e-05
10440.23,4.03430601491e-05
10500.23,4.01631360205e-05
10560.23,3.99850326804e-05
10620.23,3.9808721514e-05
10680.23,3.96341745143e-05
10740.23,3.94613642662e-05
10800.23,3.92902639308e-05
10860.23,3.91208472297e-05
10920.23,3.89530884308e-05
10980.23,3.87869623339e-05
11040.23,3.86224442566e-05
11100.23,3.84595100214e-05
11160.23,3.82981359421e-05
11220.23,3.81382988117e-05
11280.23,3.79799758902e-05
11340.23,3.78231448925e-05
11400.23,3.76677839771e-05
11460.23,3.75138717351e-05
11520.23,3.73613871793e-05
11580.23,3.72103097337e-05
11640.23,3.70606192235e-05
11700.23,3.69122958652e-05
11760.23,3.67653202569e-05
11820.23,3.66196733694e-05
11880.23,3.64753365369e-05
11940.23,3.63322914483e-05
12000.23,3.61905201388e-05
12060.23,3.60500049815e-05
12120.23,3.59107286799e-05
12180.23,3.57726742592e-05
12240.23,3.56358250597e-05
12300.23,3.5500164729e-05
12360.23,3.53656772147e-05
12420.23,3.5232346758e-05
12480.23,3.51001578863e-05
12540.23,3.49690954072e-05
12600.23,3.48391444018e-05
12660.23,3.47102902188e-05
12720.23,3.45825184679e-05
12780.23,3.44558150146e-05
12840.23,3.43301659742e-05
12900.23,3.4205557706e-05
12960.23,3.40819768083e-05
13020.23,3.3959410113e-05
13080.23,3.38378446803e-05
13140.23,3.3717267794e-05
13200.23,3.35976669564e-05
13260.23,3.34790298836e-05
13320.23,3.33613445011e-05
13380.23,3.32445989391e-05
13440.23,3.31287815283e-05
13500.23,3.30138807953e-05
13560.23,3.28998854589e-05
13620.23,3.27867844258e-05
13680.23,3.26745667867e-05
13740.23,3.25632218123e-05
13800.23,3.24527389501e-05
13860.23,3.23431078199e-05
13920.23,3.2234318211e-05
13980.23,3.21263600783e-05
14000,3.20909683107e-05
