Time(s),Depth(m),Pressure(Pa)
1.3,6.0,100272.43580473536
1.3,6.4,106953.03380761863
1.3,6.8,113633.6314684196
1.3,7.2,120316.04230354026
1.3,7.6,127000.8950750786
1.3,8.0,133685.74657484962
120.5,6.0,100162.33963723049
120.5,6.4,106837.58213154296
120.5,6.8,113512.82435142067
120.5,7.2,120189.55991125903
120.5,7.6,126868.2776555689
120.5,8.0,133546.99449450203
200.5,6.0,100091.0917200491
200.5,6.4,106763.21333156849
200.5,6.8,113435.3347646841
200.5,7.2,120108.4594176288
200.5,7.6,126782.9113320033
200.5,8.0,133457.3626436089
300.5,6.0,100002.2714778776
300.5,6.4,106669.52065936092
300.5,6.8,113336.76971385616
300.5,7.2,120004.7511584199
300.5,7.6,126673.69819597816
300.5,8.0,133342.64488090543
400.5,6.0,99912.00958709835
400.5,6.4,106573.89800620978
400.5,6.8,113235.78632597814
400.5,7.2,119898.27675264415
400.5,7.6,126561.50555960536
400.5,8.0,133224.75019823885
500.5,6.0,99819.57510326292
500.5,6.4,106475.77470611062
500.5,6.8,113131.97422704106
500.5,7.2,119788.86189720788
500.5,7.6,126446.00614234044
500.5,8.0,133103.34531194606
600.5,6.0,99724.57875335836
600.5,6.4,106374.81440613634
600.5,6.8,113025.04998937881
600.5,7.2,119676.68451488767
600.5,7.6,126326.93805849414
600.5,8.0,132978.16223435965
700.5,6.0,99626.76304052035
700.5,6.4,106270.77994745795
700.5,6.8,112914.79679372652
700.5,7.2,119562.23689808826
700.5,7.6,126204.08726472336
700.5,8.0,132848.98072664154
800.5,6.0,99525.93245030573
800.5,6.4,106163.48332280623
800.5,6.8,112801.03414184086
800.5,7.2,119446.14168942922
800.5,7.6,126077.26857577336
800.5,8.0,132715.60932056163
900.5,6.0,99421.92444731716
900.5,6.4,106052.763550127
900.5,6.8,112683.60260598792
900.5,7.2,119328.97657814896
900.5,7.6,125946.31435793678
900.5,8.0,132577.87401873153
1000.5,6.0,99314.59559045605
1000.5,6.4,105938.47563829018
1000.5,6.8,112562.35565128035
