Time(s),Depth(m),Pressure(Pa)
1.0,6.0,100272.43449126913
1.0,6.01,100438.80561642406
1.0,6.02,100605.17518817111
1.0,6.03,100771.54494370756
1.0,6.04,100937.91491649149
1.0,6.05,101104.28388256887
1.0,6.06,101270.65379049367
1.0,6.07,101437.02340913257
1.0,6.08,101603.39386400103
1.0,6.09,101769.76243867647
1.0,6.1,101936.13261560813
1.0,6.11,102102.50264192012
1.0,6.12,102268.87163778667
1.0,6.13,102435.24189873731
1.0,6.14,102601.61155326609
1.0,6.15,102767.98127619186
1.0,6.16,102934.35027463177
1.0,6.17,103100.72088039656
1.0,6.18,103267.08959402525
1.0,6.19,103433.45969317085
1.0,6.2,103599.82980906026
1.0,6.21,103766.19920876034
1.0,6.22,103932.56900376113
1.0,6.23,104098.93813578802
1.0,6.24,104265.30858884584
1.0,6.25,104431.6773850566
1.0,6.26,104598.04749832404
1.0,6.27,104764.41756000093
1.0,6.28,104930.7869998803
1.0,6.29,105097.15673188158
1.0,6.3,105263.52597204203
1.0,6.31,105429.89629430462
1.0,6.32,105596.26522545496
1.0,6.33,105762.63534714711
1.0,6.34,105929.00492026049
1.0,6.35,106095.37479317209
1.0,6.36,106261.74438889441
1.0,6.37,106428.1137155579
1.0,6.38,106594.48393711775
1.0,6.39,106760.8532857227
1.0,6.4,106927.22294987549
1.0,6.41,107093.59281345834
1.0,6.42,107259.96252465692
1.0,6.43,107426.33228591994
1.0,6.44,107592.70199692204
1.0,6.45,107759.07131053558
1.0,6.46,107925.44144969127
1.0,6.47,108091.81063931742
1.0,6.48,108258.18041913903
1.0,6.49,108424.55013594865
1.0,6.5,108590.91998441966
1.0,6.51,108757.28950294678
1.0,6.52,108923.65934581253
1.0,6.53,109090.02888356411
1.0,6.54,109256.39855101913
1.0,6.55,109422.76857964923
1.0,6.56,109589.13835992703
1.0,6.57,109755.5074507417
1.0,6.58,109921.87730477293
1.0,6.59,110088.24726154005
1.0,6.6,110254.61635728397
1.0,6.61,110420.98630318549
1.0,6.62,110587.35638602605
1.0,6.63,110753.72592403713
1.0,6.64,110920.09530501942
1.0,6.65,111086.46523431732
1.0,6.66,111252.8348753024
1.0,6.67,111419.20422897495
1.0,6.68,111585.57416846337
1.0,6.69,111751.94388597485
1.0,6.7,111918.31385734232
1.0,6.71,112084.68311182946
1.0,6.72,112251.0528815417
1.0,6.73,112417.42251506096
1.0,6.74,112583.7917755847
1.0,6.75,112750.16132674128
1.0,6.76,112916.53114261867
1.0,6.77,113082.90025614307
1.0,6.78,113249.26951826966
1.0,6.79,113415.63881425842
1.0,6.8,113582.00782346979
1.0,6.81,113748.37638558465
1.0,6.82,113914.74557768626
1.0,6.83,114081.1148031711
1.0,6.84,114247.48341715256
1.0,6.85,114413.8541251107
1.0,6.86,114580.2254280479
1.0,6.87,114746.59922457147
1.0,6.88,114912.976305257
1.0,6.89,115079.36157280496
1.0,6.9,115245.75526488507
1.0,6.91,115412.16158167903
1.0,6.92,115578.5928047698
1.0,6.93,115745.05309844876
1.0,6.94,115911.56249518986
1.0,6.95,116078.14235727399
1.0,6.96,116244.8783928309
1.0,6.97,116411.79008268879
1.0,6.98,116580.20833183607
1.0,6.99,116811.5445730453
1.0,7.0,145850.45893208985
1.0,7.01,146077.4504576322
1.0,7.02,146290.034690667
1.0,7.03,146499.57515542555
1.0,7.04,146708.72840878638
1.0,7.05,146917.37175585816
1.0,7.06,147125.74784524413
1.0,7.07,147333.98982249253
1.0,7.08,147541.70886080898
1.0,7.09,147747.63790293847
1.0,7.1,147929.39349908178
1.0,7.11,118760.71740292721
1.0,7.12,118915.07801892026
1.0,7.13,119081.02885586495
1.0,7.14,119247.63086550178
1.0,7.15,119414.45911921884
1.0,7.16,119581.43075621765
1.0,7.17,119748.46141255974
1.0,7.18,119915.52577862596
1.0,7.19,120082.62178102913
1.0,7.2,120249.72702453028
1.0,7.21,120416.84245599757
1.0,7.22,120583.96169478547
1.0,7.23,120751.08333423233
1.0,7.24,120918.20666880709
1.0,7.25,121085.32997809742
1.0,7.26,121252.45335880945
1.0,7.27,121419.57661025503
1.0,7.28,121586.69939665245
1.0,7.29,121753.82188409856
1.0,7.3,121920.94403831963
1.0,7.31,122088.06596926942
1.0,7.32,122255.18769765792
1.0,7.33,122422.30927922647
1.0,7.34,122589.43075898597
1.0,7.35,122756.55216749769
1.0,7.36,122923.67352368552
1.0,7.37,123090.79484710311
1.0,7.38,123257.9161520837
1.0,7.39,123425.03744371852
1.0,7.4,123592.15872936478
1.0,7.41,123759.28001153943
1.0,7.42,123926.4012932104
1.0,7.43,124093.52257509506
1.0,7.44,124260.64385736312
1.0,7.45,124427.76514083937
1.0,7.46,124594.88642525699
1.0,7.47,124762.00771049965
1.0,7.48,124929.12899638397
1.0,7.49,125096.2502827974
1.0,7.5,125263.37156961532
1.0,7.51,125430.49285670166
1.0,7.52,125597.61414395919
1.0,7.53,125764.73543134384
1.0,7.54,125931.85671880048
1.0,7.55,126098.97800629026
1.0,7.56,126266.09929379605
1.0,7.57,126433.22058130997
1.0,7.58,126600.34186882291
1.0,7.59,126767.46315632778
1.0,7.6,126934.58444382942
1.0,7.61,127101.70573132996
1.0,7.62,127268.82701882758
1.0,7.63,127435.94830632395
1.0,7.64,127603.06959382018
1.0,7.65,127770.19088131512
1.0,7.66,127937.3121688092
1.0,7.67,128104.43345630377
1.0,7.68,128271.55474379892
1.0,7.69,128438.67603129294
1.0,7.7,128605.79731878676
1.0,7.71,128772.91860628162
1.0,7.72,128940.03989377567
1.0,7.73,129107.16118126917
1.0,7.74,129274.28246876378
1.0,7.75,129441.40375625856
1.0,7.76,129608.52504375242
1.0,7.77,129775.64633124681
1.0,7.78,129942.76761874082
1.0,7.79,130109.8889062352
1.0,7.8,130277.01019372899
1.0,7.81,130444.13148122339
1.0,7.82,130611.25276871824
1.0,7.83,130778.37405621237
1.0,7.84,130945.49534370645
1.0,7.85,131112.61663120086
1.0,7.86,131279.73791869465
1.0,7.87,131446.85920618815
1.0,7.88,131613.98049368316
1.0,7.89,131781.101781178
1.0,7.9,131948.22306867162
1.0,7.91,132115.34435616693
1.0,7.92,132282.4656436607
1.0,7.93,132449.5869311549
1.0,7.94,132616.70821864926
1.0,7.95,132783.82950614445
1.0,7.96,132950.95079363705
1.0,7.97,133118.07208113244
1.0,7.98,133285.19336862554
1.0,7.99,133452.3146561195
200.0,6.0,100091.09133804326
200.0,6.01,100257.52613712916
200.0,6.02,100423.96048339288
200.0,6.03,100590.39488219119
200.0,6.04,100756.82934516207
200.0,6.05,100923.26351567594
200.0,6.06,101089.69796197435
200.0,6.07,101256.13232130754
200.0,6.08,101422.56692358258
200.0,6.09,101589.00098182024
200.0,6.1,101755.43550347947
200.0,6.11,101921.86998148952
200.0,6.12,102088.30416117907
200.0,6.13,102254.73870762307
200.0,6.14,102421.17307812192
200.0,6.15,102587.60746738936
200.0,6.16,102754.04164809483
200.0,6.17,102920.47629645558
200.0,6.18,103086.91039395511
200.0,6.19,103253.3448921992
200.0,6.2,103419.77939653356
200.0,6.21,103586.21369344404
200.0,6.22,103752.64810362268
200.0,6.23,103919.08232284903
200.0,6.24,104085.51692655247
200.0,6.25,104251.95104801698
200.0,6.26,104418.38555052454
200.0,6.27,104584.82003938674
200.0,6.28,104751.25434804219
200.0,6.29,104917.68874009262
200.0,6.3,105084.1229908219
200.0,6.31,105250.55755639794
200.0,6.32,105416.99171669099
200.0,6.33,105583.42622202719
200.0,6.34,105749.86056859097
200.0,6.35,105916.29500296783
200.0,6.36,106082.7293575134
200.0,6.37,106249.16363204713
200.0,6.38,106415.59816700166
200.0,6.39,106582.03244810224
200.0,6.4,106748.4668223057
200.0,6.41,106914.90125432562
200.0,6.42,107081.33564125182
200.0,6.43,107247.77004220134
200.0,6.44,107414.2044284538
200.0,6.45,107580.63870052971
200.0,6.46,107747.07321282222
200.0,6.47,107913.507448057
200.0,6.48,108079.94185451884
200.0,6.49,108246.37624361298
200.0,6.5,108412.81067063185
200.0,6.51,108579.2450013915
200.0,6.52,108745.67942646318
200.0,6.53,108912.11376401171
200.0,6.54,109078.54813767043
200.0,6.55,109244.98261619311
200.0,6.56,109411.41702419663
200.0,6.57,109577.8512303899
200.0,6.58,109744.2856594847
200.0,6.59,109910.7201186172
200.0,6.6,110077.15432625954
200.0,6.61,110243.58878185054
200.0,6.62,110410.023276729
200.0,6.63,110576.45761442327
200.0,6.64,110742.89190637539
200.0,6.65,110909.32635716598
200.0,6.66,111075.76072515907
200.0,6.67,111242.19500873855
200.0,6.68,111408.62946184815
200.0,6.69,111575.06385052015
200.0,6.7,111741.49831041768
200.0,6.71,111907.93256004028
200.0,6.72,112074.36695673974
200.0,6.73,112240.80130770407
200.0,6.74,112407.23554053152
200.0,6.75,112573.66984599672
200.0,6.76,112740.10421179007
200.0,6.77,112906.53835026146
200.0,6.78,113072.97250514691
200.0,6.79,113239.40663263778
200.0,6.8,113405.84064376581
200.0,6.81,113572.27447303098
200.0,6.82,113738.70846911203
200.0,6.83,113905.14249978526
200.0,6.84,114071.57635437441
200.0,6.85,114238.01103154372
200.0,6.86,114404.44612515077
200.0,6.87,114570.88255473616
200.0,6.88,114737.3207142815
200.0,6.89,114903.76309932077
200.0,6.9,115070.21033037818
200.0,6.91,115236.6644253719
200.0,6.92,115403.13189957436
200.0,6.93,115569.61965560832
200.0,6.94,115736.45115394029
200.0,6.95,115909.52302797965
200.0,6.96,116123.57436925163
200.0,6.97,116573.83014218985
200.0,6.98,117838.48683780203
200.0,6.99,122451.48852706084
200.0,7.0,145580.0241033183
200.0,7.01,145799.20823138987
200.0,7.02,146009.61286093
200.0,7.03,146218.47806037293
200.0,7.04,146426.930283072
200.0,7.05,146635.14042673036
200.0,7.06,146843.20765771085
200.0,7.07,147051.13419388796
