Time,Depth(m),Pressure(Pa)
0.0,6.0,203553.5751199759
0.0,6.01,203765.56243284332
0.0,6.02,203977.54919727036
0.0,6.03,204189.53580751934
0.0,6.04,204401.52257092446
0.0,6.05,204613.50803585697
0.0,6.06,204825.4950832834
0.0,6.07,205037.48140045794
0.0,6.08,205249.46864161082
0.0,6.09,205461.45408310078
0.0,6.1,205673.44099313323
0.0,6.11,205885.42790810132
0.0,6.12,206097.4136977822
0.0,6.13,206309.40112657886
0.0,6.14,206521.3873121727
0.0,6.15,206733.37377185063
0.0,6.16,206945.35949048653
0.0,6.17,207157.34693260354
0.0,6.18,207369.3323990547
0.0,6.19,207581.3192868806
0.0,6.2,207793.30660437592
0.0,6.21,208005.2926528331
0.0,6.22,208217.27910791629
0.0,6.23,208429.26497799
0.0,6.24,208641.25227616917
0.0,6.25,208853.2378212305
0.0,6.26,209065.22475177524
0.0,6.27,209277.21197835664
0.0,6.28,209489.1980575285
0.0,6.29,209701.18444532825
0.0,6.3,209913.17043115277
0.0,6.31,210125.15758349263
0.0,6.32,210337.14320236395
0.0,6.33,210549.12999144266
0.0,6.34,210761.11676877853
0.0,6.35,210973.10338029667
0.0,6.36,211185.08990896711
0.0,6.37,211397.0762753301
0.0,6.38,211609.06295988138
0.0,6.39,211821.04905480464
0.0,6.4,212033.03581516433
0.0,6.41,212245.02239518776
0.0,6.42,212457.00904460874
0.0,6.43,212668.9958515588
0.0,6.44,212880.9820965246
0.0,6.45,213092.96819902337
0.0,6.46,213304.95512834363
0.0,6.47,213516.94100593714
0.0,6.48,213728.92739844584
0.0,6.49,213940.91389589818
0.0,6.5,214152.9007287395
0.0,6.51,214364.88692535908
0.0,6.52,214576.8736785077
0.0,6.53,214788.8604232667
0.0,6.54,215000.8469892628
0.0,6.55,215212.83386427097
0.0,6.56,215424.82053206713
0.0,6.57,215636.80621123666
0.0,6.58,215848.7927544915
0.0,6.59,216060.77951256576
0.0,6.6,216272.76527486867
0.0,6.61,216484.75192868343
0.0,6.62,216696.73903851217
0.0,6.63,216908.72572548743
0.0,6.64,217120.7118184166
0.0,6.65,217332.6983462832
0.0,6.66,217544.6848144396
0.0,6.67,217756.6707728898
0.0,6.68,217968.65755489166
0.0,6.69,218180.64452154248
0.0,6.7,218392.63137422857
0.0,6.71,218604.61728980264
0.0,6.72,218816.60390369355
0.0,6.73,219028.5903500053
0.0,6.74,219240.57642683457
0.0,6.75,219452.56272854313
0.0,6.76,219664.54967380536
0.0,6.77,219876.53602466383
0.0,6.78,220088.52233669898
0.0,6.79,220300.5091585634
0.0,6.8,220512.49588363804
0.0,6.81,220724.48187667615
0.0,6.82,220936.46824441003
0.0,6.83,221148.45497214558
0.0,6.84,221360.44115359837
0.0,6.85,221572.427957797
0.0,6.86,221784.41386359133
0.0,6.87,221996.39991263865
0.0,6.88,222208.38628996798
0.0,6.89,222420.37306220166
0.0,6.9,222632.35844478628
0.0,6.91,222844.3439593848
0.0,6.92,223056.32968749487
0.0,6.93,223268.31528507255
0.0,6.94,223480.30033026767
0.0,6.95,223692.28523452074
0.0,6.96,223904.26787791788
0.0,6.97,224116.25029605787
0.0,6.98,224328.23118892132
0.0,6.99,224540.20868135308
