Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094178683,155977.44085022397,235183.98273418547,173159.4335064705,181751.57455190303
30.23,147384.69996753818,155974.5106494663,235176.9750525774,173155.93261043428,181747.78684980943
470.23,147352.2928137892,156595.60346988065,234290.70001083182,175305.01274209155,181480.12970484843
860.23,147341.0370173322,157677.5503305828,218572.59858231776,175962.05960720853,177570.2232180646
1360.23,147331.4703928327,149010.11631212314,138376.64947809916,156117.55591572187,164201.39343918924
2740.23,147314.88507114223,140501.059683794,128184.881148662,143995.95683116198,153751.34397238947
3000.23,147312.54662141652,139981.023201513,128182.82137480377,142920.0641256285,152127.81153196772
4000.23,147304.80955778804,138903.1011934604,128176.50179435761,139608.9682092757,147027.1535502216
5000.23,147298.46218986218,138505.72843256028,128171.32693249286,137285.38289475482,143444.15579986008
6000.23,147293.04007216785,138341.31048461373,128166.89989601879,135664.66757728683,140959.52692593922
7000.23,147288.28332778634,138261.83570247015,128163.01158245392,134541.7386834431,139247.05840604941
8000.23,147284.03069192203,138217.0133255041,128159.53217129977,133767.37684803686,138071.0703560652
9000.23,147280.17468950845,138188.61144576233,128156.3750086255,133235.03899935214,137265.26944676295
10000,147276.6398346687,138169.23483647936,128153.47911760179,132869.76166745613,136713.8121909681
