Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.2800627128
0.0,6.01,130551.4629813792
0.0,6.02,130768.6458955278
0.0,6.03,130985.82881049864
0.0,6.04,131203.0117263225
0.0,6.05,131420.1946379368
0.0,6.06,131637.37755354203
0.0,6.07,131854.56046790438
0.0,6.08,132071.74338604705
0.0,6.09,132288.9262958016
0.0,6.1,132506.1092126648
0.0,6.11,132723.29212884943
0.0,6.12,132940.47504048448
0.0,6.13,133157.6579577176
0.0,6.14,133374.8408722787
0.0,6.15,133592.0237869959
0.0,6.16,133809.20669876886
0.0,6.17,134026.38961750225
0.0,6.18,134243.57252790598
0.0,6.19,134460.7554443509
0.0,6.2,134677.9383610163
0.0,6.21,134895.12127442623
0.0,6.22,135112.30418949484
0.0,6.23,135329.487101835
0.0,6.24,135546.67001988605
0.0,6.25,135763.85293064703
0.0,6.26,135981.03584716065
0.0,6.27,136198.21876358613
0.0,6.28,136415.4016771654
0.0,6.29,136632.58459197034
0.0,6.3,136849.7675047965
0.0,6.31,137066.95042227829
0.0,6.32,137284.13333362187
0.0,6.33,137501.3162502079
0.0,6.34,137718.49916431648
0.0,6.35,137935.68207994365
0.0,6.36,138152.8649942767
0.0,6.37,138370.04790729255
0.0,6.38,138587.23082435643
0.0,6.39,138804.41373755262
0.0,6.4,139021.59665205763
0.0,6.41,139238.77956765902
0.0,6.42,139455.9624824724
0.0,6.43,139673.14539740648
0.0,6.44,139890.32831220774
0.0,6.45,140107.51122523154
0.0,6.46,140324.69414196172
0.0,6.47,140541.8770544894
0.0,6.48,140759.05996950358
0.0,6.49,140976.24288437775
0.0,6.5,141193.42579977115
0.0,6.51,141410.60871365934
0.0,6.52,141627.791629078
0.0,6.53,141844.97454311716
0.0,6.54,142062.157457681
0.0,6.55,142279.34037392077
0.0,6.56,142496.52328904133
0.0,6.57,142713.7062010529
0.0,6.58,142930.8891165107
0.0,6.59,143148.07203245745
0.0,6.6,143365.25494447717
0.0,6.61,143582.43786034634
0.0,6.62,143799.6207769317
0.0,6.63,144016.8036910199
0.0,6.64,144233.9866044775
0.0,6.65,144451.1695204043
0.0,6.66,144668.35243508694
0.0,6.67,144885.53534853764
0.0,6.68,145102.7182645735
0.0,6.69,145319.9011796625
0.0,6.7,145537.08409571307
0.0,6.71,145754.2670084046
0.0,6.72,145971.44992294424
