Time,Depth(m),Pressure(Pa)
1.0,6.0,130663.68701135783
1.0,6.01,130881.45953157317
1.0,6.02,131099.2320517917
1.0,6.03,131317.0045720112
1.0,6.04,131534.7770922272
1.0,6.05,131752.54961244902
1.0,6.06,131970.3221326656
1.0,6.07,132188.0946528843
1.0,6.08,132405.86717310062
1.0,6.09,132623.6396933219
1.0,6.1,132841.41221353822
1.0,6.11,133059.18473375592
1.0,6.12,133276.9572539748
1.0,6.13,133494.7297741911
1.0,6.14,133712.50229441051
1.0,6.15,133930.27481462876
1.0,6.16,134148.04733484858
1.0,6.17,134365.81985506465
1.0,6.18,134583.59237528575
1.0,6.19,134801.36489550193
1.0,6.2,135019.13741571887
1.0,6.21,135236.9099359381
1.0,6.22,135454.68245615633
1.0,6.23,135672.45497637568
1.0,6.24,135890.22749659227
1.0,6.25,136108.00001681305
1.0,6.26,136325.77253702935
1.0,6.27,136543.54505724637
1.0,6.28,136761.31757746582
1.0,6.29,136979.0900976839
1.0,6.3,137196.8626179028
1.0,6.31,137414.63513811963
1.0,6.32,137632.40765834023
1.0,6.33,137850.18017855674
1.0,6.34,138067.95269877484
1.0,6.35,138285.7252189936
1.0,6.36,138503.49773921102
1.0,6.37,138721.2702594304
1.0,6.38,138939.04277964763
1.0,6.39,139156.81529986672
1.0,6.4,139374.58782008468
1.0,6.41,139592.36034030325
1.0,6.42,139810.13286052074
1.0,6.43,140027.90538073954
1.0,6.44,140245.6779009582
1.0,6.45,140463.45042117708
1.0,6.46,140681.22294139426
1.0,6.47,140898.995461614
1.0,6.48,141116.7679818316
1.0,6.49,141334.54050204967
1.0,6.5,141552.31302226795
1.0,6.51,141770.08554248695
1.0,6.52,141987.85806270453
1.0,6.53,142205.63058292313
1.0,6.54,142423.4031031418
1.0,6.55,142641.1756233596
1.0,6.56,142858.94814357752
1.0,6.57,143076.72066379763
1.0,6.58,143294.49318401597
1.0,6.59,143512.26570423367
1.0,6.6,143730.03822445322
1.0,6.61,143947.81074467156
1.0,6.62,144165.58326489077
1.0,6.63,144383.3557851119
1.0,6.64,144601.12830533483
1.0,6.65,144818.9008255575
1.0,6.66,145036.67334578294
1.0,6.67,145254.4458660116
1.0,6.68,145472.21838624083
1.0,6.69,145689.99090647348
1.0,6.7,145907.76342670678
1.0,6.71,146125.53594694208
1.0,6.72,146343.3084671701
1.0,6.73,146561.08098738707
1.0,6.74,146778.85350758495
1.0,6.75,146996.6260277427
1.0,6.76,147214.39854782712
1.0,6.77,147432.17106780724
1.0,6.78,147649.94358764432
1.0,6.79,147867.7161072191
1.0,6.8,148085.48862648732
1.0,6.81,148303.2611452567
1.0,6.82,148521.0336635732
1.0,6.83,148738.8061810305
1.0,6.84,148956.5786975865
1.0,6.85,149174.35121335674
1.0,6.86,149392.1237280183
1.0,6.87,149609.8962419168
1.0,6.88,149827.66875553082
1.0,6.89,150045.44127176146
1.0,6.9,150263.2137906839
1.0,6.91,150480.9863145061
1.0,6.92,150698.75887090055
1.0,6.93,150916.53135064113
1.0,6.94,151134.30430623746
1.0,6.95,151352.0754835879
1.0,6.96,151569.85361688636
1.0,6.97,151787.50945710432
1.0,6.98,152006.9230651278
1.0,6.99,152411.7736082914
1.0,7.0,202696.10143395665
1.0,7.01,202993.15953557816
1.0,7.02,203283.12747813057
1.0,7.03,203572.15196211493
1.0,7.04,203861.91873942775
1.0,7.05,204151.45632911992
1.0,7.06,204440.94038831152
1.0,7.07,204730.70328381914
1.0,7.08,205020.39811372725
1.0,7.09,205309.83506619712
1.0,7.1,205599.5981958593
1.0,7.11,154851.2616260032
1.0,7.12,155054.34822404967
1.0,7.13,155271.98889689715
1.0,7.14,155489.7599965342
1.0,7.15,155707.5353931803
1.0,7.16,155925.30831217192
1.0,7.17,156143.08157723435
1.0,7.18,156360.8548802184
1.0,7.19,156578.628217399
1.0,7.2,156796.40156711367
1.0,7.21,157014.17492995845
1.0,7.22,157231.94829801735
1.0,7.23,157449.72166963032
1.0,7.24,157667.49504375088
1.0,7.25,157885.26841817284
1.0,7.26,158103.04179300458
1.0,7.27,158320.81516784395
1.0,7.28,158538.5885422552
1.0,7.29,158756.36191639342
1.0,7.3,158974.1352901889
1.0,7.31,159191.9086637491
1.0,7.32,159409.68203708375
1.0,7.33,159627.45541025468
1.0,7.34,159845.22878330701
1.0,7.35,160063.00215627282
1.0,7.36,160280.7755291753
1.0,7.37,160498.54890203627
1.0,7.38,160716.32227487225
1.0,7.39,160934.09564769093
1.0,7.4,161151.8690205013
1.0,7.41,161369.64239330587
1.0,7.42,161587.41576610884
1.0,7.43,161805.18913891213
1.0,7.44,162022.96251171455
1.0,7.45,162240.73588451755
1.0,7.46,162458.50925732264
1.0,7.47,162676.282630129
1.0,7.48,162894.0560029356
1.0,7.49,163111.82937574238
1.0,7.5,163329.60274854957
1.0,7.51,163547.37612135703
1.0,7.52,163765.14949416468
1.0,7.53,163982.9228669722
1.0,7.54,164200.69623978093
1.0,7.55,164418.46961258876
1.0,7.56,164636.24298539656
1.0,7.57,164854.01635820506
1.0,7.58,165071.78973101312
1.0,7.59,165289.5631038206
1.0,7.6,165507.33647662884
1.0,7.61,165725.10984943772
1.0,7.62,165942.88322224552
1.0,7.63,166160.6565950534
1.0,7.64,166378.42996786203
1.0,7.65,166596.20334066998
1.0,7.66,166813.97671347743
1.0,7.67,167031.7500862859
1.0,7.68,167249.52345909484
1.0,7.69,167467.29683190273
1.0,7.7,167685.07020471065
1.0,7.71,167902.84357751923
1.0,7.72,168120.6169503273
1.0,7.73,168338.39032313472
1.0,7.74,168556.16369594305
1.0,7.75,168773.9370687523
1.0,7.76,168991.71044155984
1.0,7.77,169209.48381436762
1.0,7.78,169427.2571871762
1.0,7.79,169645.03055998436
1.0,7.8,169862.80393279184
1.0,7.81,170080.57730560083
1.0,7.82,170298.35067840962
1.0,7.83,170516.12405121728
1.0,7.84,170733.89742402546
1.0,7.85,170951.67079683385
1.0,7.86,171169.4441696413
1.0,7.87,171387.2175424485
1.0,7.88,171604.99091525743
1.0,7.89,171822.76428806642
1.0,7.9,172040.53766087402
1.0,7.91,172258.3110336839
1.0,7.92,172476.08440649134
1.0,7.93,172693.85777929943
1.0,7.94,172911.63115210753
1.0,7.95,173129.40452491684
1.0,7.96,173347.1778977232
1.0,7.97,173564.95127053268
1.0,7.98,173782.72464333952
1.0,7.99,174000.498016147
200.0,6.0,130595.3813221901
200.0,6.01,130813.07996046338
200.0,6.02,131030.77859874596
200.0,6.03,131248.47723702868
200.0,6.04,131466.1758753075
200.0,6.05,131683.87451359536
200.0,6.06,131901.5731518747
200.0,6.07,132119.2717901576
200.0,6.08,132336.97042843426
200.0,6.09,132554.66906672338
200.0,6.1,132772.3677050016
200.0,6.11,132990.06634328148
200.0,6.12,133207.7649815668
200.0,6.13,133425.46361984455
200.0,6.14,133643.1622581276
200.0,6.15,133860.86089640937
200.0,6.16,134078.5595346956
200.0,6.17,134296.25817297152
200.0,6.18,134513.9568112599
200.0,6.19,134731.6554495385
200.0,6.2,134949.35408781696
200.0,6.21,135167.05272610087
200.0,6.22,135384.75136438213
200.0,6.23,135602.45000266747
200.0,6.24,135820.14864094477
200.0,6.25,136037.8472792325
200.0,6.26,136255.54591751093
200.0,6.27,136473.24455578995
200.0,6.28,136690.94319407377
200.0,6.29,136908.64183235535
200.0,6.3,137126.3404706396
200.0,6.31,137344.03910891752
200.0,6.32,137561.7377472046
200.0,6.33,137779.43638548325
200.0,6.34,137997.13502376562
200.0,6.35,138214.833662047
200.0,6.36,138432.53230032828
200.0,6.37,138650.23093861272
200.0,6.38,138867.92957689136
200.0,6.39,139085.62821517535
200.0,6.4,139303.3268534573
200.0,6.41,139521.02549173855
200.0,6.42,139738.72413001957
200.0,6.43,139956.42276830185
200.0,6.44,140174.12140658405
200.0,6.45,140391.820044868
200.0,6.46,140609.51868314686
200.0,6.47,140827.2173214321
200.0,6.48,141044.915959713
200.0,6.49,141262.61459799478
200.0,6.5,141480.31323627598
200.0,6.51,141698.01187455904
200.0,6.52,141915.71051283975
200.0,6.53,142133.40915112256
200.0,6.54,142351.10778940516
200.0,6.55,142568.8064276852
200.0,6.56,142786.5050659664
200.0,6.57,143004.20370425226
200.0,6.58,143221.90234253334
200.0,6.59,143439.60098081347
200.0,6.6,143657.2996190989
200.0,6.61,143874.9982573794
200.0,6.62,144092.69689565955
200.0,6.63,144310.39553394384
200.0,6.64,144528.09417222973
200.0,6.65,144745.79281051236
200.0,6.66,144963.49144879804
200.0,6.67,145181.19008708655
200.0,6.68,145398.88872537183
200.0,6.69,145616.58736366004
200.0,6.7,145834.28600194707
200.0,6.71,146051.9846402376
200.0,6.72,146269.683278521
200.0,6.73,146487.38191679888
200.0,6.74,146705.0805550677
200.0,6.75,146922.7791933137
200.0,6.76,147140.47783152136
200.0,6.77,147358.17646968024
200.0,6.78,147575.87510776796
200.0,6.79,147793.57374572856
200.0,6.8,148011.27238354483
200.0,6.81,148228.971021128
200.0,6.82,148446.66965850265
200.0,6.83,148664.3682955033
200.0,6.84,148882.06693211084
200.0,6.85,149099.7655684292
200.0,6.86,149317.46420433954
200.0,6.87,149535.16284011208
200.0,6.88,149752.86147616766
200.0,6.89,149970.56011312426
200.0,6.9,150188.2587593534
200.0,6.91,150405.9573777367
200.0,6.92,150623.65573570642
200.0,6.93,150841.36218691064
200.0,6.94,151058.95395549096
200.0,6.95,151277.31856449594
200.0,6.96,151518.33809944778
200.0,6.97,152020.943106842
200.0,6.98,153750.89786262318
200.0,6.99,161509.95291576654
200.0,7.0,202585.04031582354
200.0,7.01,202878.34879237847
200.0,7.02,203167.85880765718
200.0,7.03,203457.25935292785
200.0,7.04,203746.75201369537
200.0,7.05,204036.19574082564
200.0,7.06,204325.64730995303
200.0,7.07,204615.12513667168
200.0,7.08,204904.5998419278
200.0,7.09,205194.03045227166
200.0,7.1,205483.3876463247
200.0,7.11,163071.50838323706
200.0,7.12,156629.1244329899
200.0,7.13,155469.4538230953
200.0,7.14,155424.14347244706
200.0,7.15,155629.91938365702
200.0,7.16,155848.37586985965
200.0,7.17,156066.1352870355
200.0,7.18,156283.82669157663
200.0,7.19,156501.52554919964
200.0,7.2,156719.22466357404
200.0,7.21,156936.92375004516
200.0,7.22,157154.62285049437
200.0,7.23,157372.321951254
200.0,7.24,157590.0210530874
200.0,7.25,157807.72015490485
200.0,7.26,158025.41925677663
200.0,7.27,158243.11835858124
200.0,7.28,158460.81746008384
200.0,7.29,158678.51656139665
200.0,7.3,158896.2156624901
200.0,7.31,159113.91476343808
200.0,7.32,159331.61386425156
200.0,7.33,159549.3129649678
200.0,7.34,159767.0120656149
200.0,7.35,159984.71116621292
200.0,7.36,160202.41026677575
200.0,7.37,160420.10936731537
200.0,7.38,160637.8084678412
200.0,7.39,160855.5075683583
200.0,7.4,161073.20666887178
200.0,7.41,161290.90576938202
200.0,7.42,161508.6048698915
200.0,7.43,161726.30397040173
200.0,7.44,161944.00307091145
200.0,7.45,162161.70217142196
200.0,7.46,162379.40127193363
200.0,7.47,162597.10037244612
200.0,7.48,162814.79947295896
200.0,7.49,163032.49857347188
200.0,7.5,163250.19767398498
200.0,7.51,163467.8967744978
200.0,7.52,163685.59587501106
200.0,7.53,163903.2949755245
200.0,7.54,164120.99407603862
200.0,7.55,164338.6931765519
200.0,7.56,164556.3922770651
200.0,7.57,164774.0913775791
200.0,7.58,164991.7904780928
200.0,7.59,165209.4895786055
200.0,7.6,165427.18867911908
200.0,7.61,165644.88777963328
200.0,7.62,165862.58688014644
200.0,7.63,166080.28598065968
200.0,7.64,166297.98508117345
200.0,7.65,166515.68418168684
200.0,7.66,166733.38328219982
200.0,7.67,166951.08238271353
200.0,7.68,167168.78148322788
200.0,7.69,167386.48058374113
200.0,7.7,167604.17968425446
200.0,7.71,167821.8787847684
200.0,7.72,168039.57788528161
200.0,7.73,168257.27698579468
200.0,7.74,168474.9760863086
200.0,7.75,168692.67518682306
200.0,7.76,168910.37428733616
200.0,7.77,169128.07338784946
200.0,7.78,169345.7724883633
200.0,7.79,169563.47158887656
200.0,7.8,169781.17068938966
200.0,7.81,169998.86978990378
200.0,7.82,170216.5688904185
200.0,7.83,170434.26799093132
200.0,7.84,170651.96709144468
200.0,7.85,170869.6661919586
200.0,7.86,171087.3652924714
200.0,7.87,171305.0643929841
200.0,7.88,171522.76349349838
200.0,7.89,171740.46259401267
200.0,7.9,171958.16169452603
200.0,7.91,172175.86079504076
200.0,7.92,172393.55989555374
200.0,7.93,172611.2589960675
200.0,7.94,172828.95809658075
200.0,7.95,173046.65719709554
200.0,7.96,173264.35629760727
200.0,7.97,173482.05539812215
200.0,7.98,173699.75449863443
200.0,7.99,173917.4535991475
2500.0,6.0,129679.9637521721
2500.0,6.01,129896.21770555724
2500.0,6.02,130112.47165894175
2500.0,6.03,130328.72561232708
2500.0,6.04,130544.97956571048
2500.0,6.05,130761.23351909645
2500.0,6.06,130977.48747248012
2500.0,6.07,131193.74142586486
2500.0,6.08,131409.99537924884
2500.0,6.09,131626.24933263368
2500.0,6.1,131842.50328601748
2500.0,6.11,132058.75723940204
2500.0,6.12,132275.01119278558
2500.0,6.13,132491.26514616987
2500.0,6.14,132707.5190995549
2500.0,6.15,132923.77305293982
2500.0,6.16,133140.0270063242
2500.0,6.17,133356.28095970876
2500.0,6.18,133572.53491309343
2500.0,6.19,133788.78886647636
