Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147363.22935256604,155936.51714782743,235093.51913294854,173099.72494796518,181691.8659927869
30.23,147336.71961013702,155909.72761338006,235051.61493509807,173072.2124690475,181664.0668201966
470.23,147012.64860037237,156103.11425039123,233788.3635172993,174908.62084406085,181129.15127100126
860.23,146900.09854483488,156837.75822373715,217967.51548346604,175422.2277842514,177117.8220679172
1360.23,146804.40813393466,148691.98979001117,137902.96008225644,155630.49686562663,163679.0342189801
2740.23,146638.4387679255,140110.33929717346,127623.56613149034,143414.43386309236,153149.13416378127
3000.23,146615.04371967993,139554.7789914528,127604.41301113565,142322.8329979036,151512.54754582437
4000.23,146537.65120571112,138363.30867778618,127541.45789823115,138960.6285219678,146367.41413801906
5000.23,146474.16971963638,137881.3659369035,127489.72670915833,136595.0394196437,142746.36630189946
6000.23,146419.94551926167,137651.18772478448,127445.46592426789,134937.8388669648,140227.82120765912
7000.23,146372.37673935722,137518.0387732951,127406.58864771339,133782.25025533437,138484.40451447587
8000.23,146329.84969498156,137427.66465987352,127371.79828968021,132978.12358482645,137279.802814916
9000.23,146291.28927195809,137359.48467025536,127340.2290876958,132418.34670162524,136447.33819814643
10000,146255.94047196428,137304.6487733683,127311.27172127912,132027.57483618322,135870.90639297094
