Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094304284,155977.42585896974,235183.92463202417,173159.4019860431,181751.54303147589
30.23,147384.69996878676,155974.49570285855,235176.91650199037,173155.90099292577,181747.7552322906
470.23,147352.29281394367,156595.60181223904,234290.69146849195,175305.00842525056,181480.1252512984
860.23,147341.03701739907,157677.54977829044,218572.59467363812,175962.05741324282,177570.22107234827
1360.23,147331.4703928753,149010.1156804093,138376.6477925312,156117.55454260967,164201.39202217336
2740.23,147314.88507108775,140501.05940484817,128184.88040047225,143995.95620652157,153751.34332036384
3000.23,147312.546621344,139981.0229561884,128182.8207038628,142920.06356814067,152127.81095187436
4000.23,147304.8095576713,138903.1010307962,128176.50132504826,139608.96782597352,147027.15315551654
5000.23,147298.46218972767,138505.72831354514,128171.3265801145,137285.38261085158,143444.15550984623
6000.23,147293.0400720276,138341.31039171224,128166.8996182891,135664.66735575118,140959.52670100413
7000.23,147288.2833276459,138261.8356267728,128163.01135578392,134541.73850385132,139247.05822449955
8000.23,147284.03069178402,138217.01326196376,128159.53198141488,133767.37669823001,138071.07020507054
9000.23,147280.17468937454,138188.6113912616,128156.37484632673,133235.03887161548,137265.2693183799
10000,147276.6398345395,138169.23478894995,128153.47897665252,132869.76155664222,136713.8120797709
