Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.28006402322
0.0,6.01,130551.46268086116
0.0,6.02,130768.6452950082
0.0,6.03,130985.82790978688
0.0,6.04,131203.0105247992
0.0,6.05,131420.19313747383
0.0,6.06,131637.3757522513
0.0,6.07,131854.55836664795
0.0,6.08,132071.7409833396
0.0,6.09,132288.92359454345
0.0,6.1,132506.10621039616
0.0,6.11,132723.2888258509
0.0,6.12,132940.47143837588
0.0,6.13,133157.65405430773
0.0,6.14,133374.836668911
0.0,6.15,133592.01928321578
0.0,6.16,133809.2018959122
0.0,6.17,134026.38451277916
0.0,6.18,134243.5671245691
0.0,6.19,134460.74974014
0.0,6.2,134677.93235590647
0.0,6.21,134895.11496961073
0.0,6.22,135112.29758418121
0.0,6.23,135329.48019724322
0.0,6.24,135546.66281366325
0.0,6.25,135763.84542566337
0.0,6.26,135981.02804126372
0.0,6.27,136198.2106568797
0.0,6.28,136415.39327070638
0.0,6.29,136632.57588513813
0.0,6.3,136849.75849850406
0.0,6.31,137066.9411146034
0.0,6.32,137284.123726979
0.0,6.33,137501.3063426759
0.0,6.34,137718.4889567006
0.0,6.35,137935.671571852
0.0,6.36,138152.8541859779
0.0,6.37,138370.0367992736
0.0,6.38,138587.2194153929
0.0,6.39,138804.40202893084
0.0,6.4,139021.58464308543
0.0,6.41,139238.7672582069
0.0,6.42,139455.9498727302
0.0,6.43,139673.1324873156
0.0,6.44,139890.3151019362
0.0,6.45,140107.49771529672
0.0,6.46,140324.6803309781
0.0,6.47,140541.8629441006
0.0,6.48,140759.04555872644
0.0,6.49,140976.22817336288
0.0,6.5,141193.41078819503
0.0,6.51,141410.5934022115
0.0,6.52,141627.77601716397
0.0,6.53,141844.95863106783
0.0,6.54,142062.14124545726
0.0,6.55,142279.3238610414
0.0,6.56,142496.5064756738
0.0,6.57,142713.68908842743
0.0,6.58,142930.87170341122
0.0,6.59,143148.05431860482
0.0,6.6,143365.23693130043
0.0,6.61,143582.4195466194
0.0,6.62,143799.60216244363
0.0,6.63,144016.78477632435
0.0,6.64,144233.9673900772
0.0,6.65,144451.15000548642
0.0,6.66,144668.33261990902
0.0,6.67,144885.51523371774
0.0,6.68,145102.69784913276
0.0,6.69,145319.88046391343
0.0,6.7,145537.06307926495
0.0,6.71,145754.24569242945
0.0,6.72,145971.4283064744
0.0,6.73,146188.61091948178
0.0,6.74,146405.793530147
0.0,6.75,146622.97613986925
0.0,6.76,146840.15874728723
0.0,6.77,147057.34134825424
0.0,6.78,147274.52394460043
0.0,6.79,147491.70653236998
0.0,6.8,147708.88910986515
0.0,6.81,147926.0716715555
0.0,6.82,148143.25422500283
0.0,6.83,148360.43676355676
0.0,6.84,148577.61928272946
0.0,6.85,148794.80181325082
0.0,6.86,149011.98434714525
0.0,6.87,149229.16693151227
0.0,6.88,149446.34959510437
0.0,6.89,149663.53251293418
0.0,6.9,149880.71574384
0.0,6.91,150097.89945698707
0.0,6.92,150315.08420500284
0.0,6.93,150532.27029604503
0.0,6.94,150749.45945466543
0.0,6.95,150966.6446124052
0.0,6.96,151183.88485575764
0.0,6.97,151400.92467344142
0.0,6.98,151618.5920962116
0.0,6.99,152227.84366823407
0.0,7.0,202073.81782940542
0.0,7.01,202371.40064352663
0.0,7.02,202660.92631257212
0.0,7.03,202948.79011762244
0.0,7.04,203237.4442155296
0.0,7.05,203526.34315329412
0.0,7.06,203814.77885587586
0.0,7.07,204103.73474190454
0.0,7.08,204392.35953307676
0.0,7.09,204680.6473108778
0.0,7.1,204966.41498280037
0.0,7.11,154438.48305001436
0.0,7.12,154659.12323064063
0.0,7.13,154876.31638645698
0.0,7.14,155093.51002954075
0.0,7.15,155310.7162342586
0.0,7.16,155527.93118300504
0.0,7.17,155745.14942491087
0.0,7.18,155962.36970805592
0.0,7.19,156179.591867776
0.0,7.2,156396.81461060166
0.0,7.21,156614.03801973086
0.0,7.22,156831.261692613
0.0,7.23,157048.48554833967
0.0,7.24,157265.70953358628
0.0,7.25,157482.93353823634
0.0,7.26,157700.15756757386
0.0,7.27,157917.38159951146
0.0,7.28,158134.60561237906
0.0,7.29,158351.8296130093
0.0,7.3,158569.0535977648
0.0,7.31,158786.27757143212
0.0,7.32,159003.50153425586
0.0,7.33,159220.7254891892
0.0,7.34,159437.94943837618
0.0,7.35,159655.17338334577
0.0,7.36,159872.39732516572
0.0,7.37,160089.62126496484
0.0,7.38,160306.84520353682
0.0,7.39,160524.06914121335
0.0,7.4,160741.29307844347
0.0,7.41,160958.5170153924
0.0,7.42,161175.74095225023
0.0,7.43,161392.96488908707
0.0,7.44,161610.1888259129
0.0,7.45,161827.41276277465
0.0,7.46,162044.63669969037
0.0,7.47,162261.8606366443
0.0,7.48,162479.08457362675
0.0,7.49,162696.3085106384
0.0,7.5,162913.5324476731
0.0,7.51,163130.75638472318
0.0,7.52,163347.98032178398
0.0,7.53,163565.20425885273
0.0,7.54,163782.4281959267
0.0,7.55,163999.65213300212
0.0,7.56,164216.8760700788
0.0,7.57,164434.10000715707
0.0,7.58,164651.3239442353
0.0,7.59,164868.5478813125
0.0,7.6,165085.77181838977
0.0,7.61,165302.9957554677
0.0,7.62,165520.21969254484
0.0,7.63,165737.44362962208
0.0,7.64,165954.66756669947
0.0,7.65,166171.8915037765
0.0,7.66,166389.1154408534
0.0,7.67,166606.33937793106
0.0,7.68,166823.56331500888
0.0,7.69,167040.7872520859
0.0,7.7,167258.01118916302
0.0,7.71,167475.23512624038
0.0,7.72,167692.45906331734
0.0,7.73,167909.6830003941
0.0,7.74,168126.90693747168
0.0,7.75,168344.13087454953
0.0,7.76,168561.35481162643
0.0,7.77,168778.5787487035
0.0,7.78,168995.80268578074
0.0,7.79,169213.02662285796
0.0,7.8,169430.2505599348
0.0,7.81,169647.4744970126
0.0,7.82,169864.69843409027
0.0,7.83,170081.92237116728
0.0,7.84,170299.14630824438
0.0,7.85,170516.37024532165
0.0,7.86,170733.59418239852
0.0,7.87,170950.81811947512
0.0,7.88,171168.04205655254
0.0,7.89,171385.2659936305
0.0,7.9,171602.4899307075
0.0,7.91,171819.71386778585
0.0,7.92,172036.93780486236
0.0,7.93,172254.1617419401
0.0,7.94,172471.38567901682
0.0,7.95,172688.6096160953
0.0,7.96,172905.83355317055
0.0,7.97,173123.05749024937
0.0,7.98,173340.28142732574
0.0,7.99,173557.50536440208
200.0,6.0,130238.68617661741
200.0,6.01,130455.76830129097
200.0,6.02,130672.8504253591
200.0,6.03,130889.93254959349
200.0,6.04,131107.01467385443
200.0,6.05,131324.09679761
200.0,6.06,131541.17892180954
200.0,6.07,131758.26104596024
200.0,6.08,131975.3431705987
200.0,6.09,132192.4252940096
200.0,6.1,132409.50741847156
200.0,6.11,132626.58954284881
200.0,6.12,132843.6716665684
200.0,6.13,133060.7537910173
200.0,6.14,133277.8359152215
200.0,6.15,133494.91803932516
200.0,6.16,133712.00016307013
200.0,6.17,133929.08228774407
200.0,6.18,134146.1644113066
200.0,6.19,134363.2465357078
200.0,6.2,134580.32866014403
200.0,6.21,134797.41078413944
200.0,6.22,135014.4929083075
200.0,6.23,135231.5750321367
200.0,6.24,135448.6571566991
200.0,6.25,135665.73928030633
200.0,6.26,135882.82140470858
200.0,6.27,136099.9035291142
200.0,6.28,136316.98565314195
200.0,6.29,136534.06777728064
200.0,6.3,136751.14990118478
200.0,6.31,136968.2320256899
200.0,6.32,137185.3141493771
200.0,6.33,137402.3962738047
200.0,6.34,137619.4783978539
200.0,6.35,137836.56052216038
200.0,6.36,138053.64264621492
200.0,6.37,138270.7247700919
200.0,6.38,138487.8068946292
200.0,6.39,138704.88901856838
200.0,6.4,138921.97114263743
200.0,6.41,139139.053266931
200.0,6.42,139356.13539108646
200.0,6.43,139573.21751526778
200.0,6.44,139790.2996394613
200.0,6.45,140007.381763362
200.0,6.46,140224.46388777244
200.0,6.47,140441.54601161974
200.0,6.48,140658.62813580967
200.0,6.49,140875.7102600013
200.0,6.5,141092.79238422343
200.0,6.51,141309.87450828467
200.0,6.52,141526.95663253518
200.0,6.53,141744.03875653993
200.0,6.54,141961.12088067652
200.0,6.55,142178.2030050895
200.0,6.56,142395.2851292683
200.0,6.57,142612.36725304008
200.0,6.58,142829.4493773143
200.0,6.59,143046.53150161344
200.0,6.6,143263.61362537026
200.0,6.61,143480.69574974373
200.0,6.62,143697.77787422383
200.0,6.63,143914.8599982498
200.0,6.64,144131.94212229206
200.0,6.65,144349.02424672362
200.0,6.66,144566.10637092715
200.0,6.67,144783.18849502565
200.0,6.68,145000.2706194878
200.0,6.69,145217.35274379925
200.0,6.7,145434.43486820458
200.0,6.71,145651.51699207275
200.0,6.72,145868.59911597855
200.0,6.73,146085.6812393899
200.0,6.74,146302.76336188984
200.0,6.75,146519.84548355796
200.0,6.76,146736.92760363227
200.0,6.77,146954.0097207422
200.0,6.78,147171.09183498542
200.0,6.79,147388.17394415534
200.0,6.8,147605.25604757792
200.0,6.81,147822.33814208637
200.0,6.82,148039.42023068876
200.0,6.83,148256.50230966185
200.0,6.84,148473.58437709667
200.0,6.85,148690.66644684118
200.0,6.86,148907.74851527862
200.0,6.87,149124.83060616942
200.0,6.88,149341.91273484222
200.0,6.89,149558.99499389558
200.0,6.9,149776.07742044367
200.0,6.91,149993.16008373446
200.0,6.92,150210.2430040721
200.0,6.93,150427.33386188216
200.0,6.94,150644.33375821655
200.0,6.95,150861.88082847706
200.0,6.96,151098.10354761445
200.0,6.97,151561.23048131116
200.0,6.98,153121.6693719382
200.0,6.99,160258.4361806751
200.0,7.0,201915.0566404401
200.0,7.01,202208.33650036473
200.0,7.02,202496.99030666755
200.0,7.03,202785.46059375335
200.0,7.04,203073.99212932202
200.0,7.05,203362.47580387793
200.0,7.06,203650.95179027025
200.0,7.07,203939.45343794487
200.0,7.08,204227.92692859125
200.0,7.09,204516.25105212035
200.0,7.1,204801.99135350244
200.0,7.11,162679.5446253711
200.0,7.12,156228.33857962166
200.0,7.13,155048.0175974574
200.0,7.14,154997.62644784778
200.0,7.15,155202.52916925988
200.0,7.16,155420.4085600203
200.0,7.17,155637.5722932352
200.0,7.18,155854.66709571128
200.0,7.19,156071.7704926917
200.0,7.2,156288.87447718656
200.0,7.21,156505.97878760012
200.0,7.22,156723.0832531199
200.0,7.23,156940.18781625104
200.0,7.24,157157.29244946572
200.0,7.25,157374.39709256502
200.0,7.26,157591.50174849195
200.0,7.27,157808.60640549878
200.0,7.28,158025.71105171516
200.0,7.29,158242.81569098623
200.0,7.3,158459.92032137164
200.0,7.31,158677.0249455817
200.0,7.32,158894.12956377244
200.0,7.33,159111.23417758424
200.0,7.34,159328.33878821196
200.0,7.35,159545.4433965102
200.0,7.36,159762.54800307297
200.0,7.37,159979.65260852338
200.0,7.38,160196.7572133012
200.0,7.39,160413.86181758883
200.0,7.4,160630.9664216338
200.0,7.41,160848.07102552574
200.0,7.42,161065.17562936927
200.0,7.43,161282.28023320175
200.0,7.44,161499.38483702662
200.0,7.45,161716.48944087597
200.0,7.46,161933.59404475678
200.0,7.47,162150.69864865876
200.0,7.48,162367.80325257874
200.0,7.49,162584.9078565147
200.0,7.5,162802.01246046321
200.0,7.51,163019.11706442005
200.0,7.52,163236.2216683827
200.0,7.53,163453.32627234914
200.0,7.54,163670.43087631866
200.0,7.55,163887.53548028856
200.0,7.56,164104.64008425886
200.0,7.57,164321.74468823022
200.0,7.58,164538.84929220143
200.0,7.59,164755.9538961716
200.0,7.6,164973.0585001423
200.0,7.61,165190.1631041137
200.0,7.62,165407.2677080841
200.0,7.63,165624.37231205456
200.0,7.64,165841.47691602536
200.0,7.65,166058.581519996
200.0,7.66,166275.68612396592
200.0,7.67,166492.79072793698
200.0,7.68,166709.89533190837
200.0,7.69,166926.99993587864
200.0,7.7,167144.10453984895
200.0,7.71,167361.2091438203
200.0,7.72,167578.31374779053
200.0,7.73,167795.4183517607
200.0,7.74,168012.52295573198
200.0,7.75,168229.62755970284
200.0,7.76,168446.7321636735
200.0,7.77,168663.83676764395
200.0,7.78,168880.94137161446
200.0,7.79,169098.04597558532
200.0,7.8,169315.15057955525
200.0,7.81,169532.25518352655
200.0,7.82,169749.3597874975
200.0,7.83,169966.46439146856
200.0,7.84,170183.56899543866
200.0,7.85,170400.67359940955
200.0,7.86,170617.77820337936
200.0,7.87,170834.88280734967
200.0,7.88,171051.98741132056
200.0,7.89,171269.0920152921
200.0,7.9,171486.1966192628
200.0,7.91,171703.30122323395
200.0,7.92,171920.40582720417
200.0,7.93,172137.51043117506
200.0,7.94,172354.61503514572
200.0,7.95,172571.71963911716
200.0,7.96,172788.82424308604
200.0,7.97,173005.92884705827
200.0,7.98,173223.03345102756
200.0,7.99,173440.13805499798
2500.0,6.0,128815.45745302155
2500.0,6.01,129030.26711206888
2500.0,6.02,129245.07677111909
2500.0,6.03,129459.88643017365
2500.0,6.04,129674.69608922125
2500.0,6.05,129889.5057482763
2500.0,6.06,130104.31540732089
2500.0,6.07,130319.12506637399
2500.0,6.08,130533.93472542008
2500.0,6.09,130748.74438447373
2500.0,6.1,130963.55404352942
2500.0,6.11,131178.3637025844
2500.0,6.12,131393.17336163987
2500.0,6.13,131607.98302068605
2500.0,6.14,131822.79267973918
2500.0,6.15,132037.60233879084
2500.0,6.16,132252.4119978412
2500.0,6.17,132467.2216568864
2500.0,6.18,132682.03131594782
2500.0,6.19,132896.84097500306
2500.0,6.2,133111.65063405692
2500.0,6.21,133326.46029311416
2500.0,6.22,133541.2699521688
2500.0,6.23,133756.07961121833
2500.0,6.24,133970.88927026003
2500.0,6.25,134185.6989293188
2500.0,6.26,134400.5085883695
2500.0,6.27,134615.31824742313
2500.0,6.28,134830.12790647996
2500.0,6.29,135044.93756553374
2500.0,6.3,135259.74722458952
2500.0,6.31,135474.55688363808
2500.0,6.32,135689.36654269334
2500.0,6.33,135904.17620174345
2500.0,6.34,136118.9858607952
2500.0,6.35,136333.7955198516
2500.0,6.36,136548.60517889986
2500.0,6.37,136763.4148379492
2500.0,6.38,136978.2244970001
2500.0,6.39,137193.03415605178
2500.0,6.4,137407.84381510146
2500.0,6.41,137622.65347415395
2500.0,6.42,137837.46313320467
2500.0,6.43,138052.2727922582
2500.0,6.44,138267.08245131234
2500.0,6.45,138481.89211036477
2500.0,6.46,138696.70176941494
2500.0,6.47,138911.51142846962
2500.0,6.48,139126.32108751897
2500.0,6.49,139341.13074656855
2500.0,6.5,139555.9404056143
2500.0,6.51,139770.75006466187
2500.0,6.52,139985.5597237126
2500.0,6.53,140200.3693827647
2500.0,6.54,140415.17904181828
2500.0,6.55,140629.98870087217
2500.0,6.56,140844.7983599231
2500.0,6.57,141059.60801897643
2500.0,6.58,141274.41767802837
2500.0,6.59,141489.2273370743
2500.0,6.6,141704.03699612716
2500.0,6.61,141918.84665518533
2500.0,6.62,142133.65631424298
2500.0,6.63,142348.4659733026
2500.0,6.64,142563.2756323677
2500.0,6.65,142778.0852914336
2500.0,6.66,142992.8949505023
2500.0,6.67,143207.7046095779
2500.0,6.68,143422.51426865594
2500.0,6.69,143637.32392774895
2500.0,6.7,143852.1335869152
2500.0,6.71,144066.9432464665
2500.0,6.72,144281.75290791842
2500.0,6.73,144496.5625774839
2500.0,6.74,144711.37228091498
2500.0,6.75,144926.18211046304
2500.0,6.76,145140.99238359835
2500.0,6.77,145355.80409063396
2500.0,6.78,145570.6202590987
2500.0,6.79,145785.44934142596
2500.0,6.8,146000.31481450546
2500.0,6.81,146215.28042514002
2500.0,6.82,146430.5057491191
2500.0,6.83,146646.24793172345
2500.0,6.84,146863.24616356904
2500.0,6.85,147082.99144449586
2500.0,6.86,147308.05652388616
2500.0,6.87,147543.95730078052
2500.0,6.88,147799.3470265345
2500.0,6.89,148090.42867161075
2500.0,6.9,148439.6958263469
2500.0,6.91,148886.20672374335
2500.0,6.92,149490.12863580202
2500.0,6.93,150331.91208921862
2500.0,6.94,151529.07589050336
2500.0,6.95,153264.75983938994
2500.0,6.96,155771.82163165763
2500.0,6.97,159383.49071857225
2500.0,6.98,164651.35028518052
2500.0,6.99,173623.3075505274
2500.0,7.0,199289.52503331026
2500.0,7.01,199576.93681216144
2500.0,7.02,199861.80712589723
2500.0,7.03,200146.63384984373
2500.0,7.04,200431.48184485012
2500.0,7.05,200716.31723270673
2500.0,7.06,201001.15153695364
2500.0,7.07,201285.9940345901
2500.0,7.08,201570.83240628496
2500.0,7.09,201855.6387952887
2500.0,7.1,202140.02725499455
2500.0,7.11,176359.10156600428
2500.0,7.12,167978.38878531102
2500.0,7.13,163106.91816397163
2500.0,7.14,159835.92314477955
2500.0,7.15,157727.1839538204
