Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094470662,155977.42425326837,235183.90618096926,173159.3988102231,181751.53985565415
30.23,147384.69997045086,155974.49409216133,235176.89970794163,173155.89775468557,181747.75199402592
470.23,147352.29281399713,156595.60294625035,234290.69365602237,175305.01101708395,181480.12703268763
860.23,147341.0370174038,157677.5506210903,218572.59637020912,175962.0591460882,177570.2223209125
1360.23,147331.4703928699,149010.11594282213,138376.64883787915,156117.5553196076,164201.39285666455
2740.23,147314.88507111275,140501.0595610081,128184.88096160395,143995.95660640302,153751.34370080824
3000.23,147312.54662137906,139981.0231036694,128182.82121736092,142920.06393155552,152127.81129488978
4000.23,147304.80955773743,138903.10114877886,128176.50170627194,139608.96809124982,147027.15340278394
5000.23,147298.4621898127,138505.7284089812,128171.3268784227,137285.38281827167,143444.155703526
6000.23,147293.04007212372,138341.31047049962,128166.89986068364,135664.66752593944,140959.52686118594
7000.23,147288.28332774804,138261.8356932029,128163.01155830157,134541.7386481585,139247.05836169468
8000.23,147284.0306918895,138217.01331903186,128159.53215422784,133767.3768233697,138071.0703252515
9000.23,147280.17468948095,138188.6114410594,128156.37499624111,133235.0389818605,137265.269425127
10000,147276.63983464547,138169.2348329667,128153.47910842954,132869.76165489494,136713.81217556863
