Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.28006395472
0.0,6.01,130551.46284642174
0.0,6.02,130768.64562603208
0.0,6.03,130985.82840616364
0.0,6.04,131203.01118682424
0.0,6.05,131420.19396482228
0.0,6.06,131637.37674533454
0.0,6.07,131854.55952508023
0.0,6.08,132071.7423072221
0.0,6.09,132288.92508402705
0.0,6.1,132506.10786536022
0.0,6.11,132723.29064626282
0.0,6.12,132940.47342426644
0.0,6.13,133157.65620582507
0.0,6.14,133374.83898569245
0.0,6.15,133592.0217656509
0.0,6.16,133809.20454375027
0.0,6.17,134026.3873262577
0.0,6.18,134243.5701034829
0.0,6.19,134460.75288454906
0.0,6.2,134677.9356657589
0.0,6.21,134895.11844489307
0.0,6.22,135112.3012250769
0.0,6.23,135329.4840035359
0.0,6.24,135546.66678560537
0.0,6.25,135763.84956305774
0.0,6.26,135981.03234416677
0.0,6.27,136198.2151252248
0.0,6.28,136415.39790446617
0.0,6.29,136632.58068448317
0.0,6.3,136849.76346325348
0.0,6.31,137066.946244967
0.0,6.32,137284.12902278878
0.0,6.33,137501.31180394278
0.0,6.34,137718.49458351868
0.0,6.35,137935.67736406764
0.0,6.36,138152.86014378423
0.0,6.37,138370.04292266455
0.0,6.38,138587.22570412286
0.0,6.39,138804.40848312314
0.0,6.4,139021.5912629436
0.0,6.41,139238.77404347513
0.0,6.42,139455.95682350203
0.0,6.43,139673.1396036034
0.0,6.44,139890.32238362453
0.0,6.45,140107.5051625087
0.0,6.46,140324.6879437496
0.0,6.47,140541.87072232668
0.0,6.48,140759.0535024752
0.0,6.49,140976.23628254305
0.0,6.5,141193.41906293324
0.0,6.51,141410.60184236921
0.0,6.52,141627.78462278307
0.0,6.53,141844.96740231014
0.0,6.54,142062.15018217862
0.0,6.55,142279.33296312217
0.0,6.56,142496.51574334147
0.0,6.57,142713.69852158663
0.0,6.58,142930.88130202447
0.0,6.59,143148.06408277602
0.0,6.6,143365.24686103326
0.0,6.61,143582.4296417476
0.0,6.62,143799.61242293485
0.0,6.63,144016.7952025305
0.0,6.64,144233.9779817399
0.0,6.65,144451.16076253395
0.0,6.66,144668.34354254755
0.0,6.67,144885.52632179728
0.0,6.68,145102.70910269045
0.0,6.69,145319.89188297244
0.0,6.7,145537.07466381334
0.0,6.71,145754.25744243892
0.0,6.72,145971.44022204736
0.0,6.73,146188.62300052663
0.0,6.74,146405.80577672808
0.0,6.75,146622.9885518478
0.0,6.76,146840.17132472576
0.0,6.77,147057.35409129842
0.0,6.78,147274.53685306266
0.0,6.79,147491.71960633103
0.0,6.8,147708.9023495204
0.0,6.81,147926.08507682208
0.0,6.82,148143.2677956889
0.0,6.83,148360.45050006078
0.0,6.84,148577.63318526963
0.0,6.85,148794.81588162208
0.0,6.86,149011.9985813329
0.0,6.87,149229.18133189954
0.0,6.88,149446.36416155714
0.0,6.89,149663.5472446686
0.0,6.9,149880.7306403378
0.0,6.91,150097.91451684266
0.0,6.92,150315.09942479318
0.0,6.93,150532.2856713879
0.0,6.94,150749.47497647253
0.0,6.95,150966.66026609245
0.0,6.96,151183.9006092897
0.0,6.97,151400.94047814258
0.0,6.98,151618.6078231085
0.0,6.99,152227.85863675224
0.0,7.0,202073.83841369962
0.0,7.01,202371.42478990572
0.0,7.02,202660.94961110194
0.0,7.03,202948.81351675882
0.0,7.04,203237.46766515906
0.0,7.05,203526.36672831772
0.0,7.06,203814.80245017083
0.0,7.07,204103.7586296039
0.0,7.08,204392.38375198745
0.0,7.09,204680.6724895702
0.0,7.1,204966.3406457187
0.0,7.11,154438.49951039854
0.0,7.12,154659.14004147996
0.0,7.13,154876.33345799282
0.0,7.14,155093.527221991
0.0,7.15,155310.73349128172
0.0,7.16,155527.94847163462
0.0,7.17,155745.1667326481
0.0,7.18,155962.38702742697
0.0,7.19,156179.6091927056
0.0,7.2,156396.83193909665
0.0,7.21,156614.05534978403
0.0,7.22,156831.27902342344
0.0,7.23,157048.50287938744
0.0,7.24,157265.7268645181
0.0,7.25,157482.9508689993
0.0,7.26,157700.1748981059
0.0,7.27,157917.39892980614
0.0,7.28,158134.62294248593
0.0,7.29,158351.84694295938
0.0,7.3,158569.0709275977
0.0,7.31,158786.29490117476
0.0,7.32,159003.51886393488
0.0,7.33,159220.74281882393
0.0,7.34,159437.96676798107
0.0,7.35,159655.19071293104
0.0,7.36,159872.41465473906
0.0,7.37,160089.6385945313
0.0,7.38,160306.86253309945
0.0,7.39,160524.08647077435
0.0,7.4,160741.31040800383
0.0,7.41,160958.53434495296
0.0,7.42,161175.75828181137
0.0,7.43,161392.98221864877
0.0,7.44,161610.20615547517
0.0,7.45,161827.43009233742
0.0,7.46,162044.65402925355
