Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.28006256596
0.0,6.01,130551.46301481397
0.0,6.02,130768.64596233844
0.0,6.03,130985.82891070664
0.0,6.04,131203.01185999787
0.0,6.05,131420.19480486933
0.0,6.06,131637.37775394443
0.0,6.07,131854.56070167889
0.0,6.08,132071.74365336003
0.0,6.09,132288.92659632882
0.0,6.1,132506.10954668117
0.0,6.11,132723.29249632385
0.0,6.12,132940.47544123538
0.0,6.13,133157.6583919904
0.0,6.14,133374.8413399227
0.0,6.15,133592.02428806276
0.0,6.16,133809.20723310785
0.0,6.17,134026.3901854272
0.0,6.18,134243.57312905195
0.0,6.19,134460.75607897094
0.0,6.2,134677.93902911295
0.0,6.21,134895.1219758662
0.0,6.22,135112.30492436743
0.0,6.23,135329.48787000234
0.0,6.24,135546.67082161264
0.0,6.25,135763.8537656112
0.0,6.26,135981.03671560308
0.0,6.27,136198.21966549527
0.0,6.28,136415.40261242355
0.0,6.29,136632.5855606467
0.0,6.3,136849.76850678818
0.0,6.31,137066.95145780168
0.0,6.32,137284.13440240582
0.0,6.33,137501.3173524676
0.0,6.34,137718.5002999621
0.0,6.35,137935.68324901848
0.0,6.36,138152.86619675093
0.0,6.37,138370.04914311165
0.0,6.38,138587.23209365757
0.0,6.39,138804.41504019144
0.0,6.4,139021.59798811233
0.0,6.41,139238.78093714328
0.0,6.42,139455.9638853654
0.0,6.43,139673.14683371485
0.0,6.44,139890.3297819125
0.0,6.45,140107.512728275
0.0,6.46,140324.6956784991
0.0,6.47,140541.87862433615
0.0,6.48,140759.06157277036
0.0,6.49,140976.24452104722
0.0,6.5,141193.4274698799
0.0,6.51,141410.61041713005
0.0,6.52,141627.79336597677
0.0,6.53,141844.9763134076
0.0,6.54,142062.1592613672
0.0,6.55,142279.34221105598
0.0,6.56,142496.52515960758
0.0,6.57,142713.70810491254
0.0,6.58,142930.89105379986
0.0,6.59,143148.07400320706
0.0,6.6,143365.2569485274
0.0,6.61,143582.4398978346
0.0,6.62,143799.62284788082
0.0,6.63,144016.8057953686
0.0,6.64,144233.98874216966
0.0,6.65,144451.1716915308
0.0,6.66,144668.3546396189
0.0,6.67,144885.5375864057
0.0,6.68,145102.7205358872
0.0,6.69,145319.90348438674
0.0,6.7,145537.08643389176
0.0,6.71,145754.26937990653
0.0,6.72,145971.4523278781
0.0,6.73,146188.63527453312
0.0,6.74,146405.818218265
0.0,6.75,146623.0011614915
0.0,6.76,146840.18410310193
0.0,6.77,147057.36703731102
0.0,6.78,147274.54996710957
0.0,6.79,147491.7328887576
0.0,6.8,147708.91580009216
0.0,6.81,147926.0986950081
0.0,6.82,148143.28158277666
0.0,6.83,148360.46445605502
0.0,6.84,148577.64730910762
0.0,6.85,148794.83017570095
0.0,6.86,149012.0130452219
0.0,6.87,149229.19596613804
0.0,6.88,149446.37896699418
0.0,6.89,149663.5622235531
0.0,6.9,149880.7457913569
0.0,6.91,150097.92984070542
0.0,6.92,150315.1149205299
0.0,6.93,150532.30133518708
0.0,6.94,150749.49080050294
0.0,6.95,150966.67623165128
0.0,6.96,151183.91668222053
0.0,6.97,151400.9565941293
0.0,6.98,151618.62370894777
0.0,6.99,152227.8743290199
0.0,7.0,202073.879970585
0.0,7.01,202371.45061650025
0.0,7.02,202660.9756229715
0.0,7.03,202948.83812930732
0.0,7.04,203237.49141730156
0.0,7.05,203526.39061890112
0.0,7.06,203814.8261202207
0.0,7.07,204103.78275201443
0.0,7.08,204392.40837745141
0.0,7.09,204680.69933405495
0.0,7.1,204966.65388067352
0.0,7.11,154438.5133714694
0.0,7.12,154659.15701731018
0.0,7.13,154876.35077964375
0.0,7.14,155093.54466833212
0.0,7.15,155310.75099299924
0.0,7.16,155527.96599266486
0.0,7.17,155745.18426215232
0.0,7.18,155962.4045616116
0.0,7.19,156179.62672684548
0.0,7.2,156396.84947230454
0.0,7.21,156614.07288151124
0.0,7.22,156831.29655359586
0.0,7.23,157048.52040818136
0.0,7.24,157265.74439204374
0.0,7.25,157482.96839553185
0.0,7.26,157700.19242389366
0.0,7.27,157917.4164549952
0.0,7.28,158134.64046726236
0.0,7.29,158351.8644674398
0.0,7.3,158569.08845188716
0.0,7.31,158786.3124253349
0.0,7.32,159003.53638801456
0.0,7.33,159220.76034285838
0.0,7.34,159437.98429199183
0.0,7.35,159655.20823693043
0.0,7.36,159872.43217873492
0.0,7.37,160089.65611852802
0.0,7.38,160306.88005709843
0.0,7.39,160524.1039947766
0.0,7.4,160741.3279320096
0.0,7.41,160958.55186896177
0.0,7.42,161175.77580582234
0.0,7.43,161392.99974266157
0.0,7.44,161610.22367948957
0.0,7.45,161827.44761635287
0.0,7.46,162044.6715532697
0.0,7.47,162261.8954902243
0.0,7.48,162479.1194272074
0.0,7.49,162696.34336421927
0.0,7.5,162913.5673012543
0.0,7.51,163130.79123830446
0.0,7.52,163348.0151753652
0.0,7.53,163565.239112434
0.0,7.54,163782.4630495079
0.0,7.55,163999.6869865834
0.0,7.56,164216.91092366018
0.0,7.57,164434.13486073844
0.0,7.58,164651.35879781653
0.0,7.59,164868.58273489372
0.0,7.6,165085.8066719712
0.0,7.61,165303.03060904914
0.0,7.62,165520.2545461263
0.0,7.63,165737.47848320342
0.0,7.64,165954.70242028078
0.0,7.65,166171.9263573579
0.0,7.66,166389.15029443477
0.0,7.67,166606.37423151237
0.0,7.68,166823.59816859025
0.0,7.69,167040.82210566706
0.0,7.7,167258.04604274422
0.0,7.71,167475.26997982172
0.0,7.72,167692.49391689865
0.0,7.73,167909.71785397548
0.0,7.74,168126.9417910531
0.0,7.75,168344.16572813093
0.0,7.76,168561.38966520753
0.0,7.77,168778.61360228475
0.0,7.78,168995.83753936194
0.0,7.79,169213.0614764391
0.0,7.8,169430.28541351607
0.0,7.81,169647.50935059396
0.0,7.82,169864.7332876717
