Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094178596,155977.44085491597,235183.98275590737,173159.43351628573,181751.57456171841
30.23,147384.69996753574,155974.51066329968,235176.97511572784,173155.93263956998,181747.78687894478
470.23,147352.29281378645,156595.6034834957,234290.70009404546,175305.0127756615,181480.1297399545
860.23,147341.0370173304,157677.55033819284,218572.59863550428,175962.059630788,177570.2232419233
1360.23,147331.47039283125,149010.1163200851,138376.6495025547,156117.5559345239,164201.393458473
2740.23,147314.8850711445,140501.0596885836,128184.88116322443,143995.95684258323,153751.3439843383
3000.23,147312.54662141966,139981.02320591378,128182.82138825311,142920.06413612247,152127.81154290852
4000.23,147304.8095577939,138903.10119675292,128176.50180447903,139608.96821704958,147027.153558235
5000.23,147298.4621898694,138505.7284351273,128171.32694032874,137285.38290070643,143444.15580594167
6000.23,147293.04007217565,138341.31048667198,128166.89990222038,135664.66758198768,140959.52693071225
7000.23,147288.2833277942,138261.8357041545,128163.01158744555,134541.7386872324,139247.05840990273
8000.23,147284.03069192983,138217.01332690302,128159.53217537102,133767.3768511411,138071.0703591634
9000.23,147280.17468951587,138188.61144693894,128156.37501198138,133235.03900192693,137265.269449348
10000,147276.6398346758,138169.23483747747,128153.47912039093,132869.76166961432,136713.8121931303
