Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.28006271234
0.0,6.01,130551.46298142486
0.0,6.02,130768.64589561896
0.0,6.03,130985.8288106353
0.0,6.04,131203.0117265046
0.0,6.05,131420.19463816448
0.0,6.06,131637.3775538153
0.0,6.07,131854.5604682233
0.0,6.08,132071.74338641198
0.0,6.09,132288.92629621146
0.0,6.1,132506.10921312033
0.0,6.11,132723.29212935083
0.0,6.12,132940.47504103096
0.0,6.13,133157.65795830986
0.0,6.14,133374.84087291692
0.0,6.15,133592.02378767953
0.0,6.16,133809.20669949747
0.0,6.17,134026.38961827694
0.0,6.18,134243.5725287257
0.0,6.19,134460.7554452164
0.0,6.2,134677.93836192766
0.0,6.21,134895.12127538287
0.0,6.22,135112.3041904974
0.0,6.23,135329.48710288256
0.0,6.24,135546.67002097965
0.0,6.25,135763.85293178583
0.0,6.26,135981.03584834532
0.0,6.27,136198.21876481667
0.0,6.28,136415.40167844115
0.0,6.29,136632.58459329166
0.0,6.3,136849.7675061632
0.0,6.31,137066.9504236909
0.0,6.32,137284.1333350795
0.0,6.33,137501.31625171143
0.0,6.34,137718.4991658658
0.0,6.35,137935.68208153837
0.0,6.36,138152.86499591696
0.0,6.37,138370.04790897816
0.0,6.38,138587.23082608782
0.0,6.39,138804.41373932938
0.0,6.4,139021.59665387994
0.0,6.41,139238.7795695269
0.0,6.42,139455.962484386
0.0,6.43,139673.14539936566
0.0,6.44,139890.32831421244
0.0,6.45,140107.51122728176
0.0,6.46,140324.6941440577
0.0,6.47,140541.87705663074
0.0,6.48,140759.0599716905
0.0,6.49,140976.24288661027
0.0,6.5,141193.42580204929
0.0,6.51,141410.60871598287
0.0,6.52,141627.79163144724
0.0,6.53,141844.9745455318
0.0,6.54,142062.15746014117
0.0,6.55,142279.34037642664
0.0,6.56,142496.52329159278
0.0,6.57,142713.70620364966
0.0,6.58,142930.88911915314
0.0,6.59,143148.0720351456
0.0,6.6,143365.2549472105
0.0,6.61,143582.43786312535
0.0,6.62,143799.62077975651
0.0,6.63,144016.80369389014
0.0,6.64,144233.9866073932
0.0,6.65,144451.16952336574
0.0,6.66,144668.35243809375
0.0,6.67,144885.5353515899
0.0,6.68,145102.71826767144
0.0,6.69,145319.901182806
0.0,6.7,145537.08409890236
0.0,6.71,145754.2670116392
0.0,6.72,145971.44992622448
0.0,6.73,146188.63283952157
0.0,6.74,146405.81574995373
0.0,6.75,146622.9986598367
0.0,6.76,146840.18156803428
0.0,6.77,147057.36446892607
0.0,6.78,147274.54736538633
0.0,6.79,147491.7302536533
0.0,6.8,147708.91313161032
0.0,6.81,147926.0959932101
0.0,6.82,148143.27884755313
0.0,6.83,148360.4616873648
0.0,6.84,148577.6445070355
0.0,6.85,148794.827340027
0.0,6.86,149012.0101759907
0.0,6.87,149229.19306325604
0.0,6.88,149446.37603039018
0.0,6.89,149663.55925308014
0.0,6.9,149880.7427871976
0.0,6.91,150097.92680292967
0.0,6.92,150315.11184957717
0.0,6.93,150532.29823187654
0.0,6.94,150749.48766652978
0.0,6.95,150966.6730703497
0.0,6.96,151183.91350020887
0.0,6.97,151400.95340270374
0.0,6.98,151618.6205484693
0.0,6.99,152227.87126702213
0.0,7.0,202073.87374325632
0.0,7.01,202371.44561935865
0.0,7.02,202660.97068883575
0.0,7.03,202948.8333272694
0.0,7.04,203237.48669801143
0.0,7.05,203526.3858731336
0.0,7.06,203814.82139510673
0.0,7.07,204103.77795181528
0.0,7.08,204392.40349360232
0.0,7.09,204680.69413241118
0.0,7.1,204966.63001247786
0.0,7.11,154438.51034034774
0.0,7.12,154659.15363911228
0.0,7.13,154876.3473408277
