Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.3509417457,155977.44134335523,235183.98464238612,173159.43454341948,181751.57558885205
30.23,147384.6999674999,155974.51112572133,235176.9769061574,173155.9336181074,181747.78785748273
470.23,147352.29281378837,156595.60350039796,234290.70015195743,175305.01282581227,181480.1297908029
860.23,147341.03701733286,157677.5503341409,218572.5986180553,175962.05963653408,177570.22324553426
1360.23,147331.47039283335,149010.11632125138,138376.64949093183,156117.55592861137,164201.39345267223
2740.23,147314.8850711402,140501.0596835622,128184.88114465117,143995.95682890178,153751.34397000284
3000.23,147312.54662141358,139981.02320085108,128182.8213702214,142920.06412282443,152127.8115290309
4000.23,147304.80955778222,138903.1011920681,128176.50178914846,139608.96820573267,147027.15354657816
5000.23,147298.46218985482,138505.72843108128,128171.32692765562,137285.38289136655,143444.15579640973
6000.23,147293.04007215978,138341.31048324137,128166.89989179235,135664.6675742474,140959.52692286373
7000.23,147288.28332777802,138261.83570125198,128163.01157884707,134541.73868080764,139247.05840339616
8000.23,147284.03069191394,138217.01332444232,128159.53216825306,133767.37684577654,138071.07035377197
9000.23,147280.17468950077,138188.61144484408,128156.37500606308,133235.03899742043,137265.26944474646
10000,147276.63983466156,138169.23483568762,128153.47911544972,132869.7616658084,136713.8121893106
