Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.28006266836
0.0,6.01,130551.4629914625
0.0,6.02,130768.64591567656
0.0,6.03,130985.82884071939
0.0,6.04,131203.0117666363
0.0,6.05,131420.19468828032
0.0,6.06,131637.3776139794
0.0,6.07,131854.5605384062
0.0,6.08,132071.74346666344
0.0,6.09,132288.92638643458
0.0,6.1,132506.10931339738
0.0,6.11,132723.29223967274
0.0,6.12,132940.47516134297
0.0,6.13,133157.65808868574
0.0,6.14,133374.84101331106
0.0,6.15,133592.02393810797
0.0,6.16,133809.20685991488
0.0,6.17,134026.38978877725
0.0,6.18,134243.57270919968
0.0,6.19,134460.7556357398
0.0,6.2,134677.93856250113
0.0,6.21,134895.1214859667
0.0,6.22,135112.30441111812
0.0,6.23,135329.48733349907
0.0,6.24,135546.67026167104
0.0,6.25,135763.85318245576
0.0,6.26,135981.03610906602
0.0,6.27,136198.2190355843
0.0,6.28,136415.40195922094
0.0,6.29,136632.58488410412
0.0,6.3,136849.76780697747
0.0,6.31,137066.95073457187
0.0,6.32,137284.13365594612
0.0,6.33,137501.3165826279
0.0,6.34,137718.499506805
0.0,6.35,137935.68243251374
0.0,6.36,138152.86535691938
0.0,6.37,138370.04827999132
0.0,6.38,138587.23120715274
0.0,6.39,138804.4141304028
0.0,6.4,139021.59705498544
0.0,6.41,139238.7799806685
0.0,6.42,139455.9629055573
0.0,6.43,139673.14583056892
0.0,6.44,139890.32875544182
0.0,6.45,140107.51167851992
0.0,6.46,140324.69460535143
0.0,6.47,140541.87752792457
0.0,6.48,140759.0604530174
0.0,6.49,140976.24337796512
0.0,6.5,141193.42630344327
0.0,6.51,141410.60922739282
0.0,6.52,141627.7921528928
0.0,6.53,141844.97507700202
0.0,6.54,142062.1580016373
0.0,6.55,142279.3409279647
0.0,6.56,142496.52385316743
0.0,6.57,142713.7067752196
0.0,6.58,142930.8897007592
0.0,6.59,143148.07262679702
0.0,6.6,143365.25554885945
0.0,6.61,143582.43847481287
0.0,6.62,143799.62140148942
0.0,6.63,144016.8043256502
0.0,6.64,144233.9872491636
0.0,6.65,144451.1701751736
0.0,6.66,144668.35309993054
0.0,6.67,144885.53602343483
0.0,6.68,145102.7189495571
0.0,6.69,145319.9018747221
0.0,6.7,145537.084800862
0.0,6.71,145754.26772360317
0.0,6.72,145971.4506482252
0.0,6.73,146188.63357155063
0.0,6.74,146405.81649199355
0.0,6.75,146622.9994119004
0.0,6.76,146840.18233014274
0.0,6.77,147057.3652410506
0.0,6.78,147274.54814753323
0.0,6.79,147491.73104583548
0.0,6.8,147708.9139338267
0.0,6.81,147926.09680544218
0.0,6.82,148143.2796698338
0.0,6.83,148360.46251970655
0.0,6.84,148577.6453494127
0.0,6.85,148794.82819250564
0.0,6.86,149012.01103855734
0.0,6.87,149229.19393593894
0.0,6.88,149446.37691321096
0.0,6.89,149663.5601460827
0.0,6.9,149880.74369032696
0.0,6.91,150097.92771616502
0.0,6.92,150315.11277278594
0.0,6.93,150532.29916481287
0.0,6.94,150749.48860868404
0.0,6.95,150966.67402071974
0.0,6.96,151183.9144568049
0.0,6.97,151400.9543621302
0.0,6.98,151618.6214985967
0.0,6.99,152227.87218759555
0.0,7.0,202073.87561479714
0.0,7.01,202371.4471215978
0.0,7.02,202660.97217204512
0.0,7.03,202948.8347708386
0.0,7.04,203237.48811674485
0.0,7.05,203526.38729983315
0.0,7.06,203814.82281561272
0.0,7.07,204103.77939487982
0.0,7.08,204392.4049618069
0.0,7.09,204680.69569613866
0.0,7.1,204966.63718434167
0.0,7.11,154438.51125161917
0.0,7.12,154659.15465468384
0.0,7.13,154876.3483746224
0.0,7.14,155093.54224614904
0.0,7.15,155310.74856243283
0.0,7.16,155527.96355853922
0.0,7.17,155745.18182609926
0.0,7.18,155962.40212441824
0.0,7.19,156179.62428926723
0.0,7.2,156396.84703454236
0.0,7.21,156614.07044374387
0.0,7.22,156831.2941158845
0.0,7.23,157048.51797055008
0.0,7.24,157265.7419545094
0.0,7.25,157482.96595807883
0.0,7.26,157700.18998650913
0.0,7.27,157917.41401766925
0.0,7.28,158134.6380299785
0.0,7.29,158351.86203018765
0.0,7.3,158569.08601465655
0.0,7.31,158786.30998811964
0.0,7.32,159003.5339508096
0.0,7.33,159220.75790565962
0.0,7.34,159437.98185479676
0.0,7.35,159655.20579973754
0.0,7.36,159872.42974154322
0.0,7.37,160089.6536813368
0.0,7.38,160306.87761990726
0.0,7.39,160524.10155758532
0.0,7.4,160741.3254948179
0.0,7.41,160958.5494317699
0.0,7.42,161175.77336863044
0.0,7.43,161392.9973054696
0.0,7.44,161610.22124229738
0.0,7.45,161827.4451791605
0.0,7.46,162044.66911607725
0.0,7.47,162261.89305303182
0.0,7.48,162479.11699001485
0.0,7.49,162696.3409270268
0.0,7.5,162913.56486406166
0.0,7.51,163130.78880111175
0.0,7.52,163348.01273817263
0.0,7.53,163565.23667524147
0.0,7.54,163782.4606123154
0.0,7.55,163999.68454939092
0.0,7.56,164216.90848646758
0.0,7.57,164434.13242354587
0.0,7.58,164651.3563606241
0.0,7.59,164868.58029770124
0.0,7.6,165085.80423477857
0.0,7.61,165303.0281718567
0.0,7.62,165520.25210893375
0.0,7.63,165737.47604601082
0.0,7.64,165954.6999830882
0.0,7.65,166171.92392016525
0.0,7.66,166389.1478572423
0.0,7.67,166606.3717943199
0.0,7.68,166823.59573139765
0.0,7.69,167040.81966847452
0.0,7.7,167258.04360555144
0.0,7.71,167475.26754262912
0.0,7.72,167692.49147970622
0.0,7.73,167909.71541678283
0.0,7.74,168126.93935386054
0.0,7.75,168344.16329093842
0.0,7.76,168561.3872280151
0.0,7.77,168778.6111650924
0.0,7.78,168995.8351021696
0.0,7.79,169213.05903924684
0.0,7.8,169430.2829763236
0.0,7.81,169647.50691340133
0.0,7.82,169864.73085047898
0.0,7.83,170081.95478755608
0.0,7.84,170299.17872463318
0.0,7.85,170516.4026617104
0.0,7.86,170733.62659878726
0.0,7.87,170950.85053586378
0.0,7.88,171168.07447294152
0.0,7.89,171385.29841001958
0.0,7.9,171602.52234709647
0.0,7.91,171819.74628417482
0.0,7.92,172036.97022125128
0.0,7.93,172254.19415832902
0.0,7.94,172471.41809540585
0.0,7.95,172688.64203248432
0.0,7.96,172905.86596955944
0.0,7.97,173123.0899066386
0.0,7.98,173340.31384371445
0.0,7.99,173557.5377807911
200.0,6.0,130238.68617612898
200.0,6.01,130455.7684191727
