Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.3509080364,155977.59851739267,235184.71554050792,173159.76443222858,181751.90547766126
30.23,147384.6999337932,155974.66830690278,235177.69453800595,173156.2658881445,181748.1201277012
470.23,147352.29281150844,156595.60840585816,234290.76607336095,175305.0386819255,181480.1576635601
860.23,147341.03701652112,157677.54621171593,218572.62280232878,175962.07126265732,177570.2338848278
1360.23,147331.4703923926,149010.1208015382,138376.65695545787,156117.56142728493,164201.39933282137
2740.23,147314.8850715487,140501.0612723161,128184.88370514913,143995.95880658957,153751.34599150746
3000.23,147312.54662194866,139981.02448553205,128182.82359077137,142920.06583090214,152127.81327061448
4000.23,147304.80955858863,138903.10182542203,128176.50318192225,139608.96926208545,147027.15461924914
5000.23,147298.46219073652,138505.72880227873,128171.32788502573,137285.38361151758,143444.15652537206
6000.23,147293.04007303962,138341.3107337613,128166.90059171953,135664.66809958222,140959.52745285336
7000.23,147288.2833286269,138261.83588735614,128163.01211360995,134541.73908302528,139247.05880798085
8000.23,147284.03069272116,138217.01347125537,128159.53259047274,133767.3771650772,138071.07067421277
9000.23,147280.17469026314,138188.61156514846,128156.37534798484,133235.0392580367,137265.2697060004
10000,147276.63983537874,138169.23493683094,128153.47939798514,132869.7618832289,136713.81240690415
