Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.28005893617
0.0,6.01,130551.46338876903
0.0,6.02,130768.64670895821
0.0,6.03,130985.83003090622
0.0,6.04,131203.01335474805
0.0,6.05,131420.1966696167
0.0,6.06,131637.37999305606
0.0,6.07,131854.56331371167
0.0,6.08,132071.74664236594
0.0,6.09,132288.92995340595
0.0,6.1,132506.1132793569
0.0,6.11,132723.2966038667
0.0,6.12,132940.4799188442
0.0,6.13,133157.663245613
0.0,6.14,133374.84656671132
0.0,6.15,133592.02988822557
0.0,6.16,133809.2132034105
0.0,6.17,134026.396533393
0.0,6.18,134243.57984575542
0.0,6.19,134460.76317083405
0.0,6.2,134677.946496331
0.0,6.21,134895.12981503748
0.0,6.22,135112.31313728236
0.0,6.23,135329.49645366883
0.0,6.24,135546.67978222208
0.0,6.25,135763.86309533843
0.0,6.26,135981.0464205614
0.0,6.27,136198.22974555384
0.0,6.28,136415.41306462325
0.0,6.29,136632.59638630386
0.0,6.3,136849.7797037105
0.0,6.31,137066.96303104644
0.0,6.32,137284.14634538538
0.0,6.33,137501.32967076596
0.0,6.34,137718.51299095206
0.0,6.35,137935.69631427547
0.0,6.36,138152.87963493587
0.0,6.37,138370.06295282498
0.0,6.38,138587.24627920476
0.0,6.39,138804.42959743313
0.0,6.4,139021.61291851
0.0,6.41,139238.79624177748
0.0,6.42,139455.97956341895
0.0,6.43,139673.16288534296
0.0,6.44,139890.34620695486
0.0,6.45,140107.52952486963
0.0,6.46,140324.7128505813
0.0,6.47,140541.89616739962
0.0,6.48,140759.0794895401
0.0,6.49,140976.26281131554
0.0,6.5,141193.44613423312
0.0,6.51,141410.62945394585
0.0,6.52,141627.81277680965
0.0,6.53,141844.9960968498
0.0,6.54,142062.17941798348
0.0,6.55,142279.36274258737
0.0,6.56,142496.54606492943
0.0,6.57,142713.7293807151
0.0,6.58,142930.9127037299
0.0,6.59,143148.09602775006
0.0,6.6,143365.27934352346
0.0,6.61,143582.46266735153
0.0,6.62,143799.64599257743
0.0,6.63,144016.82931263058
0.0,6.64,144234.01263130532
0.0,6.65,144451.19595511782
0.0,6.66,144668.37927629816
0.0,6.67,144885.56259480614
0.0,6.68,145102.7459187616
0.0,6.69,145319.92924073455
0.0,6.7,145537.1125648974
0.0,6.71,145754.29588224116
0.0,6.72,145971.47920408205
0.0,6.73,146188.6625241142
0.0,6.74,146405.8458395187
0.0,6.75,146623.02915599153
0.0,6.76,146840.21247245153
0.0,6.77,147057.39577859547
0.0,6.78,147274.57908143883
0.0,6.79,147491.76237697934
0.0,6.8,147708.9456615529
0.0,6.81,147926.1289283825
