Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094247124,155977.4110153835,235183.87856307815,173159.37051207916,181751.51155751114
30.23,147384.69996822326,155974.4808977716,235176.86937422832,173155.8694721239,181747.72371149444
470.23,147352.29281394355,156595.59746257163,234290.67622646692,175304.99882692163,181480.1158558681
860.23,147341.03701741388,157677.547177946,218572.58597936225,175962.05166066712,177570.21550033643
1360.23,147331.47039289025,149010.11417804458,138376.64333729097,156117.55052016175,164201.38790831625
2740.23,147314.88507106306,140501.05870013763,128184.87833884275,143995.95433649299,153751.3413742246
3000.23,147312.54662131073,139981.02232970673,128182.81887630881,142920.061920553,152127.80924289618
4000.23,147304.80955762177,138903.10062104557,128176.50013902584,139608.96677770544,147027.152080344
5000.23,147298.46218968046,138505.72803661306,128171.325782244,137285.3819153142,143444.15480231107
6000.23,147293.0400719916,138341.3102005522,128166.89906938432,135664.66688122402,140959.52622109646
7000.23,147288.2833276244,138261.83549326553,128163.01097361477,134541.73817469378,139247.05789299041
8000.23,147284.03069177747,138217.01316841022,128159.53171451352,133767.37646829878,138071.06997413345
9000.23,147280.17468938188,138188.61132603954,128156.3746609851,133235.03871130155,137265.2691576691
10000,147276.63983455932,138169.2347441629,128153.47884999264,132869.761446161,136713.8119690885
