Time(s),outletFlowRate(Kg/s)
0,0.00016299999999999935
5.109999999999999,0.0001629999999999993
10.23,0.0001629999999999993
20.23,0.00016299999999999935
30.23,0.00016299999999999935
40.230000000000004,0.00016299999999999935
50.230000000000004,0.00016299999999999935
60.230000000000004,0.00016299999999999935
70.23,0.00016299999999999935
80.23,0.00016299999999999935
90.23,0.00016299999999999935
100.23,0.00015121137404656816
110.23,0.00014040055990061597
120.23,0.00013120568977154692
130.23000000000002,0.00012327870904135703
140.23000000000002,0.00011636617548651702
150.23000000000002,0.00011027891613676175
160.23000000000002,0.00010487271224790746
170.23000000000002,0.00010003558867604903
180.23000000000002,9.567920651704839e-05
190.23000000000002,9.173288733181674e-05
200.23000000000002,8.813937255817896e-05
210.23000000000002,8.485175533965437e-05
220.23000000000002,8.183122189013648e-05
230.23000000000002,7.904536277410604e-05
240.23000000000002,7.646689246810056e-05
250.23000000000002,7.407266606108123e-05
260.23,7.184291532972413e-05
270.23,6.976064891054904e-05
280.23,6.781117670178557e-05
290.23,6.598172935787816e-05
300.23,6.426115131928596e-05
310.23,6.263965124671466e-05
320.23,6.110859766214292e-05
330.23,5.9660350482777865e-05
340.23,5.828812127110697e-05
350.23,5.698585662375063e-05
360.23,5.574814033020684e-05
370.23,5.457011085352994e-05
380.23,5.3447391392619186e-05
390.23,5.237603033372687e-05
400.23,5.135245032621089e-05
410.23,5.037340455320367e-05
420.23,4.9435939033221525e-05
430.23,4.853735999978109e-05
440.23,4.767520557493405e-05
450.23,4.684722108846674e-05
460.23,4.6051337504368674e-05
470.23,4.5285652505466824e-05
480.23,4.454841386005346e-05
490.23,4.3838004754169534e-05
500.23,4.315293082252405e-05
510.23,4.249180865182596e-05
520.23,4.185335556422429e-05
530.23,4.123638051680936e-05
540.23,4.0639775976826396e-05
550.23,4.0062510652117634e-05
560.23,3.9503622973083985e-05
570.23,3.896221523664102e-05
580.23,3.8437448334653356e-05
590.23,3.7928536999590506e-05
600.23,3.743474550886318e-05
610.23,3.695538379679125e-05
620.23,3.648980392955243e-05
630.23,3.6037396904003696e-05
640.23,3.559758973600828e-05
650.23,3.516984280803533e-05
660.23,3.475364744935689e-05
670.23,3.4348523725276496e-05
680.23,3.395401841452054e-05
690.23,3.3569703156274495e-05
700.23,3.3195172750421515e-05
710.23,3.283004359632222e-05
720.23,3.247395225708744e-05
730.23,3.212655413766156e-05
740.23,3.1787522266286464e-05
750.23,3.1456546169983634e-05
760.23,3.11333308356583e-05
770.23,3.0817595749278204e-05
780.23,3.0509074006334286e-05
790.23,3.0207511487455083e-05
800.23,2.991266609365101e-05
810.23,2.96243070361875e-05
820.23,2.934221417657005e-05
830.23,2.9066177412539367e-05
840.23,2.8795996106360625e-05
850.23,2.853147855203011e-05
860.23,2.8272441478326372e-05
870.23,2.80187095849126e-05
880.23,2.7770115108936953e-05
890.23,2.752649741980897e-05
900.23,2.728770264002594e-05
910.23,2.705358329010574e-05
920.23,2.6823997955849404e-05
930.23,2.659881097630199e-05
940.23,2.6377892150920544e-05
950.23,2.6161116464572892e-05
960.23,2.5948363829110763e-05
970.23,2.5739518840355294e-05
980.23,2.5534470549428333e-05
990.23,2.5333112247446235e-05
1000.23,2.513534126266972e-05
1010.23,2.4941058769272208e-05
1020.23,2.4750169606953535e-05
1030.23,2.456258211068654e-05
1040.23,2.4378207949931745e-05
1050.23,2.4196961976712132e-05
1060.23,2.4018762081977587e-05
1070.23,2.384352905973644e-05
1080.23,2.367118647846283e-05
1090.23,2.350166055932883e-05
1100.23,2.3334880060841724e-05
1110.23,2.3170776169490445e-05
1120.23,2.300928239604174e-05
1130.23,2.2850334477145135e-05
1140.23,2.269387028192972e-05
1150.23,2.2539829723298815e-05
1160.23,2.2388154673648953e-05
1170.23,2.223878888475583e-05
1180.23,2.2091677911584933e-05
1190.23,2.194676903980951e-05
1200.23,2.1804011216818317e-05
1210.23,2.1663354986024753e-05
1220.23,2.152475242428748e-05
1230.23,2.1388157082277347e-05
1240.23,2.1253523927621907e-05
1250.23,2.112080929068452e-05
1260.23,2.0989970812829867e-05
1270.23,2.0860967397047364e-05
1280.23,2.0733759160804064e-05
1290.23,2.0608307391013048e-05
1300.23,2.0484574501005154e-05
1310.23,2.0362523989398603e-05
1320.23,2.024212040077413e-05
1330.23,2.012332928805678e-05
1340.23,2.0006117176524093e-05
1350.23,1.9890451529354492e-05
1360.23,1.9776300714642205e-05
1370.23,1.966363397380358e-05
1380.23,1.9552421391308334e-05
1390.23,1.944263386566917e-05
1400.23,1.9334243081631597e-05
1410.23,1.9227221483502834e-05
1420.23,1.9121542249567678e-05
1430.23,1.9017179267539314e-05
1440.23,1.8914107110996046e-05
1450.23,1.881230101675685e-05
1460.23,1.871173686315501e-05
1470.23,1.861239114916501e-05
1480.23,1.851424097434569e-05
1490.23,1.8417264019561696e-05
1500.23,1.8321438528449088e-05
1510.23,1.822674328958861e-05
1520.23,1.8133157619360415e-05
1530.23,1.8040661345444293e-05
1540.23,1.794923479094007e-05
1550.23,1.7858858759081628e-05
1560.23,1.776951451851671e-05
1570.23,1.7681183789128694e-05
1580.23,1.7593848728377725e-05
1590.23,1.7507491918138927e-05
1600.23,1.7422096352015983e-05
1610.23,1.7337645423110614e-05
1620.23,1.7254122912227814e-05
1630.23,1.7171512976501543e-05
1640.23,1.7089800138418753e-05
1650.23,1.7008969275230862e-05
1660.23,1.6929005608732327e-05
1670.23,1.6849894695393395e-05
1680.23,1.677162241683373e-05
1690.23,1.669417497061969e-05
1700.23,1.661753886137781e-05
1710.23,1.6541700892205307e-05
1720.23,1.6466648156372593e-05
1730.23,1.6392368029301036e-05
1740.23,1.63188481608077e-05
1750.23,1.6246076467607345e-05
1760.23,1.617404112606005e-05
1770.23,1.6102730565155334e-05
1780.23,1.60321334597251e-05
1790.23,1.596223872387513e-05
1800.23,1.5893035504628902e-05
1810.23,1.5824513175771954e-05
1820.23,1.5756661331894896e-05
1830.23,1.5689469782622364e-05
1840.23,1.5622928547024156e-05
1850.23,1.555702784820158e-05
1860.23,1.549175810804074e-05
1870.23,1.542710994213e-05
1880.23,1.5363074154831684e-05
1890.23,1.529964173450622e-05
1900.23,1.5236803848880934e-05
1910.23,1.5174551840558562e-05
1920.23,1.5112877222662356e-05
1930.23,1.5051771674610598e-05
1940.23,1.4991227038017331e-05
1950.23,1.4931235312714696e-05
1960.23,1.4871788652892468e-05
1970.23,1.481287936335156e-05
1980.23,1.475449989586608e-05
1990.23,1.4696642845651319e-05
2000.23,1.4639300947934396e-05
2010.23,1.458246707462306e-05
2020.23,1.4526134231069659e-05
2030.23,1.4470295552928037e-05
2040.23,1.441494430309869e-05
2050.23,1.4360073868760958e-05
2060.23,1.4305677758487387e-05
2070.23,1.4251749599439826e-05
2080.23,1.4198283134643303e-05
2090.23,1.4145272220333944e-05
2100.23,1.4092710823382084e-05
2110.23,1.4040593018784599e-05
2120.23,1.3988912987225645e-05
2130.23,1.3937665012704301e-05
2140.23,1.3886843480225534e-05
2150.23,1.3836442873554311e-05
2160.23,1.378645777302828e-05
2170.23,1.3736882853430738e-05
2180.23,1.3687712881917917e-05
2190.23,1.3638942716002445e-05
2200.23,1.3590567301589682e-05
2210.23,1.3542581671064324e-05
2220.23,1.3494980941428482e-05
2230.23,1.3447760312486777e-05
2240.23,1.3400915065078455e-05
2250.23,1.3354440559355684e-05
2260.23,1.3308332233105256e-05
2270.23,1.3262585600112988e-05
2280.23,1.3217196248569994e-05
2290.23,1.3172159839518784e-05
2300.23,1.3127472105338914e-05
2310.23,1.308312884827023e-05
2320.23,1.303912593897281e-05
2330.23,1.299545931512283e-05
2340.23,1.2952124980043161e-05
2350.23,1.2909119001367455e-05
2360.23,1.2866437509737574e-05
2370.23,1.2824076697531548e-05
2380.23,1.2782032817623804e-05
2390.23,1.2740302182174467e-05
2400.23,1.2698881161448604e-05
2410.23,1.2657766182662562e-05
2420.23,1.2616953728859474e-05
2430.23,1.257644033781039e-05
2440.23,1.2536222600941659e-05
2450.23,1.2496297162287592e-05
2460.23,1.2456660717468466e-05
2470.23,1.2417310012691311e-05
2480.23,1.237824184377455e-05
2490.23,1.2339453055196022e-05
2500.23,1.2300940539161052e-05
2510.23,1.2262701234694423e-05
2520.23,1.222473212675123e-05
2530.23,1.2187030245349116e-05
2540.23,1.2149592664719935e-05
2550.23,1.2112416502480302e-05
2560.23,1.2075498918821926e-05
2570.23,1.2038837115719053e-05
2580.23,1.2002428336153847e-05
2590.23,1.1966269863359978e-05
2600.23,1.1930359020081757e-05
2610.23,1.1894693167850508e-05
2620.23,1.1859269706276878e-05
2630.23,1.1824086072358272e-05
2640.23,1.1789139739801634e-05
2650.23,1.1754428218361396e-05
2660.23,1.171994905319122e-05
2670.23,1.1685699824210227e-05
2680.23,1.1651678145482612e-05
2690.23,1.1617881664610627e-05
2700.23,1.1584308062140828e-05
2710.23,1.1550955050982735e-05
2720.23,1.1517820375839959e-05
2730.23,1.148490181265318e-05
2740.23,1.1452197168055128e-05
2750.23,1.1419704278837103e-05
2760.23,1.13874210114261e-05
2770.23,1.1355345261373614e-05
2780.23,1.1323474952854615e-05
2790.23,1.1291808038176877e-05
2800.23,1.1260342497300707e-05
2810.23,1.12290763373683e-05
2820.23,1.1198007592242898e-05
2830.23,1.1167134322057244e-05
2840.23,1.1136454612771581e-05
2850.23,1.1105966575739984e-05
2860.23,1.1075668347286021e-05
2870.23,1.1045558088286645e-05
2880.23,1.1015633983764823e-05
2890.23,1.0985894242489557e-05
2900.23,1.0956337096584936e-05
2910.23,1.0926960801145908e-05
2920.23,1.0897763633862366e-05
2930.23,1.0868743894650303e-05
2940.23,1.0839899905290752e-05
2950.23,1.0811230009074682e-05
2960.23,1.0782732570456134e-05
2970.23,1.075440597471128e-05
2980.23,1.0726248627604292e-05
2990.23,1.0698258955059903e-05
3000.23,1.0670435402841991e-05
3010.23,1.0642776436238084e-05
3020.23,1.0615280539751048e-05
3030.23,1.0587946216795038e-05
3040.23,1.0560771989398485e-05
3050.23,1.0533756397912523e-05
3060.23,1.0506898000723927e-05
3070.23,1.0480195373974905e-05
3080.23,1.0453647111287339e-05
3090.23,1.0427251823492067e-05
3100.23,1.0401008138363573e-05
3110.23,1.037491470035961e-05
3120.23,1.0348970170365388e-05
3130.23,1.0323173225442841e-05
3140.23,1.0297522558583788e-05
3150.23,1.0272016878468784e-05
3160.23,1.0246654909229501e-05
3170.23,1.0221435390215423e-05
3180.23,1.0196357075765293e-05
3190.23,1.0171418734982377e-05
3200.23,1.0146619151514114e-05
3210.23,1.0121957123334834e-05
3220.23,1.0097431462533744e-05
3230.23,1.0073040995105558e-05
3240.23,1.0048784560745361e-05
3250.23,1.0024661012647328e-05
3260.23,1.0000669217306109e-05
3270.23,9.976808054323243e-06
3280.23,9.953076416215194e-06
3290.23,9.929473208226324e-06
3300.23,9.905997348144202e-06
3310.23,9.88264776611834e-06
3320.23,9.859423404482473e-06
3330.23,9.836323217579285e-06
3340.23,9.813346171588616e-06
3350.23,9.790491244358576e-06
3360.23,9.76775742523962e-06
3370.23,9.745143714920899e-06
3380.23,9.722649125270533e-06
3390.23,9.700272679177368e-06
3400.23,9.678013410396184e-06
3410.23,9.655870363395567e-06
3420.23,9.633842593207645e-06
3430.23,9.61192916528142e-06
3440.23,9.59012915533752e-06
3450.23,9.5684416492261e-06
3460.23,9.546865742786718e-06
3470.23,9.525400541710816e-06
3480.23,9.504045161406421e-06
3490.23,9.482798726864603e-06
3500.23,9.461660372529253e-06
3510.23,9.440629242167775e-06
3520.23,9.419704488744582e-06
3530.23,9.398885274296565e-06
3540.23,9.378170769810774e-06
3550.23,9.357560155103461e-06
3560.23,9.337052618701621e-06
