Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147389.76306648823,155981.6972286973,235193.6448615345,173165.74847321442,181757.8895186977
30.23,147389.49796906294,155981.1529541447,235190.156815404,173164.6511106466,181756.50533895573
470.23,147386.2572325679,156646.67693487683,234340.9976014966,175344.65559647704,181515.2603712995
860.23,147385.13086027128,157764.7405671894,218633.13421778288,176015.99290148914,177615.47605963313
1360.23,147384.17662027397,149040.8722865833,138424.0325136917,156166.29063245107,164253.64796722884
2740.23,147382.52970272026,140539.66838477785,128241.01796117233,144054.10786919564,153811.57151843075
3000.23,147382.2969125612,140023.28245104,128240.66682305036,142979.78526806145,152189.34124186664
4000.23,147381.52539335357,138956.9171189838,128240.00907104611,139673.7994682509,147093.12477475716
5000.23,147380.89143702315,138568.0709885101,128239.48893787203,137354.41468207596,143513.9310180434
6000.23,147380.3495275167,138410.25430574635,128239.04474877437,135737.34813382226,141032.69408548108
7000.23,147379.87398666298,138336.1573573625,128238.6549963774,134617.68540546822,139323.32087139605
8000.23,147379.4487916381,138295.89547335517,128238.30645240447,133846.3001808227,138150.19456981085
9000.23,147379.06323128112,138271.47482276152,128237.99033132038,133316.70631162685,137347.06028760807
10000,147378.709770955,138255.64673345248,128237.70046729849,132953.97847527202,136798.10064721582
