Time(s),outletFlowRate(Kg/s)
0,0.0016299999999999965
0.31000000000000005,0.0016299999999999963
70.23,0.0016299999999999965
130.23000000000002,0.0012327870904135683
190.23000000000002,0.0009173288733181644
200.23000000000002,0.0008813937255817907
260.23,0.0007184291532972463
320.23,0.0006110859766214313
380.23,0.0005344739139261901
440.23,0.00047675205574934036
500.23,0.0004315293082252415
560.23,0.0003950362297308414
620.23,0.00036489803929552376
680.23,0.00033954018414520423
740.23,0.0003178752226628648
800.23,0.0002991266609365105
860.23,0.00028272441478326333
920.23,0.00026823997955849273
980.23,0.0002553447054942813
1040.23,0.00024378207949931835
1100.23,0.00023334880060841716
1160.23,0.00022388154673649003
1220.23,0.0002152475242428752
1280.23,0.00020733759160803885
1340.23,0.0002000611717652408
1400.23,0.00019334243081631537
1460.23,0.00018711736863154946
1520.23,0.0001813315761936049
1580.23,0.0001759384872837757
1640.23,0.0001708980013841869
1700.23,0.00016617538861377808
1760.23,0.00016174041126060026
1820.23,0.00015756661331894933
1880.23,0.00015363074154831744
1940.23,0.00014991227038017402
2000.23,0.0001463930094793437
2060.23,0.00014305677758487376
2120.23,0.00013988912987225705
2180.23,0.00013687712881917832
2240.23,0.00013400915065078388
2300.23,0.00013127472105338957
2360.23,0.00012866437509737635
2420.23,0.00012616953728859456
2480.23,0.00012378241843774595
2500.23,0.00012300940539161054
2560.23,0.00012075498918821934
2620.23,0.00011859269706276881
2680.23,0.00011651678145482567
2740.23,0.00011452197168055114
2800.23,0.00011260342497300705
2860.23,0.00011075668347286012
2920.23,0.00010897763633862295
2980.23,0.00010726248627604308
3040.23,0.00010560771989398506
3100.23,0.00010401008138363609
3160.23,0.00010246654909229464
3220.23,0.00010097431462533754
3280.23,9.953076416215207e-05
3340.23,9.81334617158856e-05
3400.23,9.678013410396172e-05
3460.23,9.546865742786681e-05
3520.23,9.419704488744549e-05
3580.23,9.296343577779503e-05
3640.23,9.17660855363506e-05
3700.23,9.060335672449704e-05
3760.23,8.94737108424217e-05
3820.23,8.837570088832187e-05
3880.23,8.730796458380021e-05
3940.23,8.626921819654096e-05
4000.23,8.525825089943684e-05
4060.23,8.427391961231533e-05
4120.23,8.331514427855018e-05
4180.23,8.238090353416821e-05
4240.23,8.147023073172327e-05
4300.23,8.058221028534099e-05
4360.23,7.971597430691299e-05
4420.23,7.88706995066088e-05
4480.23,7.804560433366922e-05
4500.23,7.77749275675117e-05
4560.23,7.697559004137271e-05
4620.23,7.619475638145929e-05
4680.23,7.543176618444793e-05
4740.23,7.468599068903976e-05
4800.23,7.395683088280346e-05
4860.23,7.324371574429347e-05
4920.23,7.254610060923639e-05
4980.23,7.186346565064498e-05
5040.23,7.11953144636485e-05
5100.23,7.054117274667252e-05
5160.23,6.990058707137469e-05
5220.23,6.927312373439488e-05
5280.23,6.865836768462425e-05
5340.23,6.805592152021934e-05
5400.23,6.74654045501118e-05
5460.23,6.688645191519696e-05
5520.23,6.63187137647987e-05
5580.23,6.576185448437727e-05
5640.23,6.521555197077737e-05
5700.23,6.46794969516266e-05
5760.23,6.415339234575314e-05
5820.23,6.363695266175712e-05
5880.23,6.312990343209557e-05
5940.23,6.263198068024056e-05
6000.23,6.214293041867242e-05
6060.23,6.166250817562856e-05
6120.23,6.119047854869972e-05
6180.23,6.07266147835041e-05
6240.23,6.027069837579898e-05
6300.23,5.982251869551983e-05
6360.23,5.9381872631340925e-05
6420.23,5.894856425445226e-05
6480.23,5.8522404500353826e-05
6540.23,5.810321086753572e-05
6600.23,5.769080713200867e-05
6660.23,5.72850230767134e-05
6720.23,5.688569423490787e-05
6780.23,5.649266164669381e-05
6840.23,5.6105771627897204e-05
6900.23,5.5724875550578955e-05
6960.23,5.534982963448842e-05
7000.23,5.5102980221184375e-05
7060.23,5.4737377604680435e-05
7120.23,5.4377263958237454e-05
7180.23,5.40225116526494e-05
7240.23,5.3672997060364804e-05
7300.23,5.332860039813091e-05
7360.23,5.298920557706154e-05
7420.23,5.265470005971743e-05
7480.23,5.232497472381851e-05
7540.23,5.199992373223075e-05
7600.23,5.1679444408889494e-05
7660.23,5.136343712034715e-05
7720.23,5.1051805162643274e-05
7780.23,5.0744454653225584e-05
7840.23,5.044129442765139e-05
7900.23,5.014223594083144e-05
7960.23,4.9847193172577644e-05
8020.23,4.955608253723785e-05
8080.23,4.926882279721456e-05
8140.23,4.898533498016877e-05
8200.23,4.8705542299728786e-05
8250.23,4.847515046944759e-05
8310.23,4.8201939726880846e-05
8370.23,4.793221777857421e-05
8430.23,4.766591554113363e-05
8490.23,4.740296577803723e-05
8550.23,4.714330303763932e-05
8610.23,4.6886863593669176e-05
8670.23,4.6633585388115585e-05
8730.23,4.638340797637983e-05
8790.23,4.613627247459506e-05
8850.23,4.58921215090121e-05
8910.23,4.565089916735447e-05
8970.23,4.541255095205761e-05
9000.23,4.52944379870405e-05
9060.23,4.5060301762804474e-05
9120.23,4.482890931951152e-05
9180.23,4.460021076807389e-05
9240.23,4.437415744480343e-05
9300.23,4.415070187359632e-05
9360.23,4.392979772951903e-05
9420.23,4.3711399803735124e-05
9480.23,4.3495463969718307e-05
9540.23,4.328194715069288e-05
9600.23,4.307080728825074e-05
9660.23,4.286200331209772e-05
9720.23,4.265549511087682e-05
9780.23,4.245124350403166e-05
9840.23,4.224921021465673e-05
9900.23,4.2049357843304335e-05
9960.23,4.185164984269899e-05
10020.23,4.1656050493332926e-05
10080.23,4.1462524879897884e-05
10140.23,4.127103886852433e-05
10200.23,4.108155908479672e-05
10260.23,4.0894052892509476e-05
10320.23,4.070848837314042e-05
10380.23,4.0524834306008164e-05
10440.23,4.0343060149088865e-05
10500.23,4.016313602047009e-05
10560.23,3.998503268040964e-05
10620.23,3.9808721513983795e-05
10680.23,3.963417451429967e-05
10740.23,3.94613642662457e-05
10800.23,3.9290263930770026e-05
10860.23,3.912084722965722e-05
10920.23,3.895308843079089e-05
10980.23,3.878696233387878e-05
11040.23,3.8622444256632516e-05
11100.23,3.845951002137195e-05
11160.23,3.829813594205332e-05
11220.23,3.813829881169196e-05
11280.23,3.7979975890178146e-05
11340.23,3.782314489245932e-05
11400.23,3.7667783977088465e-05
11460.23,3.7513871735114126e-05
11520.23,3.7361387179308685e-05
11580.23,3.721030973371597e-05
11640.23,3.7060619223513476e-05
11700.23,3.6912295865173786e-05
11760.23,3.6765320256917134e-05
11820.23,3.661967336944207e-05
11880.23,3.647533653693132e-05
