Time,Depth(m),Pressure(Pa)
0.0,6.0,130334.28006320562
0.0,6.01,130551.4610581086
0.0,6.02,130768.64204908439
0.0,6.03,130985.8230410611
0.0,6.04,131203.00403342553
0.0,6.05,131420.18502238847
0.0,6.06,131637.36601451703
0.0,6.07,131854.54700592704
0.0,6.08,132071.72800062102
0.0,6.09,132288.90898752373
0.0,6.1,132506.08998102052
0.0,6.11,132723.27097394044
0.0,6.12,132940.45196271111
0.0,6.13,133157.63295637694
0.0,6.14,133374.81394803405
0.0,6.15,133591.9949393669
0.0,6.16,133809.1759284224
0.0,6.17,134026.35692344262
0.0,6.18,134243.5379111052
0.0,6.19,134460.71890419268
0.0,6.2,134677.8998975532
0.0,6.21,134895.08088795145
0.0,6.22,135112.26187961386
0.0,6.23,135329.44286918585
0.0,6.24,135546.62386358183
0.0,6.25,135763.8048514959
0.0,6.26,135980.98584460386
0.0,6.27,136198.16683772847
0.0,6.28,136415.34782835364
0.0,6.29,136632.52881991837
0.0,6.3,136849.70980995893
0.0,6.31,137066.89080388495
0.0,6.32,137284.07179239136
0.0,6.33,137501.25278563582
0.0,6.34,137718.43377655657
0.0,6.35,137935.61476901566
0.0,6.36,138152.79576016968
0.0,6.37,138369.97675012646
0.0,6.38,138587.1577439664
0.0,6.39,138804.33873404886
0.0,6.4,139021.5197251227
0.0,6.41,139238.70071752064
0.0,6.42,139455.88170911872
0.0,6.43,139673.06270088145
0.0,6.44,139890.24369265742
0.0,6.45,140107.42468265357
0.0,6.46,140324.6056759554
0.0,6.47,140541.786665603
0.0,6.48,140758.96765738766
0.0,6.49,140976.14864911605
0.0,6.5,141193.3296411972
0.0,6.51,141410.51063212194
0.0,6.52,141627.691624346
0.0,6.53,141844.8726150971
0.0,6.54,142062.053606457
0.0,6.55,142279.23459946705
0.0,6.56,142496.4155912762
0.0,6.57,142713.59658043212
0.0,6.58,142930.77757269415
0.0,6.59,143147.95856523394
0.0,6.6,143365.13955425067
0.0,6.61,143582.3205469574
0.0,6.62,143799.50154031286
0.0,6.63,144016.6825310649
0.0,6.64,144233.8635215875
0.0,6.65,144451.04451442097
0.0,6.66,144668.22550589754
0.0,6.67,144885.40649641055
0.0,6.68,145102.5874891096
0.0,6.69,145319.76848090647
0.0,6.7,145536.94947358957
0.0,6.71,145754.13046324166
0.0,6.72,145971.31145456352
0.0,6.73,146188.49244473025
0.0,6.74,146405.67343191395
0.0,6.75,146622.85441847384
0.0,6.76,146840.03540297868
0.0,6.77,147057.21638007544
0.0,6.78,147274.39735270586
0.0,6.79,147491.57831662177
0.0,6.8,147708.759269668
0.0,6.81,147925.94020594872
0.0,6.82,148143.12113437746
0.0,6.83,148360.30204722474
0.0,6.84,148577.48293920915
0.0,6.85,148794.66384440672
0.0,6.86,149011.8447527546
0.0,6.87,149229.0257136147
0.0,6.88,149446.20675733621
0.0,6.89,149663.3880669492
0.0,6.9,149880.56970145614
0.0,6.91,150097.7518382609
0.0,6.92,150314.93505284548
0.0,6.93,150532.11966225834
0.0,6.94,150749.30743443008
0.0,6.95,150966.4913563376
0.0,6.96,151183.7306867866
0.0,6.97,151400.77005446583
0.0,6.98,151618.4382506508
0.0,6.99,152227.69504642676
0.0,7.0,202073.58125687504
0.0,7.01,202371.16257850904
0.0,7.02,202660.69517522832
0.0,7.03,202948.55953911802
0.0,7.04,203237.2129703508
0.0,7.05,203526.11103773172
0.0,7.06,203814.5452915766
0.0,7.07,204103.4992481882
0.0,7.08,204392.12064469865
0.0,7.09,204680.39947825094
0.0,7.1,204966.13964346424
0.0,7.11,154438.3255276314
0.0,7.12,154658.95799398242
0.0,7.13,154876.14869794567
0.0,7.14,155093.34114770513
0.0,7.15,155310.54666463306
0.0,7.16,155527.76125220233
0.0,7.17,155744.97926512992
0.0,7.18,155962.19940232293
0.0,7.19,156179.42149044998
0.0,7.2,156396.64418548893
0.0,7.21,156613.86757335023
0.0,7.22,156831.09123558918
0.0,7.23,157048.31508794602
0.0,7.24,157265.53907488083
0.0,7.25,157482.76308203168
0.0,7.26,157699.98711479298
0.0,7.27,157917.21115025465
0.0,7.28,158134.43516593621
0.0,7.29,158351.65916887953
0.0,7.3,158568.88315534982
0.0,7.31,158786.10713033218
0.0,7.32,159003.33109407593
0.0,7.33,159220.55504964304
0.0,7.34,159437.77899925743
0.0,7.35,159655.002944504
0.0,7.36,159872.22688648914
0.0,7.37,160089.4508263818
0.0,7.38,160306.67476500437
0.0,7.39,160523.89870270048
0.0,7.4,160741.12263993497
0.0,7.41,160958.346576879
0.0,7.42,161175.57051372895
0.0,7.43,161392.7944505575
0.0,7.44,161610.01838737482
0.0,7.45,161827.24232422942
0.0,7.46,162044.4662611399
0.0,7.47,162261.6901980896
0.0,7.48,162478.914135069
0.0,7.49,162696.13807207855
0.0,7.5,162913.3620091118
0.0,7.51,163130.58594616072
0.0,7.52,163347.809883221
0.0,7.53,163565.03382028957
0.0,7.54,163782.2577573634
0.0,7.55,163999.48169443873
0.0,7.56,164216.70563151542
0.0,7.57,164433.9295685938
0.0,7.58,164651.15350567206
0.0,7.59,164868.37744274925
0.0,7.6,165085.6013798266
0.0,7.61,165302.82531690475
0.0,7.62,165520.04925398185
0.0,7.63,165737.27319105895
0.0,7.64,165954.49712813643
0.0,7.65,166171.72106521347
0.0,7.66,166388.94500229042
0.0,7.67,166606.16893936787
0.0,7.68,166823.3928764457
0.0,7.69,167040.61681352276
0.0,7.7,167257.84075059986
0.0,7.71,167475.0646876774
0.0,7.72,167692.28862475435
0.0,7.73,167909.51256183095
0.0,7.74,168126.73649890866
0.0,7.75,168343.96043598646
0.0,7.76,168561.18437306324
0.0,7.77,168778.40831014042
0.0,7.78,168995.6322472175
0.0,7.79,169212.85618429468
0.0,7.8,169430.08012137166
0.0,7.81,169647.30405844943
0.0,7.82,169864.5279955272
0.0,7.83,170081.75193260406
0.0,7.84,170298.97586968116
0.0,7.85,170516.19980675846
0.0,7.86,170733.42374383533
0.0,7.87,170950.64768091182
0.0,7.88,171167.87161798953
0.0,7.89,171385.09555506747
0.0,7.9,171602.31949214448
0.0,7.91,171819.54342922266
0.0,7.92,172036.76736629935
0.0,7.93,172253.99130337694
0.0,7.94,172471.21524045378
0.0,7.95,172688.43917753207
0.0,7.96,172905.66311460722
0.0,7.97,173122.8870516862
0.0,7.98,173340.11098876252
0.0,7.99,173557.33492583886
200.0,6.0,130238.68617644973
200.0,6.01,130455.7674437654
200.0,6.02,130672.84871018196
200.0,6.03,130889.9299769092
200.0,6.04,131107.01124364935
200.0,6.05,131324.09250967338
200.0,6.06,131541.1737763558
200.0,6.07,131758.25504295065
200.0,6.08,131975.3363102492
200.0,6.09,132192.41757573438
200.0,6.1,132409.49884276523
200.0,6.11,132626.5801096742
200.0,6.12,132843.66137562544
200.0,6.13,133060.74264264194
200.0,6.14,133277.82390930734
200.0,6.15,133494.90517580742
200.0,6.16,133711.9864418384
200.0,6.17,133929.0677091944
200.0,6.18,134146.1489748928
200.0,6.19,134363.2302418352
200.0,6.2,134580.31150882874
200.0,6.21,134797.39277516084
200.0,6.22,135014.47404173858
200.0,6.23,135231.55530787908
200.0,6.24,135448.63657507277
200.0,6.25,135665.7178408138
200.0,6.26,135882.7991077412
200.0,6.27,136099.88037468307
200.0,6.28,136316.96164109593
200.0,6.29,136534.04290767954
200.0,6.3,136751.12417395366
200.0,6.31,136968.2054410615
200.0,6.32,137185.2867069471
200.0,6.33,137402.36797391897
200.0,6.34,137619.44924034862
200.0,6.35,137836.53050715016
200.0,6.36,138053.61177362528
200.0,6.37,138270.69303983403
200.0,6.38,138487.77430698322
200.0,6.39,138704.85557319637
200.0,6.4,138921.9368396166
200.0,6.41,139139.0181063876
200.0,6.42,139356.09937296578
200.0,6.43,139573.18063961595
200.0,6.44,139790.26190628696
200.0,6.45,140007.3431725141
200.0,6.46,140224.42443948227
200.0,6.47,140441.50570564248
200.0,6.48,140658.58697228864
200.0,6.49,140875.66823891984
200.0,6.5,141092.74950560761
200.0,6.51,141309.8307720836
200.0,6.52,141526.91203881137
200.0,6.53,141743.99330515938
200.0,6.54,141961.07457169067
200.0,6.55,142178.15583862638
200.0,6.56,142395.2371052527
200.0,6.57,142612.31837131083
200.0,6.58,142829.39963807448
200.0,6.59,143046.4809048478
200.0,6.6,143263.56217084004
200.0,6.61,143480.6434377385
200.0,6.62,143697.72470476653
200.0,6.63,143914.8059711448
200.0,6.64,144131.8872375671
200.0,6.65,144348.96850455148
200.0,6.66,144566.04977118786
200.0,6.67,144783.13103765846
200.0,6.68,145000.21230462234
200.0,6.69,145217.29357135092
200.0,6.7,145434.3748382409
200.0,6.71,145651.45610439597
