Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.3509434954,155977.43120709556,235183.93820294412,173159.4133417036,181751.554387139
30.23,147384.6999692391,155974.5010492235,235176.9313242405,173155.9123945706,181747.76663392555
470.23,147352.2928139046,156595.60319776044,234290.6964921923,175305.01178196364,181480.12822510808
860.23,147341.03701737002,157677.55052273194,218572.59741217774,175962.05936803936,177570.2227457506
1360.23,147331.4703928512,149010.11611333909,138376.649160633,156117.55561589295,164201.39314656614
2740.23,147314.88507113064,140501.05962322096,128184.88107468828,143995.95673071026,153751.3438476149
3000.23,147312.54662140255,139981.02315480937,128182.82131576301,142920.06404082157,152127.81142476184
4000.23,147304.80955777338,138903.1011756815,128176.50176870191,139608.96816215647,147027.15348765737
5000.23,147298.46218985238,138505.7284256118,128171.3269217414,137285.3828673251,143444.15576194404
6000.23,147293.04007216357,138341.31048210486,128166.8998926011,135664.66756131934,140959.5269028597
7000.23,147288.2833277869,138261.8357019695,128163.01158284595,134541.73867450887,139247.05839231636
8000.23,147284.03069192663,138217.01332599655,128159.53217371162,133767.37684352917,138071.0703482204
9000.23,147280.17468951622,138188.61144677748,128156.37501209145,133235.03899766167,137265.26944284097
10000,147276.63983467876,138169.23483777317,128153.47912157667,132869.76166755793,136713.81218954496
