Time,Depth(m),Pressure(Pa)
1.0,6.0,100272.43582416396
1.0,6.01,100439.55708359735
1.0,6.02,100606.67834341999
1.0,6.03,100773.79960320542
1.0,6.04,100940.92086292242
1.0,6.05,101108.04212287003
1.0,6.06,101275.16338259232
1.0,6.07,101442.28464242663
1.0,6.08,101609.40590202968
1.0,6.09,101776.52716206158
1.0,6.1,101943.64842173699
1.0,6.11,102110.76968145563
1.0,6.12,102277.89094140241
1.0,6.13,102445.01220104749
1.0,6.14,102612.1334608774
1.0,6.15,102779.25472063353
1.0,6.16,102946.37598058027
1.0,6.17,103113.49724014648
1.0,6.18,103280.6185001639
1.0,6.19,103447.73975985678
1.0,6.2,103614.86101955378
1.0,6.21,103781.98227941869
1.0,6.22,103949.10353916767
1.0,6.23,104116.2247990843
1.0,6.24,104283.34605868516
1.0,6.25,104450.46731868261
1.0,6.26,104617.5885783729
1.0,6.27,104784.70983808281
1.0,6.28,104951.83109793789
1.0,6.29,105118.9523577024
1.0,6.3,105286.07361759165
1.0,6.31,105453.19487722602
1.0,6.32,105620.31613719268
1.0,6.33,105787.43739687873
1.0,6.34,105954.55865669713
1.0,6.35,106121.67991644525
1.0,6.36,106288.80117624246
1.0,6.37,106455.92243609787
1.0,6.38,106623.04369578598
1.0,6.39,106790.16495565028
1.0,6.4,106957.28621544196
1.0,6.41,107124.40747519236
1.0,6.42,107291.5287349759
1.0,6.43,107458.64999474883
1.0,6.44,107625.77125453163
1.0,6.45,107792.89251440567
1.0,6.46,107960.01377408198
1.0,6.47,108127.13503397912
1.0,6.48,108294.25629374434
1.0,6.49,108461.37755353413
1.0,6.5,108628.49881328139
1.0,6.51,108795.62007312111
1.0,6.52,108962.74133287431
1.0,6.53,109129.86259268463
1.0,6.54,109296.98385248405
1.0,6.55,109464.10511221134
1.0,6.56,109631.2263719675
1.0,6.57,109798.3476318839
1.0,6.58,109965.4688916383
1.0,6.59,110132.59015135471
1.0,6.6,110299.7114112729
1.0,6.61,110466.83267101456
1.0,6.62,110633.95393072098
1.0,6.63,110801.07519052667
1.0,6.64,110968.19645037965
1.0,6.65,111135.31771011815
1.0,6.66,111302.43896990748
1.0,6.67,111469.56022976793
1.0,6.68,111636.68148949162
1.0,6.69,111803.80274926686
1.0,6.7,111970.9240089734
1.0,6.71,112138.04526883805
1.0,6.72,112305.16652856834
1.0,6.73,112472.28778831696
1.0,6.74,112639.40904811866
1.0,6.75,112806.53030785485
1.0,6.76,112973.65156749336
1.0,6.77,113140.7728272356
1.0,6.78,113307.8940869074
1.0,6.79,113475.01534649306
1.0,6.8,113642.13660605538
1.0,6.81,113809.25786564837
1.0,6.82,113976.37912505
1.0,6.83,114143.500384385
1.0,6.84,114310.62164377404
1.0,6.85,114477.74290287762
1.0,6.86,114644.86416199504
1.0,6.87,114811.98542101296
1.0,6.88,114979.10667994902
1.0,6.89,115146.22793897448
1.0,6.9,115313.34919803648
1.0,6.91,115480.47045676458
1.0,6.92,115647.59172254911
1.0,6.93,115814.71296854103
1.0,6.94,115981.83409784274
1.0,6.95,116148.95693512056
1.0,6.96,116316.06927676447
1.0,6.97,116483.19905096623
1.0,6.98,116650.6394715839
1.0,6.99,116765.7348696356
1.0,7.0,145969.69976575684
1.0,7.01,146181.93917519806
1.0,7.02,146390.66753631353
1.0,7.03,146598.91941598698
1.0,7.04,146807.56175784595
1.0,7.05,147016.0638328104
1.0,7.06,147224.55151519107
1.0,7.07,147433.18215873992
1.0,7.08,147641.7820512313
1.0,7.09,147850.23814983218
1.0,7.1,148058.9409413314
1.0,7.11,118831.35112956938
1.0,7.12,118990.08834957154
1.0,7.13,119157.13633099692
1.0,7.14,119324.2576025049
1.0,7.15,119491.37994578175
1.0,7.16,119658.50110775833
1.0,7.17,119825.62239332627
1.0,7.18,119992.74367872231
1.0,7.19,120159.8649633975
1.0,7.2,120326.98624880139
1.0,7.21,120494.10753477394
1.0,7.22,120661.22882104051
1.0,7.23,120828.35010762812
1.0,7.24,120995.47139441759
1.0,7.25,121162.59268136878
1.0,7.26,121329.71396847299
1.0,7.27,121496.83525565693
1.0,7.28,121663.95654292467
1.0,7.29,121831.07783024746
1.0,7.3,121998.19911761831
1.0,7.31,122165.32040501827
1.0,7.32,122332.4416924448
1.0,7.33,122499.56297989047
1.0,7.34,122666.68426734878
1.0,7.35,122833.8055548163
1.0,7.36,123000.92684229204
1.0,7.37,123168.0481297725
1.0,7.38,123335.1694172562
1.0,7.39,123502.29070474337
1.0,7.4,123669.41199223287
1.0,7.41,123836.53327972356
1.0,7.42,124003.65456721521
1.0,7.43,124170.77585470796
1.0,7.44,124337.89714220077
1.0,7.45,124505.0184296939
1.0,7.46,124672.13971718763
1.0,7.47,124839.26100468179
1.0,7.48,125006.38229217619
1.0,7.49,125173.50357967032
1.0,7.5,125340.62486716433
1.0,7.51,125507.74615465825
1.0,7.52,125674.86744215232
1.0,7.53,125841.98872964637
1.0,7.54,126009.11001714107
1.0,7.55,126176.2313046352
1.0,7.56,126343.35259212917
1.0,7.57,126510.47387962369
1.0,7.58,126677.59516711773
1.0,7.59,126844.71645461145
1.0,7.6,127011.83774210584
1.0,7.61,127178.95902960056
1.0,7.62,127346.0803170946
1.0,7.63,127513.20160458855
1.0,7.64,127680.32289208312
1.0,7.65,127847.44417957714
1.0,7.66,128014.56546707085
1.0,7.67,128181.68675456523
1.0,7.68,128348.80804206005
1.0,7.69,128515.92932955411
1.0,7.7,128683.05061704808
1.0,7.71,128850.17190454269
1.0,7.72,129017.29319203662
1.0,7.73,129184.41447953043
1.0,7.74,129351.5357670249
1.0,7.75,129518.65705451988
1.0,7.76,129685.77834201377
1.0,7.77,129852.89962950775
1.0,7.78,130020.02091700252
1.0,7.79,130187.14220449646
1.0,7.8,130354.26349199018
1.0,7.81,130521.38477948481
1.0,7.82,130688.50606697964
1.0,7.83,130855.62735447366
1.0,7.84,131022.74864196763
1.0,7.85,131189.86992946223
1.0,7.86,131356.99121695582
1.0,7.87,131524.11250444953
1.0,7.88,131691.23379194413
1.0,7.89,131858.35507943906
1.0,7.9,132025.47636693297
1.0,7.91,132192.59765442827
1.0,7.92,132359.71894192204
1.0,7.93,132526.84022941612
1.0,7.94,132693.96151691052
1.0,7.95,132861.08280440548
1.0,7.96,133028.20409189851
1.0,7.97,133195.3253793936
1.0,7.98,133362.44666688686
1.0,7.99,133529.56795438068
200.0,6.0,100089.12196290688
200.0,6.01,100255.98354532986
200.0,6.02,100422.84512775202
200.0,6.03,100589.706710175
200.0,6.04,100756.56829259651
200.0,6.05,100923.42987501976
200.0,6.06,101090.29145744149
200.0,6.07,101257.15303986384
200.0,6.08,101424.01462228595
200.0,6.09,101590.87620470855
200.0,6.1,101757.73778713014
200.0,6.11,101924.59936955258
200.0,6.12,102091.46095197405
200.0,6.13,102258.32253439621
200.0,6.14,102425.18411681894
200.0,6.15,102592.04569924151
200.0,6.16,102758.90728166352
200.0,6.17,102925.76886408596
200.0,6.18,103092.63044650845
200.0,6.19,103259.4920289302
200.0,6.2,103426.35361135226
200.0,6.21,103593.2151937748
200.0,6.22,103760.07677619741
200.0,6.23,103926.93835861931
200.0,6.24,104093.7999410417
200.0,6.25,104260.66152346422
200.0,6.26,104427.52310588588
200.0,6.27,104594.38468830797
200.0,6.28,104761.24627073057
200.0,6.29,104928.10785315301
200.0,6.3,105094.96943557487
200.0,6.31,105261.83101799738
200.0,6.32,105428.69260041982
200.0,6.33,105595.55418284159
200.0,6.34,105762.4157652637
200.0,6.35,105929.27734768666
200.0,6.36,106096.13893010817
200.0,6.37,106263.00051253065
200.0,6.38,106429.86209495287
200.0,6.39,106596.723677375
200.0,6.4,106763.58525979734
200.0,6.41,106930.44684221994
200.0,6.42,107097.30842464161
200.0,6.43,107264.17000706463
200.0,6.44,107431.03158948712
