Time(s),outletFlowRate(Kg/s)
0,3.09551022652
1.27,6.71000928663
70.23,2.66998648165
130.23000000000002,1.3164798583
190.23000000000002,0.646455417717
200.23000000000002,0.573871717934
260.23,0.279110783244
320.23,0.131750169877
380.23,0.0591911428779
440.23,0.0237586265001
500.23,0.00641154716679
560.23,-0.00215695218285
620.23,-0.00646992623201
680.23,-0.00872191404998
740.23,-0.00997601755104
800.23,-0.010745506709
860.23,-0.0112784801017
920.23,-0.0116949155612
980.23,-0.0120532255105
1040.23,-0.0123823640844
1100.23,-0.0126971204062
1160.23,-0.0130053765886
1220.23,-0.0133115427947
1280.23,-0.0136182039064
1340.23,-0.0139269396667
1400.23,-0.0142387547669
1460.23,-0.0145543152416
1520.23,-0.0148740829618
1580.23,-0.0151983939615
1640.23,-0.015527504782
1700.23,-0.0158616202045
1760.23,-0.0162009099976
1820.23,-0.0165455191286
1880.23,-0.0168955740693
1940.23,-0.0172511867614
2000.23,-0.0176124571711
2060.23,-0.0179794749853
2120.23,-0.0183523207734
2180.23,-0.0187310668128
2240.23,-0.019115777693
2300.23,-0.0195065107701
2360.23,-0.0199033165154
2420.23,-0.0203062387814
2480.23,-0.0207153150049
2500.23,-0.0208530468577
2560.23,-0.0212703757756
2620.23,-0.0216939218032
2680.23,-0.0221237018225
2740.23,-0.0225597266522
2800.23,-0.0230020010395
2860.23,-0.0234505236242
2920.23,-0.0239052868783
2980.23,-0.0243662770223
3040.23,-0.0248334739229
3100.23,-0.0253068509746
3160.23,-0.0257863749688
3220.23,-0.0262720059511
3280.23,-0.0267636970708
3340.23,-0.02726139442
3400.23,-0.0277650368665
3460.23,-0.0282745558769
3520.23,-0.0287898753335
3580.23,-0.0293109113447
3640.23,-0.0298375720519
3700.23,-0.0303697574361
3760.23,-0.0309073591295
3820.23,-0.0314502602336
3880.23,-0.0319983351481
3940.23,-0.0325514494094
4000.23,-0.0331094595385
4060.23,-0.0336722128958
4120.23,-0.0342395475418
4180.23,-0.0348112921001
4240.23,-0.0353872656228
4300.23,-0.0359672774473
4360.23,-0.0365511270292
4420.23,-0.0371386037111
4480.23,-0.0377294863502
4500.23,-0.0379271643022
4560.23,-0.0385222248346
4620.23,-0.0391201300254
4680.23,-0.0397206160285
4740.23,-0.0403234009285
4800.23,-0.0409281804289
4860.23,-0.0415346226499
4920.23,-0.042142362764
4980.23,-0.0427509987658
5040.23,-0.0433600901031
5100.23,-0.0439691609331
5160.23,-0.0445777091413
5220.23,-0.0451852209014
5280.23,-0.045791188754
5340.23,-0.0463951296185
5400.23,-0.0469965986592
5460.23,-0.0475951959463
5520.23,-0.0481905650697
5580.23,-0.0487823852415
5640.23,-0.0493703598991
5700.23,-0.049954204932
5760.23,-0.0505336387251
5820.23,-0.0511083749537
5880.23,-0.0516781180708
5940.23,-0.0522425609275
6000.23,-0.0528013838632
6060.23,-0.0533542547253
6120.23,-0.0539008294408
6180.23,-0.0544407529097
6240.23,-0.0549736600806
6300.23,-0.0554991771268
6360.23,-0.056016922671
6420.23,-0.0565265090244
6480.23,-0.0570275434185
6540.23,-0.0575196292142
6600.23,-0.0580023670802
6660.23,-0.0584753561357
6720.23,-0.0589381950558
6780.23,-0.0593904831402
6840.23,-0.0598318213473
6900.23,-0.060261813295
6960.23,-0.0606800662325
7000.23,-0.0609521879441
7060.23,-0.0613500159287
7120.23,-0.0617350824222
7180.23,-0.0621070158838
7240.23,-0.0624654526121
7300.23,-0.0628100375888
7360.23,-0.0631404253019
7420.23,-0.0634562805511
7480.23,-0.0637572792326
7540.23,-0.0640431091029
7600.23,-0.0643134705206
7660.23,-0.0645680771641
7720.23,-0.0648066567229
7780.23,-0.0650289515604
7840.23,-0.0652347193465
7900.23,-0.0654237336562
7960.23,-0.0655957845332
8020.23,-0.0657506790146
8080.23,-0.0658882416159
8140.23,-0.0660083147733
8200.23,-0.0661107592411
8250.23,-0.0661825757128
8310.23,-0.0662524014344
8370.23,-0.0663043062994
8430.23,-0.0663382241187
8490.23,-0.0663541082715
8550.23,-0.0663519318201
8610.23,-0.066331687574
8670.23,-0.0662933881044
8730.23,-0.0662370657099
8790.23,-0.066162772334
8850.23,-0.0660705794346
8910.23,-0.0659605778089
8970.23,-0.0658328773723
9000.23,-0.0657624296123
9060.23,-0.0656084282135
9120.23,-0.0654370846038
9180.23,-0.0652485732682
9240.23,-0.0650430863077
9300.23,-0.0648208330022
9360.23,-0.0645820393396
9420.23,-0.064326947514
9480.23,-0.0640558153931
9540.23,-0.0637689159588
9600.23,-0.0634665367216
9660.23,-0.0631489791111
9720.23,-0.0628165578447
9780.23,-0.0624696002769
9840.23,-0.0621084457306
9900.23,-0.061733444813
9960.23,-0.0613449587174
10020.23,-0.0609433585144
10080.23,-0.0605290244333
10140.23,-0.0601023451357
10200.23,-0.0596637169849
10260.23,-0.0592135433114
10320.23,-0.0587522336773
10380.23,-0.0582802031417
10440.23,-0.0577978715292
10500.23,-0.0573056627024
10560.23,-0.0568040038416
10620.23,-0.0562933247326
10680.23,-0.0557740570645
10740.23,-0.0552466337393
10800.23,-0.0547114881952
10860.23,-0.0541690537441
10920.23,-0.0536197629258
10980.23,-0.0530640468794
11040.23,-0.0525023347334
11100.23,-0.0519350530163
11160.23,-0.0513626250872
11220.23,-0.0507854705886
11280.23,-0.050204004922
11340.23,-0.0496186387463
11400.23,-0.0490297775005
11460.23,-0.0484378209507
11520.23,-0.0478431627617
11580.23,-0.0472461900941
11640.23,-0.0466472832265
11700.23,-0.046046815203
11760.23,-0.0454451515066
11820.23,-0.0448426497575
11880.23,-0.0442396594372
11940.23,-0.043636521637
12000.23,-0.0430335688324
12060.23,-0.0424311246802
12120.23,-0.0418295038413
12180.23,-0.0412290118261
12240.23,-0.0406299448627
12300.23,-0.0400325897881
12360.23,-0.039437223961
12420.23,-0.0388441151948
12480.23,-0.0382535217125
12540.23,-0.0376656921195
12600.23,-0.0370808653967
12660.23,-0.0364992709106
12720.23,-0.0359211284414
12780.23,-0.0353466482265
12840.23,-0.0347760310209
12900.23,-0.0342094681712
12960.23,-0.0336471417041
13020.23,-0.0330892244274
13080.23,-0.0325358800438
13140.23,-0.0319872632757
13200.23,-0.0314435200007
13260.23,-0.0309047873964
13320.23,-0.0303711940947
13380.23,-0.029842860344
13440.23,-0.0293198981785
13500.23,-0.0288024115945
13560.23,-0.0282904967326
13620.23,-0.0277842420647
13680.23,-0.0272837285861
13740.23,-0.0267890300107
13800.23,-0.0263002129707
13860.23,-0.0258173372172
13920.23,-0.0253404558246
13980.23,-0.0248696153952
14000,-0.0246365845775
