Time,Depth(m),Pressure(Pa)
1.0,6.0,98864.41713909626
1.0,6.01,98592.11924087587
1.0,6.02,98319.82148752004
1.0,6.03,98047.52371976258
1.0,6.04,97775.22592807209
1.0,6.05,97502.92823211964
1.0,6.06,97230.63044440141
1.0,6.07,96958.33268991331
1.0,6.08,96686.03485494375
1.0,6.09,96413.73719328163
1.0,6.1,96141.4393818161
1.0,6.11,95869.1415910278
1.0,6.12,95596.84388826494
1.0,6.13,95324.54607465294
1.0,6.14,95052.24830795254
1.0,6.15,94779.9505529439
1.0,6.16,94507.65283081622
1.0,6.17,94235.35501922094
1.0,6.18,93963.05732771211
1.0,6.19,93690.75952007585
1.0,6.2,93418.46171434813
1.0,6.21,93146.16397892537
1.0,6.22,92873.86620667049
1.0,6.23,92601.56847320337
1.0,6.24,92329.27069728893
1.0,6.25,92056.97296030882
1.0,6.26,91784.675160903
1.0,6.27,91512.37731185567
1.0,6.28,91240.07970873428
1.0,6.29,90967.78154021999
1.0,6.3,90695.48409085667
1.0,6.31,90423.18594663923
1.0,6.32,90150.88818590935
1.0,6.33,89878.59063065294
1.0,6.34,89606.29287005786
1.0,6.35,89333.99510363245
1.0,6.36,89061.69806469695
1.0,6.37,88789.39979849337
1.0,6.38,88517.1019913043
1.0,6.39,88244.80438403759
1.0,6.4,87972.50563574505
1.0,6.41,87700.2083647225
1.0,6.42,87427.91246433635
1.0,6.43,87155.61299748317
1.0,6.44,86883.31483156089
1.0,6.45,86611.01652208349
1.0,6.46,86338.72585118351
1.0,6.47,86066.42131613815
1.0,6.48,85794.12458449909
1.0,6.49,85521.82775519647
1.0,6.5,85249.52360951665
1.0,6.51,84977.22979306726
1.0,6.52,84704.96020324444
1.0,6.53,84432.64997547097
1.0,6.54,84160.3033498311
1.0,6.55,83888.02752355907
1.0,6.56,83615.71395743004
1.0,6.57,83343.42104041431
1.0,6.58,83071.12311204599
1.0,6.59,82798.83367927116
1.0,6.6,82526.49329156175
1.0,6.61,82254.26821329081
1.0,6.62,81981.8490697894
1.0,6.63,81709.47993328315
1.0,6.64,81437.68897042674
1.0,6.65,81165.00373886518
1.0,6.66,80892.54210328568
1.0,6.67,80621.34839662927
1.0,6.68,80348.46329030159
1.0,6.69,80075.48201756805
1.0,6.7,79803.59805013603
1.0,6.71,79529.71174457076
1.0,6.72,79260.13767132148
1.0,6.73,78986.93831045118
1.0,6.74,78716.2365309232
1.0,6.75,78437.39156130637
1.0,6.76,78178.46120812275
1.0,6.77,77898.46059649698
1.0,6.78,77627.39218132295
1.0,6.79,77348.93914214999
1.0,6.8,77055.71259525635
1.0,6.81,76815.52678132131
1.0,6.82,76538.47433681648
1.0,6.83,76301.75125300219
1.0,6.84,75922.86460534573
1.0,6.85,75787.99999011165
1.0,6.86,75552.84481135299
1.0,6.87,75182.00132850521
1.0,6.88,75017.31583397134
1.0,6.89,74401.83721677375
