Time(s),outletFlowRate(Kg/s)
0,5.30160482978
1.27,12.8546839628
70.23,1.87725423256
130.23000000000002,0.431798101958
190.23000000000002,0.1047368558
200.23000000000002,0.085529695797
260.23,0.0315909452832
320.23,0.0126348769428
380.23,0.00327119346076
440.23,-0.00200058070762
500.23,-0.00530763556559
560.23,-0.00742654002186
620.23,-0.00877881911121
680.23,-0.00974209019352
740.23,-0.0103972680359
800.23,-0.0109570834271
860.23,-0.0113790069023
920.23,-0.0117378567389
980.23,-0.0120757871341
1040.23,-0.0123470992225
1100.23,-0.0126473874743
1160.23,-0.0129584304173
1220.23,-0.0132422760078
1280.23,-0.0135513778452
1340.23,-0.0138326223531
1400.23,-0.0141882155395
1460.23,-0.0144631858074
1520.23,-0.014763510811
1580.23,-0.015078754752
1640.23,-0.0153838281254
1700.23,-0.0157981808568
1760.23,-0.0160950674943
1820.23,-0.0164079934595
1880.23,-0.016738995942
1940.23,-0.0171105590937
2000.23,-0.0174877033924
2060.23,-0.0178499223602
2120.23,-0.0182119807382
2180.23,-0.0185863056271
2240.23,-0.018979224009
2300.23,-0.0193678211596
2360.23,-0.0197937944158
2420.23,-0.0201443130966
2480.23,-0.0205365417034
2500.23,-0.0206677133063
2560.23,-0.0211024510664
2620.23,-0.0215302029734
2680.23,-0.0219701976993
2740.23,-0.0224065435875
2800.23,-0.0228373812269
2860.23,-0.0233032092117
2920.23,-0.0237472013091
2980.23,-0.0242097990044
3040.23,-0.024656562409
3100.23,-0.025135074018
3160.23,-0.0255991747478
3220.23,-0.0260977232918
3280.23,-0.0266007102271
3340.23,-0.0271032932801
3400.23,-0.027591432656
3460.23,-0.0280821950837
3520.23,-0.0286013354215
3580.23,-0.0291171714856
3640.23,-0.0296518758743
3700.23,-0.0301853961995
3760.23,-0.0307188113781
3820.23,-0.0312498987017
3880.23,-0.0317976287173
3940.23,-0.0323604570261
4000.23,-0.0329064730719
4060.23,-0.033476155194
4120.23,-0.0340550718787
4180.23,-0.0346198783177
4240.23,-0.0351924690898
4300.23,-0.0357715769116
4360.23,-0.0363426775962
4420.23,-0.0369410565721
4480.23,-0.0375387045122
4500.23,-0.0377355013099
4560.23,-0.0383215670094
4620.23,-0.0389375735906
4680.23,-0.0395256950207
4740.23,-0.0401405690396
4800.23,-0.0407286829125
4860.23,-0.041341955193
4920.23,-0.0419476616066
4980.23,-0.042564278865
5040.23,-0.0431711935382
5100.23,-0.0437797146505
5160.23,-0.044386082486
5220.23,-0.0449969144427
5280.23,-0.0456021221515
5340.23,-0.0462072364587
5400.23,-0.0468090681531
5460.23,-0.0474065900255
5520.23,-0.0480002670077
5580.23,-0.0485921053903
5640.23,-0.0491818512487
5700.23,-0.0497645387443
5760.23,-0.050341852691
5820.23,-0.0509130815882
5880.23,-0.0514784052644
5940.23,-0.052036014645
6000.23,-0.0525912201265
6060.23,-0.0531389726078
6120.23,-0.0536806525643
6180.23,-0.0542163084055
6240.23,-0.0547461914187
6300.23,-0.0552682056783
6360.23,-0.0557822245328
6420.23,-0.0562872999122
6480.23,-0.0567835577058
6540.23,-0.057271818807
6600.23,-0.0577511610286
6660.23,-0.0582207751656
6720.23,-0.0586802313637
6780.23,-0.0591293724238
6840.23,-0.059567978083
6900.23,-0.0599955748569
6960.23,-0.0604117320226
7000.23,-0.0606826074484
7060.23,-0.0610785988088
7120.23,-0.0614619294467
7180.23,-0.0618325340156
7240.23,-0.0621901137445
7300.23,-0.0625340357129
7360.23,-0.0628639635211
7420.23,-0.0631796070429
7480.23,-0.0634806864696
7540.23,-0.0637666968265
7600.23,-0.0640375200521
7660.23,-0.064292896101
7720.23,-0.0645325236412
7780.23,-0.0647561137106
7840.23,-0.0649634326599
7900.23,-0.0651542555431
7960.23,-0.0653283712639
8020.23,-0.0654855915862
8080.23,-0.065625743413
8140.23,-0.065748668756
8200.23,-0.0658542258156
8250.23,-0.065928826284
8310.23,-0.06600223613
8370.23,-0.0660579736398
8430.23,-0.0660959679601
8490.23,-0.0661161703268
8550.23,-0.0661185534577
8610.23,-0.0661031082247
8670.23,-0.0660698415464
8730.23,-0.0660187857833
8790.23,-0.0659499760028
8850.23,-0.0658634794643
8910.23,-0.0657593852815
8970.23,-0.0656377959061
9000.23,-0.0655704483235
9060.23,-0.0654228211367
9120.23,-0.0652580645625
9180.23,-0.0650763357249
9240.23,-0.0648778131293
9300.23,-0.0646626951923
9360.23,-0.0644312270368
9420.23,-0.0641835911656
9480.23,-0.0639200589607
9540.23,-0.0636408935935
9600.23,-0.0633463725849
9660.23,-0.0630367796706
9720.23,-0.0627124299873
9780.23,-0.0623736418201
9840.23,-0.0620207185247
9900.23,-0.0616540175926
9960.23,-0.0612739128099
10020.23,-0.0608807559207
10080.23,-0.0604749109529
10140.23,-0.0600567527771
10200.23,-0.0596266651926
10260.23,-0.0591850396066
10320.23,-0.0587322740077
10380.23,-0.0582687695458
10440.23,-0.0577949389018
10500.23,-0.0573111941585
10560.23,-0.0568179690155
10620.23,-0.0563156570176
10680.23,-0.0558046817121
10740.23,-0.0552854689753
10800.23,-0.0547584427529
10860.23,-0.0542240276609
10920.23,-0.0536826473881
10980.23,-0.0531347244818
11040.23,-0.0525806797636
11100.23,-0.0520209316091
11160.23,-0.0514558961047
11220.23,-0.0508859855992
11280.23,-0.0503116073363
11340.23,-0.0497331661857
11400.23,-0.0491510611302
11460.23,-0.0485656860366
11520.23,-0.0479774238187
11580.23,-0.0473866514827
11640.23,-0.0467937625871
11700.23,-0.0461991227438
11760.23,-0.0456030919875
11820.23,-0.0450060237279
11880.23,-0.0444082641104
11940.23,-0.043810151564
12000.23,-0.0432120164626
12060.23,-0.0426141808578
12120.23,-0.0420169582614
12180.23,-0.0414206534641
12240.23,-0.0408255623846
12300.23,-0.040231971943
12360.23,-0.0396401599585
12420.23,-0.0390503950679
12480.23,-0.0384629366643
12540.23,-0.0378780348558
12600.23,-0.0372959304416
12660.23,-0.0367168549069
12720.23,-0.0361410304314
12780.23,-0.0355686699801
12840.23,-0.0349999771809
12900.23,-0.0344351467345
12960.23,-0.0338743631364
13020.23,-0.0333178035163
13080.23,-0.0327656359107
13140.23,-0.0322180178276
13200.23,-0.0316750988428
13260.23,-0.0311370224926
13320.23,-0.0306039212445
13380.23,-0.0300759187954
13440.23,-0.0295531321048
13500.23,-0.0290356693378
13560.23,-0.0285236322742
13620.23,-0.0280171133964
13680.23,-0.027516198628
13740.23,-0.0270209664757
13800.23,-0.0265314881764
13860.23,-0.0260478288363
13920.23,-0.0255700463231
13980.23,-0.0250981921791
14000,-0.0248893623985
