Time,Depth(m),Pressure(Pa)
1.0,6.0,97523.50952900578
1.0,6.01,97263.99941340025
1.0,6.02,97004.59815406655
1.0,6.03,96744.89840234509
1.0,6.04,96485.31776541978
1.0,6.05,96225.81080046408
1.0,6.06,95966.0836701029
1.0,6.07,95706.49027534528
1.0,6.08,95446.88511958095
1.0,6.09,95187.40916456991
1.0,6.1,94927.8579275874
1.0,6.11,94668.25464430318
1.0,6.12,94408.62446424001
1.0,6.13,94149.03671118559
1.0,6.14,93889.44390282495
1.0,6.15,93629.86052609074
1.0,6.16,93370.24294319535
1.0,6.17,93110.61021823832
1.0,6.18,92851.07594812266
1.0,6.19,92591.41353713027
1.0,6.2,92331.83804903709
1.0,6.21,92072.17182546225
1.0,6.22,91812.7799581481
1.0,6.23,91553.01020021141
1.0,6.24,91293.85272130114
1.0,6.25,91034.37645356015
1.0,6.26,90774.8641326983
1.0,6.27,90515.12303615894
1.0,6.28,90255.69077508214
1.0,6.29,89995.70735074389
1.0,6.3,89735.9241309693
1.0,6.31,89476.30145450808
1.0,6.32,89216.9710334597
1.0,6.33,88957.47827678145
1.0,6.34,88698.28529162535
1.0,6.35,88438.62231763279
1.0,6.36,88179.43313343065
1.0,6.37,87919.70112897808
1.0,6.38,87659.07371427947
1.0,6.39,87400.49024397778
1.0,6.4,87140.5610984765
1.0,6.41,86881.43861383405
1.0,6.42,86622.55892158054
1.0,6.43,86363.39366003177
1.0,6.44,86101.39208244573
1.0,6.45,85843.52268391564
1.0,6.46,85584.08644302923
1.0,6.47,85321.61006651285
1.0,6.48,85066.75561795251
1.0,6.49,84807.25941864461
1.0,6.5,84542.83906396489
1.0,6.51,84283.68963735494
1.0,6.52,84031.85651987197
1.0,6.53,83772.23652664374
1.0,6.54,83501.09672724422
1.0,6.55,83246.6184308962
1.0,6.56,82984.82173840191
1.0,6.57,82724.63790192627
1.0,6.58,82466.07286506944
1.0,6.59,82209.98868730458
1.0,6.6,81939.86873327673
1.0,6.61,81689.28793261148
1.0,6.62,81423.40100400397
1.0,6.63,81149.20298307759
1.0,6.64,80932.0296457051
1.0,6.65,80649.1466952238
1.0,6.66,80362.94795204839
1.0,6.67,80182.98720551076
1.0,6.68,79867.4056680357
1.0,6.69,79555.5857773929
1.0,6.7,79373.63108216926
1.0,6.71,79054.84272002705
1.0,6.72,78950.44184662872
1.0,6.73,78602.26666147591
1.0,6.74,78376.37302374147
1.0,6.75,77969.63424469414
1.0,6.76,77905.15436508995
1.0,6.77,77768.13728452614
1.0,6.78,77350.51607386385
1.0,6.79,76968.8169148933
1.0,6.8,76442.96267579886
1.0,6.81,76981.69660792974
1.0,6.82,76223.14338884976
1.0,6.83,76910.15853934879
1.0,6.84,75187.68896221084
1.0,6.85,76011.94310498782
1.0,6.86,76945.35336656417
1.0,6.87,75590.99473100535
1.0,6.88,76046.9465076203
1.0,6.89,72408.57194354123
1.0,6.9,74873.0126252476
1.0,6.91,74065.39950499809
1.0,6.92,74458.98275304513
1.0,6.93,76286.59687786338
1.0,6.94,71992.09146789896
1.0,6.95,74755.49719543089
1.0,6.96,74827.72386405634
1.0,6.97,69547.26473410695
1.0,6.98,64377.22566810412
1.0,6.99,70624.87560397302
1.0,7.0,125844.84024417645
1.0,7.01,95389.02927023587
1.0,7.02,95200.76089306136
1.0,7.03,95695.70785482298
1.0,7.04,95458.14965292643
1.0,7.05,95452.1752683953
1.0,7.06,95455.33754516346
1.0,7.07,95286.2290353803
1.0,7.08,95600.51943919997
1.0,7.09,95617.23863435812
1.0,7.1,131416.99724213616
1.0,7.11,73969.94953860965
1.0,7.12,72464.84045979638
1.0,7.13,72151.92214606632
1.0,7.14,72084.11815389474
1.0,7.15,72108.7743458308
1.0,7.16,72193.69278507218
1.0,7.17,72312.37712516224
1.0,7.18,72445.97072107173
1.0,7.19,72596.21385109273
1.0,7.2,72750.45376012048
1.0,7.21,72911.45828216612
1.0,7.22,73075.07557404066
1.0,7.23,73241.04122530967
1.0,7.24,73408.88942807207
1.0,7.25,73577.0666089347
1.0,7.26,73745.66540920228
1.0,7.27,73914.29254157224
1.0,7.28,74082.62479920255
1.0,7.29,74250.7534000706
1.0,7.3,74418.62140657012
1.0,7.31,74586.30865943544
1.0,7.32,74753.82332860834
1.0,7.33,74921.21263422047
1.0,7.34,75088.51256722635
1.0,7.35,75255.74839364027
1.0,7.36,75422.93671498663
1.0,7.37,75590.09491747725
1.0,7.38,75757.23548212108
1.0,7.39,75924.36321366948
1.0,7.4,76091.48483041578
1.0,7.41,76258.60278560786
1.0,7.42,76425.71980927505
1.0,7.43,76592.83683195428
1.0,7.44,76759.95408593961
1.0,7.45,76927.07203565835
1.0,7.46,77094.1907249387
1.0,7.47,77261.31007532301
1.0,7.48,77428.42990069011
1.0,7.49,77595.55016247375
1.0,7.5,77762.67077021582
1.0,7.51,77929.79160942206
1.0,7.52,78096.91260711456
1.0,7.53,78264.03373420038
1.0,7.54,78431.15493608247
1.0,7.55,78598.27618308131
1.0,7.56,78765.39745705035
1.0,7.57,78932.5187466767
1.0,7.58,79099.64004433953
1.0,7.59,79266.76134386455
1.0,7.6,79433.88264298631
1.0,7.61,79601.00394098331
