Time,Depth(m),Pressure(Pa)
1.0,6.0,83707.60271157743
1.0,6.01,83847.11560989698
1.0,6.02,83986.6285088803
1.0,6.03,84126.14140779912
1.0,6.04,84265.65430660319
1.0,6.05,84405.16720579985
1.0,6.06,84544.68010461291
1.0,6.07,84684.19300361494
1.0,6.08,84823.70590222432
1.0,6.09,84963.21880156567
1.0,6.1,85102.73170029838
1.0,6.11,85242.24459910377
1.0,6.12,85381.7574982997
1.0,6.13,85521.27039698075
1.0,6.14,85660.78329597496
1.0,6.15,85800.29619484562
1.0,6.16,85939.80909404202
1.0,6.17,86079.32199258775
1.0,6.18,86218.8348919043
1.0,6.19,86358.34779066629
1.0,6.2,86497.86068943536
1.0,6.21,86637.37358849021
1.0,6.22,86776.88648734817
1.0,6.23,86916.39938649307
1.0,6.24,87055.91228509831
1.0,6.25,87195.42518438071
1.0,6.26,87334.93808313816
1.0,6.27,87474.45098192887
1.0,6.28,87613.9638809669
1.0,6.29,87753.4767798516
1.0,6.3,87892.98967894992
1.0,6.31,88032.50257761228
1.0,6.32,88172.01547684209
1.0,6.33,88311.52837559218
1.0,6.34,88451.04127456852
1.0,6.35,88590.55417342458
1.0,6.36,88730.06707236645
1.0,6.37,88869.57997140587
1.0,6.38,89009.09287015788
1.0,6.39,89148.60576921227
1.0,6.4,89288.11866814317
1.0,6.41,89427.63156700325
1.0,6.42,89567.14446592072
1.0,6.43,89706.65736481849
1.0,6.44,89846.17026373373
1.0,6.45,89985.68316280599
1.0,6.46,90125.19606154018
1.0,6.47,90264.70896065154
1.0,6.48,90404.22185953707
1.0,6.49,90543.7347584642
1.0,6.5,90683.24765731869
1.0,6.51,90822.76055633045
1.0,6.52,90962.2734551953
1.0,6.53,91101.78635415772
1.0,6.54,91241.2992531005
1.0,6.55,91380.8121519198
1.0,6.56,91520.32505079007
1.0,6.57,91659.83794993418
1.0,6.58,91799.35084880097
1.0,6.59,91938.86374760249
1.0,6.6,92078.37664674886
1.0,6.61,92217.88954559248
1.0,6.62,92357.40244437502
1.0,6.63,92496.91534332694
1.0,6.64,92636.42824235896
1.0,6.65,92775.94114119504
1.0,6.66,92915.454040117
1.0,6.67,93054.96693915849
1.0,6.68,93194.47983796446
1.0,6.69,93333.9927368557
1.0,6.7,93473.50563562673
1.0,6.71,93613.01853466559
1.0,6.72,93752.53143347238
1.0,6.73,93892.04433230587
1.0,6.74,94031.55723122563
1.0,6.75,94171.0701300278
1.0,6.76,94310.5830286608
1.0,6.77,94450.09592746558
1.0,6.78,94589.60882614901
1.0,6.79,94729.12172468958
1.0,6.8,94868.63462320091
1.0,6.81,95008.14752177823
1.0,6.82,95147.6604200624
1.0,6.83,95287.17331831592
1.0,6.84,95426.6862167266
1.0,6.85,95566.1991148253
1.0,6.86,95705.71201313526
1.0,6.87,95845.2249116183
1.0,6.88,95984.73781034356
1.0,6.89,96124.25071004457
1.0,6.9,96263.76361047977
1.0,6.91,96403.276512578
1.0,6.92,96542.78942673943
1.0,6.93,96682.30238895908
1.0,6.94,96821.81420446352
1.0,6.95,96961.33653227976
1.0,6.96,97100.80050029446
1.0,6.97,97240.33392607569
1.0,6.98,97381.05825678138
1.0,6.99,96995.20493299585
1.0,7.0,165292.01883818756
1.0,7.01,165536.02315415905
1.0,7.02,165772.6354328761
1.0,7.03,166008.0783068571
1.0,7.04,166244.4868498711
1.0,7.05,166480.55249506273
1.0,7.06,166716.58399738753
1.0,7.07,166952.96716232313
1.0,7.08,167189.26794091702
1.0,7.09,167425.22327701884
1.0,7.1,167661.81569432333
1.0,7.11,99214.31299795996
1.0,7.12,99333.2322257271
1.0,7.13,99472.5583314194
1.0,7.14,99612.06828373668
1.0,7.15,99751.58474984008
1.0,7.16,99891.0972726554
1.0,7.17,100030.61020921414
1.0,7.18,100170.12314082279
1.0,7.19,100309.63606659287
1.0,7.2,100449.14899351653
1.0,7.21,100588.66192047515
1.0,7.22,100728.17484756731
1.0,7.23,100867.68777489908
1.0,7.24,101007.20070233855
1.0,7.25,101146.71362994515
1.0,7.26,101286.22655769515
1.0,7.27,101425.73948552381
1.0,7.28,101565.2524134613
1.0,7.29,101704.76534146836
1.0,7.3,101844.2782695429
1.0,7.31,101983.79119765984
1.0,7.32,102123.30412581965
1.0,7.33,102262.81705400973
1.0,7.34,102402.32998222206
1.0,7.35,102541.84291045222
1.0,7.36,102681.35583869793
1.0,7.37,102820.86876695341
1.0,7.38,102960.38169521693
1.0,7.39,103099.8946234873
1.0,7.4,103239.40755176287
1.0,7.41,103378.92048004162
1.0,7.42,103518.43340832266
1.0,7.43,103657.94633660633
1.0,7.44,103797.45926489116
1.0,7.45,103936.97219317695
1.0,7.46,104076.48512146386
1.0,7.47,104215.99804975155
1.0,7.48,104355.51097803976
1.0,7.49,104495.023906328
1.0,7.5,104634.53683461645
1.0,7.51,104774.04976290496
1.0,7.52,104913.56269119371
1.0,7.53,105053.0756194825
1.0,7.54,105192.58854777174
1.0,7.55,105332.1014760606
1.0,7.56,105471.61440434924
1.0,7.57,105611.12733263853
1.0,7.58,105750.64026092755
1.0,7.59,105890.15318921607
1.0,7.6,106029.6661175053
1.0,7.61,106169.17904579487
1.0,7.62,106308.69197408378
1.0,7.63,106448.20490237264
1.0,7.64,106587.71783066192
1.0,7.65,106727.23075895093
1.0,7.66,106866.74368723958
1.0,7.67,107006.25661552875
1.0,7.68,107145.76954381826
1.0,7.69,107285.28247210725
1.0,7.7,107424.79540039628
1.0,7.71,107564.30832868566
1.0,7.72,107703.82125697454
1.0,7.73,107843.33418526326
1.0,7.74,107982.84711355256
1.0,7.75,108122.36004184224
1.0,7.76,108261.87297013098
1.0,7.77,108401.3858984199
1.0,7.78,108540.89882670919
1.0,7.79,108680.4117549981
1.0,7.8,108819.924683287
1.0,7.81,108959.43761157632
1.0,7.82,109098.95053986616
1.0,7.83,109238.46346815482
1.0,7.84,109377.97639644374
1.0,7.85,109517.48932473308
1.0,7.86,109657.00225302191
1.0,7.87,109796.51518131017
1.0,7.88,109936.02810959965
1.0,7.89,110075.54103788943
1.0,7.9,110215.05396617843
1.0,7.91,110354.5668944683
1.0,7.92,110494.07982275686
1.0,7.93,110633.59275104597
1.0,7.94,110773.1056793351
1.0,7.95,110912.61860762474
1.0,7.96,111052.13153591288
1.0,7.97,111191.6444642026
1.0,7.98,111331.15739249103
1.0,7.99,111470.67032077971
