Time(s),outletFlowRate(Kg/s)
0,0.00163
1.27,0.00163
120.47,0.00131001762719
200.47,0.000880570566782
300.47,0.000642211115655
400.47,0.000513284440022
500.47,0.000431367886864
600.47,0.00037423074497
700.47,0.000331863010349
800.47,0.000299056704089
900.47,0.00027282029594
1000.47,0.000251306380131
1100.47,0.000233309104893
1200.47,0.00021800611048
1300.47,0.000204816257285
1400.47,0.00019331658636
1500.47,0.000183191526889
1600.47,0.000174200585317
1700.47,0.000166157094545
1800.47,0.000158913830362
1900.47,0.000152353029731
2000.47,0.000146379310132
2100.4700000000003,0.000140914548242
2200.4700000000003,0.00013589411101
2300.4700000000003,0.000131264038493
2400.4700000000003,0.000126978908318
2500.4700000000003,0.000123000196081
2600.4700000000003,0.000119295001808
2700.4700000000003,0.000115835050154
2800.4700000000003,0.000112595897822
2900.4700000000003,0.000109556299543
3000.4700000000003,0.000106697696661
3100.4700000000003,0.000104003801415
3200.4700000000003,0.000101460256566
3300.4700000000003,9.90543548346e-05
3400.4700000000003,9.67748061988e-05
3500.4700000000003,9.461154373e-05
3600.4700000000003,9.25555607045e-05
3700.4700000000003,9.05987732339e-05
3800.4700000000003,8.87339038502e-05
3900.4700000000003,8.69543823927e-05
4000.4700000000003,8.52542612557e-05
4100.47,8.3628142616e-05
4200.47,8.20711157008e-05
4300.47,8.05787025101e-05
4400.47,7.91468106856e-05
4500.47,7.77716924494e-05
4600.47,7.64499087131e-05
4700.47,7.51782976113e-05
4800.47,7.39539468329e-05
4900.47,7.27741692233e-05
5000.47,7.1636481213e-05
5100.47,7.05385836959e-05
5200.47,6.94783450383e-05
5300.47,6.84537859437e-05
5400.47,6.74630659415e-05
5500.47,6.6504471298e-05
5600.47,6.55764041777e-05
5700.47,6.46773729061e-05
5800.47,6.38059832041e-05
5900.47,6.2960930283e-05
6000.47,6.21409917026e-05
6100.47,6.13450209064e-05
6200.47,6.05719413617e-05
6300.47,5.98207412373e-05
6400.47,5.9090468563e-05
6500.47,5.83802268207e-05
6600.47,5.76891709209e-05
6700.47,5.70165035288e-05
6800.47,5.63614717014e-05
6900.47,5.57233638077e-05
7000.47,5.51015067034e-05
7100.47,5.44952631361e-05
7200.47,5.39040293584e-05
7300.47,5.33272329314e-05
7400.47,5.27643306989e-05
7500.47,5.2214806919e-05
7600.47,5.16781715369e-05
7700.47,5.11539585884e-05
7800.47,5.06417247217e-05
7900.47,5.0141047827e-05
8000.47,4.96515257656e-05
8100.47,4.91727751903e-05
8200.470000000001,4.8704430448e-05
8260.470000000001,4.84282725624e-05
8360.470000000001,4.79758578552e-05
8460.470000000001,4.75329739706e-05
8560.470000000001,4.70993109951e-05
8660.470000000001,4.66745725597e-05
8760.470000000001,4.62584750991e-05
8860.470000000001,4.58507471606e-05
8960.470000000001,4.5451128757e-05
9000.470000000001,4.52934959092e-05
9100.470000000001,4.49048146444e-05
9200.470000000001,4.45236621802e-05
9300.470000000001,4.41498132051e-05
9400.470000000001,4.37830514784e-05
9500.470000000001,4.3423169373e-05
9600.470000000001,4.30699674463e-05
9700.470000000001,4.27232540363e-05
9800.470000000001,4.23828448816e-05
9900.470000000001,4.20485627638e-05
10000.470000000001,4.17202371706e-05
10100.470000000001,4.13977039779e-05
10200.470000000001,4.10808051501e-05
10300.470000000001,4.07693884575e-05
10400.470000000001,4.04633072089e-05
10500.470000000001,4.01624199994e-05
10600.470000000001,3.98665904715e-05
10700.470000000001,3.957568709e-05
10800.470000000001,3.92895829275e-05
10900.470000000001,3.90081554629e-05
11000.470000000001,3.87312863895e-05
11100.470000000001,3.84588614329e-05
11200.470000000001,3.81907701794e-05
11300.470000000001,3.79269059123e-05
11400.470000000001,3.76671654565e-05
11500.470000000001,3.74114490315e-05
11600.470000000001,3.71596601112e-05
11700.470000000001,3.69117052908e-05
11800.470000000001,3.66674941605e-05
11900.470000000001,3.64269391846e-05
12000.470000000001,3.61899555875e-05
12100.470000000001,3.59564612442e-05
12200.470000000001,3.57263765763e-05
12300.470000000001,3.54996244533e-05
12400.470000000001,3.52761300978e-05
12500.470000000001,3.50558209956e-05
12600.470000000001,3.48386268099e-05
12700.470000000001,3.4624479299e-05
12800.470000000001,3.44133122381e-05
12900.470000000001,3.42050613447e-05
13000.470000000001,3.39996642069e-05
13100.470000000001,3.37970602149e-05
13200.470000000001,3.35971904964e-05
13300.470000000001,3.33999978532e-05
13400.470000000001,3.32054267023e-05
13500.470000000001,3.30134230178e-05
13600.470000000001,3.2823934277e-05
13700.470000000001,3.26369094072e-05
13800.470000000001,3.24522987358e-05
13900.470000000001,3.2270053942e-05
14000,3.20909683107e-05
