Time(s),Depth(m),Pressure(Pa)
1.3,6.0,100272.4358048201
1.3,6.4,106952.60443252661
1.3,6.8,113632.7726856507
1.3,7.2,120314.93744770634
1.3,7.6,126999.79036284245
1.3,8.0,133684.64186261458
120.5,6.0,100162.33963728436
120.5,6.4,106837.23179780933
120.5,6.8,113512.123657725
120.5,7.2,120188.65960051694
120.5,7.6,126867.37744576379
120.5,8.0,133546.09428469779
200.5,6.0,100091.0917200627
200.5,6.4,106762.97939260502
200.5,6.8,113434.86686939458
200.5,7.2,120107.85843568547
200.5,7.6,126782.31041413569
200.5,8.0,133456.76172574196
300.5,6.0,100002.27147788218
300.5,6.4,106669.35055675128
300.5,6.8,113336.42949620882
300.5,7.2,120004.31431930124
300.5,7.6,126673.2614011655
300.5,8.0,133342.20808609313
400.5,6.0,99912.00958710052
400.5,6.4,106573.76224776471
400.5,6.8,113235.51479917442
400.5,7.2,119897.92821181365
400.5,7.6,126561.15704978006
400.5,8.0,133224.4016884143
500.5,6.0,99819.57510326417
500.5,6.4,106475.66070977706
500.5,6.8,113131.74622617758
500.5,7.2,119788.5693243645
500.5,7.6,126445.71356696748
500.5,8.0,133103.05273657324
600.5,6.0,99724.5787533591
600.5,6.4,106374.71556422304
600.5,6.8,113024.85229835214
600.5,7.2,119676.43099284275
600.5,7.6,126326.68442979075
600.5,8.0,132977.9086056565
700.5,6.0,99626.76304052073
700.5,6.4,106270.69232859073
700.5,6.8,112914.62155109558
700.5,7.2,119562.01244772955
700.5,7.6,126203.86247815903
700.5,8.0,132848.7559400776
800.5,6.0,99525.9324503062
800.5,6.4,106163.40438957431
800.5,6.8,112800.87626997213
800.5,7.2,119445.93994615092
800.5,7.6,126077.06610554615
800.5,8.0,132715.40685033432
900.5,6.0,99421.9244473174
900.5,6.4,106052.69155798199
900.5,6.8,112683.45861684551
900.5,7.2,119328.79323294792
900.5,7.6,125946.12972317856
900.5,8.0,132577.68938397345
1000.5,6.0,99314.59559045626
1000.5,6.4,105938.40933520059
1000.5,6.8,112562.22304069038
1000.5,7.2,119211.00341907605
1000.5,7.6,125810.89797133494
1000.5,8.0,132435.44174444594
1100.5,6.0,99203.81420639178
1100.5,6.4,105820.42305504924
1100.5,6.8,112437.03191262405
1100.5,7.2,119092.81783959377
1100.5,7.6,125671.22219189799
1100.5,8.0,132288.50877203385
1200.5,6.0,99089.45624746266
1200.5,6.4,105698.60450513609
1200.5,6.8,112307.75295683145
1200.5,7.2,118974.3069180448
1200.5,7.6,125526.95825886661
1200.5,8.0,132136.73978359168
1300.5,6.0,98971.40283476381
1300.5,6.4,105572.82989421743
1300.5,6.8,112174.25773348322
1300.5,7.2,118855.3909590199
1300.5,7.6,125377.96522792203
1300.5,8.0,131979.98723223957
1400.5,6.0,98849.53875661879
1400.5,6.4,105442.97860400067
1400.5,6.8,112036.4207804406
1400.5,7.2,118735.8728738458
1400.5,7.6,125224.10450106811
1400.5,8.0,131818.10588305487
1500.5,6.0,98723.75154075294
1500.5,6.4,105308.93241992174
1500.5,6.8,111894.11917429933
1500.5,7.2,118615.4695277232
1500.5,7.6,125065.23932849806
1500.5,8.0,131650.9523269631
1600.5,6.0,98593.9308885852
1600.5,6.4,105170.57507403585
1600.5,6.8,111747.23236360434
1600.5,7.2,118493.83860983183
