Time(s),Depth(m),Pressure(Pa)
1.3,6.0,100272.4358048201
1.3,6.01,100439.44004077377
1.3,6.02,100606.4442544424
1.3,6.03,100773.44847059817
1.3,6.04,100940.45269004069
1.3,6.05,101107.45689508642
1.3,6.06,101274.46111388576
1.3,6.07,101441.46532809462
1.3,6.08,101608.46955425247
1.3,6.09,101775.4737539762
1.3,6.1,101942.47797621027
1.3,6.11,102109.48219631036
1.3,6.12,102276.48640188394
1.3,6.13,102443.49062540494
1.3,6.14,102610.49484021621
1.3,6.15,102777.49905599374
1.3,6.16,102944.50326160385
1.3,6.17,103111.507490181
1.3,6.18,103278.51169170697
1.3,6.19,103445.51591274262
1.3,6.2,103612.52013414612
1.3,6.21,103779.52434543114
1.3,6.22,103946.52856221217
1.3,6.23,104113.53276970194
1.3,6.24,104280.53699612593
1.3,6.25,104447.5411988116
1.3,6.26,104614.54542006002
1.3,6.27,104781.54964070643
1.3,6.28,104948.55385256486
1.3,6.29,105115.55806846215
1.3,6.3,105282.56227749719
1.3,6.31,105449.5665020232
1.3,6.32,105616.57070659277
1.3,6.33,105783.57492799789
1.3,6.34,105950.57914169693
1.3,6.35,106117.5833596954
1.3,6.36,106284.5875739012
1.3,6.37,106451.59178407532
1.3,6.38,106618.59600692448
1.3,6.39,106785.60021736863
1.3,6.4,106952.60443252661
1.3,6.41,107119.6086504357
1.3,6.42,107286.61286610848
1.3,6.43,107453.61708245207
1.3,6.44,107620.62129804035
1.3,6.45,107787.62550814947
1.3,6.46,107954.62973004438
1.3,6.47,108121.63393828305
1.3,6.48,108288.63815489899
1.3,6.49,108455.64237068532
1.3,6.5,108622.64658835495
1.3,6.51,108789.6508012535
1.3,6.52,108956.65501878617
1.3,6.53,109123.65923215135
1.3,6.54,109290.66344712807
1.3,6.55,109457.66766719746
1.3,6.56,109624.671884013
1.3,6.57,109791.67609084345
1.3,6.58,109958.68030865179
1.3,6.59,110125.68452798415
1.3,6.6,110292.68873495141
1.3,6.61,110459.69295409526
1.3,6.62,110626.6971751537
1.3,6.63,110793.70138875235
1.3,6.64,110960.7056000959
1.3,6.65,111127.70981920029
1.3,6.66,111294.71403442173
1.3,6.67,111461.7182454181
1.3,6.68,111628.72246456292
1.3,6.69,111795.72668034036
1.3,6.7,111962.73089890015
1.3,6.71,112129.73510628
1.3,6.72,112296.73931929137
1.3,6.73,112463.743527312
1.3,6.74,112630.74772572203
1.3,6.75,112797.75192211577
1.3,6.76,112964.75611332199
1.3,6.77,113131.76028206166
1.3,6.78,113298.764438692
1.3,6.79,113465.76857447058
1.3,6.8,113632.7726856507
1.3,6.81,113799.77675929699
1.3,6.82,113966.78082753399
1.3,6.83,114133.7848940578
1.3,6.84,114300.78893912921
1.3,6.85,114467.79310160992
1.3,6.86,114634.79736872934
1.3,6.87,114801.80194394564
1.3,6.88,114968.80692329543
1.3,6.89,115135.8129210459
1.3,6.9,115302.8202011373
1.3,6.91,115469.82925670569
1.3,6.92,115636.84197542426
1.3,6.93,115803.8590312427
1.3,6.94,115970.8838567182
1.3,6.95,116137.92033789304
1.3,6.96,116304.97789336015
1.3,6.97,116471.99272144245
1.3,6.98,116640.72111967157
1.3,6.99,116910.3757845051
1.3,7.0,165270.23025269536
1.3,7.01,165516.81716215156
1.3,7.02,165754.08751378322
1.3,7.03,165989.98641721363
1.3,7.04,166226.4061712941
1.3,7.05,166462.53050583482
1.3,7.06,166698.56913630158
1.3,7.07,166934.80080861403
1.3,7.08,167170.87147117013
1.3,7.09,167406.309799608
1.3,7.1,167630.02065629596
1.3,7.11,118826.85956092454
1.3,7.12,118978.44035847025
1.3,7.13,119145.26072476644
1.3,7.14,119312.30235071629
1.3,7.15,119479.38081999744
1.3,7.16,119646.47967105548
1.3,7.17,119813.58767160385
1.3,7.18,119980.7006462651
1.3,7.19,120147.81836716726
1.3,7.2,120314.93744770634
1.3,7.21,120482.05800118827
1.3,7.22,120649.17909700194
1.3,7.23,120816.30052097754
1.3,7.24,120983.42217755687
1.3,7.25,121150.54381309648
1.3,7.26,121317.66544318367
1.3,7.27,121484.78704669292
1.3,7.28,121651.90857163061
1.3,7.29,121819.03004735839
1.3,7.3,121986.1514690678
1.3,7.31,122153.27285574995
1.3,7.32,122320.39421062221
1.3,7.33,122487.51554258021
1.3,7.34,122654.6368588034
1.3,7.35,122821.75816416019
1.3,7.36,122988.87946158627
1.3,7.37,123156.00075408137
1.3,7.38,123323.12204387606
1.3,7.39,123490.24333172372
1.3,7.4,123657.36461873291
1.3,7.41,123824.48590527455
1.3,7.42,123991.60719178434
1.3,7.43,124158.7284783615
1.3,7.44,124325.84976503019
1.3,7.45,124492.97105189238
1.3,7.46,124660.09233890034
1.3,7.47,124827.21362604463
1.3,7.48,124994.33491328664
1.3,7.49,125161.45620061233
1.3,7.5,125328.5774880031
1.3,7.51,125495.69877543632
1.3,7.52,125662.82006289587
1.3,7.53,125829.94135037498
1.3,7.54,125997.06263786525
1.3,7.55,126164.18392535967
1.3,7.56,126331.30521285615
1.3,7.57,126498.42650035376
1.3,7.58,126665.54778785093
1.3,7.59,126832.66907534667
1.3,7.6,126999.79036284245
1.3,7.61,127166.9116503383
1.3,7.62,127334.03293783311
1.3,7.63,127501.15422532764
1.3,7.64,127668.27551282241
1.3,7.65,127835.39680031675
1.3,7.66,128002.5180878106
1.3,7.67,128169.6393753051
1.3,7.68,128336.76066279993
1.3,7.69,128503.88195029399
1.3,7.7,128671.00323778795
1.3,7.71,128838.12452528259
1.3,7.72,129005.24581277672
1.3,7.73,129172.36710027028
1.3,7.74,129339.48838776484
1.3,7.75,129506.60967525975
1.3,7.76,129673.7309627536
1.3,7.77,129840.85225024776
1.3,7.78,130007.97353774219
1.3,7.79,130175.09482523624
1.3,7.8,130342.21611273008
1.3,7.81,130509.33740022476
1.3,7.82,130676.45868771964
1.3,7.83,130843.57997521361
1.3,7.84,131010.70126270769
1.3,7.85,131177.82255020217
1.3,7.86,131344.94383769584
1.3,7.87,131512.06512518937
1.3,7.88,131679.1864126841
1.3,7.89,131846.30770017908
1.3,7.9,132013.4289876729
1.3,7.91,132180.5502751683
1.3,7.92,132347.67156266185
1.3,7.93,132514.79285015626
1.3,7.94,132681.91413765046
1.3,7.95,132849.03542514547
1.3,7.96,133016.15671263845
1.3,7.97,133183.27800013352
1.3,7.98,133350.39928762687
1.3,7.99,133517.52057512072
200.5,6.0,100091.0917200627
200.5,6.01,100257.8889180508
200.5,6.02,100424.68610924948
200.5,6.03,100591.48330121033
200.5,6.04,100758.28049416476
200.5,6.05,100925.0776827415
200.5,6.06,101091.8748754982
200.5,6.07,101258.67206686619
200.5,6.08,101425.46926186634
200.5,6.09,101592.26644881364
200.5,6.1,101759.06364263
200.5,6.11,101925.8608357888
200.5,6.12,102092.65802451731
200.5,6.13,102259.45521871047
200.5,6.14,102426.25241025945
200.5,6.15,102593.04960208938
200.5,6.16,102759.84679084521
200.5,6.17,102926.64398659217
200.5,6.18,103093.44117408383
200.5,6.19,103260.2383675118
200.5,6.2,103427.03556105211
200.5,6.21,103593.83275150803
200.5,6.22,103760.62994363526
200.5,6.23,103927.42713296773
200.5,6.24,104094.22432808495
200.5,6.25,104261.02151592654
200.5,6.26,104427.81870942537
200.5,6.27,104594.61590273982
200.5,6.28,104761.4130933758
200.5,6.29,104928.21028523998
200.5,6.3,105095.00747503
200.5,6.31,105261.8046695374
200.5,6.32,105428.6018579638
200.5,6.33,105595.399051519
200.5,6.34,105762.19624272455
200.5,6.35,105928.99343524221
200.5,6.36,106095.79062660715
200.5,6.37,106262.58781674296
200.5,6.38,106429.38501074296
200.5,6.39,106596.18220095786
200.5,6.4,106762.97939260502
200.5,6.41,106929.77658509764
200.5,6.42,107096.57377690583
200.5,6.43,107263.37096892057
200.5,6.44,107430.16816070826
200.5,6.45,107596.96535082301
200.5,6.46,107763.76254452868
200.5,6.47,107930.55973407214
200.5,6.48,108097.35692616385
200.5,6.49,108264.15411800834
200.5,6.5,108430.9513104241
200.5,6.51,108597.74850139322
200.5,6.52,108764.54569377445
200.5,6.53,108931.34288488171
200.5,6.54,109098.1400764761
200.5,6.55,109264.93726962428
200.5,6.56,109431.73446178394
200.5,6.57,109598.53165090624
200.5,6.58,109765.32884338188
200.5,6.59,109932.1260363273
200.5,6.6,110098.9232255063
200.5,6.61,110265.72041840662
200.5,6.62,110432.51761190203
