Time,Depth(m),Pressure(Pa)
1.0,6.0,100272.4357080735
1.0,6.01,100438.73750156052
1.0,6.02,100605.03915928517
1.0,6.03,100771.34083197372
1.0,6.04,100937.64252504536
1.0,6.05,101103.9441301504
1.0,6.06,101270.24581943214
1.0,6.07,101436.54748027842
1.0,6.08,101602.84921393637
1.0,6.09,101769.1507870274
1.0,6.1,101935.45249688794
1.0,6.11,102101.7541936971
1.0,6.12,102268.05580220191
1.0,6.13,102434.357520051
1.0,6.14,102600.65918444222
1.0,6.15,102766.96085519924
1.0,6.16,102933.26246387302
1.0,6.17,103099.56421252312
1.0,6.18,103265.8657963404
1.0,6.19,103432.16749887884
1.0,6.2,103598.46920362902
1.0,6.21,103764.77084681999
1.0,6.22,103931.07252367024
1.0,6.23,104097.37414377724
1.0,6.24,104263.67587929104
1.0,6.25,104429.9774701921
1.0,6.26,104596.27917406148
1.0,6.27,104762.5808742027
1.0,6.28,104928.88252086002
1.0,6.29,105095.18419230367
1.0,6.3,105261.48582179943
1.0,6.31,105427.78754577063
1.0,6.32,105594.08914812467
1.0,6.33,105760.39085288344
1.0,6.34,105926.69251089043
1.0,6.35,106092.99419486293
1.0,6.36,106259.29585604387
1.0,6.37,106425.59749266837
1.0,6.38,106591.89920605523
1.0,6.39,106758.20084416599
1.0,6.4,106924.50251119962
1.0,6.41,107090.80419465629
1.0,6.42,107257.10586462541
1.0,6.43,107423.40753866936
1.0,6.44,107589.70920798315
1.0,6.45,107756.01084413839
1.0,6.46,107922.31255203042
1.0,6.47,108088.61417671131
1.0,6.48,108254.91585241145
1.0,6.49,108421.21752297625
1.0,6.5,108587.51920515198
1.0,6.51,108753.82085812988
1.0,6.52,108920.12253936872
1.0,6.53,109086.42419547355
1.0,6.54,109252.72586115499
1.0,6.55,109419.02755766151
1.0,6.56,109585.32923470161
1.0,6.57,109751.63085088047
1.0,6.58,109917.93253381668
1.0,6.59,110084.2342262042
1.0,6.6,110250.53584338458
1.0,6.61,110416.83753444275
1.0,6.62,110583.13923716912
1.0,6.63,110749.44089505271
1.0,6.64,110915.74253895221
1.0,6.65,111082.04423000621
1.0,6.66,111248.34589777108
1.0,6.67,111414.6475396347
1.0,6.68,111580.94923094951
1.0,6.69,111747.25090153041
1.0,6.7,111913.55258829202
1.0,6.71,112079.85420602119
1.0,6.72,112246.15585628357
1.0,6.73,112412.45747303046
1.0,6.74,112578.75902718195
1.0,6.75,112745.06056272215
1.0,6.76,112911.3620576936
1.0,6.77,113077.66340352182
1.0,6.78,113243.96466121393
1.0,6.79,113410.2657704651
1.0,6.8,113576.56670916686
1.0,6.81,113742.86738775314
1.0,6.82,113909.16801823933
1.0,6.83,114075.46863503027
1.0,6.84,114241.76910749695
1.0,6.85,114408.0703802201
1.0,6.86,114574.3723837579
1.0,6.87,114740.67653292339
1.0,6.88,114906.98349711738
1.0,6.89,115073.29756041637
1.0,6.9,115239.62059116387
1.0,6.91,115405.95603514378
1.0,6.92,115572.31699551332
1.0,6.93,115738.70879491458
1.0,6.94,115905.15391397529
1.0,6.95,116071.6792874943
1.0,6.96,116238.3766979935
1.0,6.97,116405.27853940029
1.0,6.98,116573.80793201963
1.0,6.99,116805.13872042592
1.0,7.0,145832.77496564688
1.0,7.01,146066.53641975034
1.0,7.02,146280.22737578666
1.0,7.03,146490.08987744062
1.0,7.04,146699.37595859868
1.0,7.05,146908.07256015154
1.0,7.06,147116.44685886003
1.0,7.07,147324.62041050367
1.0,7.08,147532.11179091907
1.0,7.09,147737.0391969952
1.0,7.1,147860.66684982827
1.0,7.11,118754.70378444578
1.0,7.12,118908.1379278963
1.0,7.13,119073.97826149111
1.0,7.14,119240.5396795754
1.0,7.15,119407.35008129496
1.0,7.16,119574.3158606251
1.0,7.17,119741.34437446295
1.0,7.18,119908.40764265176
1.0,7.19,120075.50412238736
1.0,7.2,120242.61009186278
1.0,7.21,120409.72633251829
1.0,7.22,120576.84634938488
1.0,7.23,120743.96864255873
1.0,7.24,120911.09254981384
1.0,7.25,121078.2162995055
1.0,7.26,121245.34000072234
1.0,7.27,121412.4635119414
1.0,7.28,121579.58646855822
1.0,7.29,121746.70907792036
1.0,7.3,121913.83130701615
1.0,7.31,122080.95328968976
1.0,7.32,122248.07504879827
1.0,7.33,122415.19664704069
1.0,7.34,122582.3181351853
1.0,7.35,122749.43954743395
1.0,7.36,122916.56090426797
1.0,7.37,123083.68222663831
1.0,7.38,123250.80353013813
1.0,7.39,123417.92482002421
1.0,7.4,123585.04610405426
1.0,7.41,123752.16738482578
1.0,7.42,123919.28866538045
1.0,7.43,124086.40994638906
1.0,7.44,124253.53122806555
1.0,7.45,124420.65251112077
1.0,7.46,124587.77379519916
1.0,7.47,124754.89508026313
1.0,7.48,124922.01636602668
1.0,7.49,125089.1376523692
1.0,7.5,125256.25893914799
1.0,7.51,125423.3802262155
1.0,7.52,125590.50151346604
1.0,7.53,125757.62280085156
1.0,7.54,125924.74408831302
1.0,7.55,126091.86537580835
1.0,7.56,126258.98666331949
1.0,7.57,126426.10795083853
1.0,7.58,126593.22923835422
1.0,7.59,126760.35052586051
1.0,7.6,126927.47181336362
1.0,7.61,127094.59310086536
1.0,7.62,127261.71438836333
1.0,7.63,127428.83567585995
1.0,7.64,127595.95696335612
1.0,7.65,127763.07825085131
1.0,7.66,127930.19953834565
1.0,7.67,128097.32082584014
1.0,7.68,128264.44211333516
1.0,7.69,128431.5634008291
1.0,7.7,128598.68468832318
1.0,7.71,128765.80597581773
1.0,7.72,128932.92726331195
1.0,7.73,129100.04855080551
1.0,7.74,129267.16983829984
1.0,7.75,129434.29112579499
1.0,7.76,129601.4124132887
1.0,7.77,129768.53370078283
1.0,7.78,129935.65498827724
1.0,7.79,130102.77627577141
1.0,7.8,130269.89756326523
1.0,7.81,130437.0188507597
1.0,7.82,130604.14013825466
1.0,7.83,130771.26142574869
1.0,7.84,130938.38271324278
1.0,7.85,131105.50400073736
1.0,7.86,131272.6252882309
1.0,7.87,131439.7465757245
1.0,7.88,131606.8678632193
1.0,7.89,131773.98915071425
1.0,7.9,131941.11043820792
1.0,7.91,132108.23172570343
1.0,7.92,132275.35301319702
1.0,7.93,132442.4743006914
1.0,7.94,132609.59558818553
1.0,7.95,132776.71687568078
1.0,7.96,132943.83816317335
1.0,7.97,133110.95945066863
1.0,7.98,133278.0807381618
1.0,7.99,133445.20202565572
200.0,6.0,100092.90170648594
200.0,6.01,100259.31637388484
200.0,6.02,100425.73100144329
200.0,6.03,100592.14563340443
200.0,6.04,100758.56027135467
200.0,6.05,100924.97488348924
200.0,6.06,101091.3895203268
200.0,6.07,101257.80414882045
200.0,6.08,101424.21879861504
200.0,6.09,101590.63340136752
200.0,6.1,101757.04804428927
200.0,6.11,101923.4626833155
200.0,6.12,102089.87729642147
200.0,6.13,102256.29194159489
200.0,6.14,102422.70657108517
200.0,6.15,102589.12120243374
200.0,6.16,102755.53581569833
200.0,6.17,102921.95047000718
200.0,6.18,103088.36507582272
200.0,6.19,103254.77971638927
200.0,6.2,103421.1943575451
200.0,6.21,103587.60898061167
200.0,6.22,103754.02361356934
200.0,6.23,103920.43823021313
200.0,6.24,104086.8528810774
200.0,6.25,104253.2674889178
200.0,6.26,104419.68212992696
200.0,6.27,104586.09676979308
200.0,6.28,104752.51139393059
200.0,6.29,104918.92602536327
200.0,6.3,105085.34064463722
