Time,Depth(m),Pressure(Pa)
1.0,6.0,100272.43444693508
1.0,6.01,100439.65594033505
1.0,6.02,100606.85763267844
1.0,6.03,100774.0182782581
1.0,6.04,100941.11804047857
1.0,6.05,101108.15104618257
1.0,6.06,101275.11888662366
1.0,6.07,101442.03373499452
1.0,6.08,101608.90617772337
1.0,6.09,101775.76657618333
1.0,6.1,101942.63013082158
1.0,6.11,102109.50788827549
1.0,6.12,102276.40579432133
1.0,6.13,102443.33097736433
1.0,6.14,102610.28827520854
1.0,6.15,102777.29226090835
1.0,6.16,102944.35950647095
1.0,6.17,103111.51607880076
1.0,6.18,103278.77431805462
1.0,6.19,103446.1569835464
1.0,6.2,103613.66230764442
1.0,6.21,103781.36118754114
1.0,6.22,103949.23453022982
1.0,6.23,104117.27604535138
1.0,6.24,104285.47123924005
1.0,6.25,104453.57237259755
1.0,6.26,104622.00120156772
1.0,6.27,104791.10759828404
1.0,6.28,104958.81905622588
1.0,6.29,105121.8141797412
1.0,6.3,105282.3329067181
1.0,6.31,105444.01113578072
1.0,6.32,105604.50485895344
1.0,6.33,105763.09154421152
1.0,6.34,105919.32444542814
1.0,6.35,106074.89462897298
1.0,6.36,106225.59088228169
1.0,6.37,106378.16104335124
1.0,6.38,106532.2913069189
1.0,6.39,106684.91467841118
1.0,6.4,106840.20528146827
1.0,6.41,106996.98472575503
1.0,6.42,107160.47519487824
1.0,6.43,107320.50265558227
1.0,6.44,107485.12551269667
1.0,6.45,107649.52830810845
1.0,6.46,107816.27215476704
1.0,6.47,107984.64239652862
1.0,6.48,108152.91440249747
1.0,6.49,108320.98842148982
1.0,6.5,108488.86323760581
1.0,6.51,108656.49458099458
1.0,6.52,108824.03514758925
1.0,6.53,108991.46090824797
1.0,6.54,109158.79589555344
1.0,6.55,109325.94688311916
1.0,6.56,109492.9760166782
1.0,6.57,109659.86794928275
1.0,6.58,109826.86792377918
1.0,6.59,109993.94127683637
1.0,6.6,110159.6242375524
1.0,6.61,110327.50046119504
1.0,6.62,110496.07959741005
1.0,6.63,110664.39416588987
1.0,6.64,110830.07149791227
1.0,6.65,110997.08028850185
1.0,6.66,111164.84986416897
1.0,6.67,111328.24599057905
1.0,6.68,111496.7770041455
1.0,6.69,111667.82092740393
1.0,6.7,111837.06201911777
1.0,6.71,112001.33164945473
1.0,6.72,112168.64413590537
1.0,6.73,112334.832710446
1.0,6.74,112501.33797969844
1.0,6.75,112667.39185639287
1.0,6.76,112836.12467740805
1.0,6.77,113002.33976742954
1.0,6.78,113168.37247810076
1.0,6.79,113334.44867568472
1.0,6.8,113508.34306200578
1.0,6.81,113673.10909740839
1.0,6.82,113838.3292790285
1.0,6.83,114006.85929757435
1.0,6.84,114173.35132953938
1.0,6.85,114341.69463125755
1.0,6.86,114507.84349694292
1.0,6.87,114673.15141676176
1.0,6.88,114842.1084424668
1.0,6.89,115009.35892631052
1.0,6.9,115175.95654108547
1.0,6.91,115342.11237836901
1.0,6.92,115508.28996375084
1.0,6.93,115675.76941384231
1.0,6.94,115842.8716669544
1.0,6.95,116009.75987288875
1.0,6.96,116177.4021325692
1.0,6.97,116344.11797079089
1.0,6.98,116512.31534677086
1.0,6.99,116745.37345632043
1.0,7.0,145798.05783328883
1.0,7.01,146005.1109683726
1.0,7.02,146213.68710667166
1.0,7.03,146422.08153566023
1.0,7.04,146630.7404468877
1.0,7.05,146839.17328033582
1.0,7.06,147047.51900726382
1.0,7.07,147255.95032044844
1.0,7.08,147464.25488123324
1.0,7.09,147672.29830681978
1.0,7.1,147881.0351199213
1.0,7.11,118693.84522867991
1.0,7.12,118850.45179103666
1.0,7.13,119016.9589981231
1.0,7.14,119183.79373020706
1.0,7.15,119350.74121016123
1.0,7.16,119517.76519596067
1.0,7.17,119684.82499099379
1.0,7.18,119851.9071562612
1.0,7.19,120019.00938105205
1.0,7.2,120186.11786162238
1.0,7.21,120353.23357973316
1.0,7.22,120520.35209954937
1.0,7.23,120687.47256247659
1.0,7.24,120854.59438354919
1.0,7.25,121021.71640195124
1.0,7.26,121188.83867001302
1.0,7.27,121355.9609581021
1.0,7.28,121523.08304179819
1.0,7.29,121690.20499406339
1.0,7.3,121857.3267783333
1.0,7.31,122024.44844606372
1.0,7.32,122191.57000013755
1.0,7.33,122358.69147179756
1.0,7.34,122525.81288374946
1.0,7.35,122692.93425208615
1.0,7.36,122860.05558788532
1.0,7.37,123027.17690286587
1.0,7.38,123194.29820530617
1.0,7.39,123361.4194985931
1.0,7.4,123528.54078735627
1.0,7.41,123695.66207330755
1.0,7.42,123862.78335835892
1.0,7.43,124029.90464321303
1.0,7.44,124197.02592794562
1.0,7.45,124364.14721312246
1.0,7.46,124531.26849895137
1.0,7.47,124698.38978516743
1.0,7.48,124865.51107167776
1.0,7.49,125032.63235851521
1.0,7.5,125199.75364560599
1.0,7.51,125366.87493284869
1.0,7.52,125533.99622019309
1.0,7.53,125701.11750762134
1.0,7.54,125868.23879509042
1.0,7.55,126035.3600825769
1.0,7.56,126202.48137007363
1.0,7.57,126369.60265757504
1.0,7.58,126536.72394507725
1.0,7.59,126703.84523257808
1.0,7.6,126870.96652007771
1.0,7.61,127038.08780757526
1.0,7.62,127205.20909507081
1.0,7.63,127372.33038256578
1.0,7.64,127539.4516700611
1.0,7.65,127706.57295755562
1.0,7.66,127873.69424504966
1.0,7.67,128040.81553254434
1.0,7.68,128207.93682003954
1.0,7.69,128375.05810753364
1.0,7.7,128542.17939502763
1.0,7.71,128709.3006825223
1.0,7.72,128876.42197001634
