Time,Depth(m),Pressure(Pa)
1.0,6.0,100272.4350283407
1.0,6.01,100438.77873157064
1.0,6.02,100605.12150510278
1.0,6.03,100771.46438563018
1.0,6.04,100937.80739986719
1.0,6.05,101104.14981173923
1.0,6.06,101270.49279191713
1.0,6.07,101436.83559098584
1.0,6.08,101603.17888895827
1.0,6.09,101769.52107253944
1.0,6.1,101935.8642073526
1.0,6.11,102102.20725149699
1.0,6.12,102268.5496835435
1.0,6.13,102434.89286880214
1.0,6.14,102601.23569007039
1.0,6.15,102767.57855333359
1.0,6.16,102933.92098642194
1.0,6.17,103100.26438042906
1.0,6.18,103266.60664374204
1.0,6.19,103432.94972955444
1.0,6.2,103599.29282750592
1.0,6.21,103765.63549985386
1.0,6.22,103931.97840603502
1.0,6.23,104098.3209183878
1.0,6.24,104264.66422122756
1.0,6.25,104431.00653363601
1.0,6.26,104597.34962803035
1.0,6.27,104763.69269391743
1.0,6.28,104930.03539016962
1.0,6.29,105096.37825881569
1.0,6.3,105262.72083598067
1.0,6.31,105429.0640605911
1.0,6.32,105595.4064525479
1.0,6.33,105761.74955234495
1.0,6.34,105928.092327197
1.0,6.35,106094.43528098326
1.0,6.36,106260.778072655
1.0,6.37,106427.1207001502
1.0,6.38,106593.46385963565
1.0,6.39,106759.80649931922
1.0,6.4,106926.14933174914
1.0,6.41,107092.49228074975
1.0,6.42,107258.83513794982
1.0,6.43,107425.17802419736
1.0,6.44,107591.52087941168
1.0,6.45,107757.8635013384
1.0,6.46,107924.20661617986
1.0,6.47,108090.54916205537
1.0,6.48,108256.89205974966
1.0,6.49,108423.23492078726
1.0,6.5,108589.57786081609
1.0,6.51,108755.92060223517
1.0,6.52,108922.26353735902
1.0,6.53,109088.60629427712
1.0,6.54,109254.94912409139
1.0,6.55,109421.29216795338
1.0,6.56,109587.6350691886
1.0,6.57,109753.97755589461
1.0,6.58,109920.3204993057
1.0,6.59,110086.66350488001
1.0,6.6,110253.00599484879
1.0,6.61,110419.34899208846
1.0,6.62,110585.6920694775
1.0,6.63,110752.0348273014
1.0,6.64,110918.3774893777
1.0,6.65,111084.72047672629
1.0,6.66,111251.06329596156
1.0,6.67,111417.40594102646
1.0,6.68,111583.74893442277
1.0,6.69,111750.09179622954
1.0,6.7,111916.43480498169
1.0,6.71,112082.77738357095
1.0,6.72,112249.12026658707
1.0,6.73,112415.46305805707
1.0,6.74,112581.80561176277
1.0,6.75,112748.14831812905
1.0,6.76,112914.49115480107
1.0,6.77,113080.83353457398
1.0,6.78,113247.17595432115
1.0,6.79,113413.5183271867
1.0,6.8,113579.8604679538
1.0,6.81,113746.20223958071
1.0,6.82,113912.54433946476
1.0,6.83,114078.88645818873
1.0,6.84,114245.22817249049
1.0,6.85,114411.57141103863
1.0,6.86,114577.91530867317
1.0,6.87,114744.26155642001
1.0,6.88,114910.61088653404
1.0,6.89,115076.96793121277
1.0,6.9,115243.33363484181
1.0,6.91,115409.71185741115
1.0,6.92,115576.11520706673
1.0,6.93,115742.54830398754
1.0,6.94,115909.03219397075
1.0,6.95,116075.59055761936
1.0,6.96,116242.31141078945
1.0,6.97,116409.21917496536
1.0,6.98,116577.68338297702
1.0,6.99,116808.9980861587
1.0,7.0,145843.55123610864
1.0,7.01,146073.0899139866
1.0,7.02,146286.13584780297
1.0,7.03,146495.81265218445
1.0,7.04,146705.02324244523
1.0,7.05,146913.69142795142
1.0,7.06,147122.0712550463
1.0,7.07,147330.29344996804
1.0,7.08,147537.93981820508
1.0,7.09,147743.54652369715
1.0,7.1,147911.08164797127
1.0,7.11,118758.2708402288
1.0,7.12,118912.31615878292
1.0,7.13,119078.22391040387
1.0,7.14,119244.80962679978
1.0,7.15,119411.63040508614
1.0,7.16,119578.59922335437
1.0,7.17,119745.62855046557
1.0,7.18,119912.69214527284
1.0,7.19,120079.78805689706
1.0,7.2,120246.89335292963
1.0,7.21,120414.00894265423
1.0,7.22,120581.12836421002
1.0,7.23,120748.25017470508
1.0,7.24,120915.37367415629
1.0,7.25,121082.49711348154
1.0,7.26,121249.62059489176
1.0,7.27,121416.74393231011
1.0,7.28,121583.866774451
1.0,7.29,121750.98930380424
1.0,7.3,121918.1114840505
1.0,7.31,122085.23343436499
1.0,7.32,122252.35517454502
1.0,7.33,122419.47676304485
