Time,Depth(m),Pressure(Pa)
1.0,6.0,83707.60271098798
1.0,6.01,83847.10734043959
1.0,6.02,83986.61196983856
1.0,6.03,84126.1165992505
1.0,6.04,84265.62122866756
1.0,6.05,84405.12585803984
1.0,6.06,84544.6304874526
1.0,6.07,84684.13511685714
1.0,6.08,84823.63974630296
1.0,6.09,84963.14437564941
1.0,6.1,85102.64900508111
1.0,6.11,85242.1536345052
1.0,6.12,85381.6582638743
1.0,6.13,85521.16289330673
1.0,6.14,85660.66752271542
1.0,6.15,85800.17215211957
1.0,6.16,85939.67678149302
1.0,6.17,86079.18141094585
1.0,6.18,86218.68604030147
1.0,6.19,86358.1906697235
1.0,6.2,86497.69529914344
1.0,6.21,86637.19992852212
1.0,6.22,86776.70455791256
1.0,6.23,86916.2091872888
1.0,6.24,87055.71381676223
1.0,6.25,87195.21844611749
1.0,6.26,87334.7230755397
1.0,6.27,87474.22770495986
1.0,6.28,87613.73233434235
1.0,6.29,87753.23696373605
1.0,6.3,87892.741593118
1.0,6.31,88032.24622255347
1.0,6.32,88171.7508519204
1.0,6.33,88311.25548134871
1.0,6.34,88450.76011074736
1.0,6.35,88590.26474016503
1.0,6.36,88729.76936956473
1.0,6.37,88869.27399895056
1.0,6.38,89008.77862838704
1.0,6.39,89148.28325777515
1.0,6.4,89287.78788717656
1.0,6.41,89427.29251659337
1.0,6.42,89566.79714599956
1.0,6.43,89706.30177540927
1.0,6.44,89845.80640481823
1.0,6.45,89985.31103420409
1.0,6.46,90124.81566363267
1.0,6.47,90264.32029301315
1.0,6.48,90403.82492242214
1.0,6.49,90543.32955183047
1.0,6.5,90682.83418124355
1.0,6.51,90822.33881064216
1.0,6.52,90961.84344005675
1.0,6.53,91101.348069453
1.0,6.54,91240.85269885781
1.0,6.55,91380.35732828334
1.0,6.56,91519.86195769368
1.0,6.57,91659.36658707025
1.0,6.58,91798.87121648902
1.0,6.59,91938.37584591325
1.0,6.6,92077.88047529352
1.0,6.61,92217.38510472418
1.0,6.62,92356.889734167
1.0,6.63,92496.394363581
1.0,6.64,92635.89899299745
1.0,6.65,92775.40362244792
1.0,6.66,92914.90825188554
1.0,6.67,93054.41288131231
1.0,6.68,93193.9175107596
1.0,6.69,93333.42214017708
1.0,6.7,93472.9267695586
1.0,6.71,93612.43139883327
1.0,6.72,93751.93602799831
1.0,6.73,93891.44065693548
1.0,6.74,94030.94528554103
1.0,6.75,94170.44991370142
1.0,6.76,94309.9545411786
1.0,6.77,94449.45916764325
1.0,6.78,94588.96379300866
1.0,6.79,94728.46841664362
1.0,6.8,94867.97303853094
1.0,6.81,95007.47765777922
1.0,6.82,95146.98227565631
1.0,6.83,95286.48689257941
1.0,6.84,95425.9915077611
1.0,6.85,95565.49612849388
1.0,6.86,95705.00075499665
1.0,6.87,95844.5054000413
1.0,6.88,95984.010070059
1.0,6.89,96123.51480624262
1.0,6.9,96263.01962673142
1.0,6.91,96402.52456347809
1.0,6.92,96542.02977905505
1.0,6.93,96681.53515148643
1.0,6.94,96821.04127328102
1.0,6.95,96960.5496109001
1.0,6.96,97100.04648168429
1.0,6.97,97239.43304957938
1.0,6.98,97381.63727380648
1.0,6.99,97634.28286425977
1.0,7.0,165287.80682481735
1.0,7.01,165534.4335757051
1.0,7.02,165771.1332397442
1.0,7.03,166006.58983103008
1.0,7.04,166243.001385049
1.0,7.05,166479.07989846554
1.0,7.06,166715.1037085038
1.0,7.07,166951.47792277255
1.0,7.08,167187.76331055866
1.0,7.09,167423.66731503996
1.0,7.1,167659.02973154912
1.0,7.11,99219.2557006144
1.0,7.12,99332.45086022033
1.0,7.13,99471.71765472338
1.0,7.14,99611.22314046769
1.0,7.15,99750.73676388126
1.0,7.16,99890.24766984054
1.0,7.17,100029.75965882713
1.0,7.18,100169.27199527537
1.0,7.19,100308.78466452888
1.0,7.2,100448.29743227597
1.0,7.21,100587.81030565979
1.0,7.22,100727.3232182578
1.0,7.23,100866.83615483227
1.0,7.24,101006.34910839565
1.0,7.25,101145.86206075744
1.0,7.26,101285.37501302145
1.0,7.27,101424.88796352492
1.0,7.28,101564.40090855621
1.0,7.29,101703.9138501549
1.0,7.3,101843.42678796005
1.0,7.31,101982.93972329373
1.0,7.32,102122.45265637642
1.0,7.33,102261.96558783743
1.0,7.34,102401.47851818262
1.0,7.35,102540.9914477545
1.0,7.36,102680.50437676143
1.0,7.37,102820.01730541581
1.0,7.38,102959.5302338753
1.0,7.39,103099.04316219474
1.0,7.4,103238.55609045365
1.0,7.41,103378.06901867749
1.0,7.42,103517.58194689796
1.0,7.43,103657.09487512306
1.0,7.44,103796.6078033537
1.0,7.45,103936.12073159797
1.0,7.46,104075.63365985265
1.0,7.47,104215.14658811693
1.0,7.48,104354.65951638817
1.0,7.49,104494.17244466534
1.0,7.5,104633.68537294722
1.0,7.51,104773.19830123201
1.0,7.52,104912.71122951861
1.0,7.53,105052.22415780663
1.0,7.54,105191.73708609573
1.0,7.55,105331.25001438468
1.0,7.56,105470.76294267355
1.0,7.57,105610.27587096315
1.0,7.58,105749.78879925229
1.0,7.59,105889.30172754102
1.0,7.6,106028.81465583041
1.0,7.61,106168.32758412026
1.0,7.62,106307.840512409
1.0,7.63,106447.35344069774
1.0,7.64,106586.86636898732
1.0,7.65,106726.37929727636
1.0,7.66,106865.89222556501
1.0,7.67,107005.40515385411
1.0,7.68,107144.91808214373
1.0,7.69,107284.43101043264
1.0,7.7,107423.9439387215
1.0,7.71,107563.45686701105
1.0,7.72,107702.96979529988
1.0,7.73,107842.48272358863
1.0,7.74,107981.99565187794
1.0,7.75,108121.50858016757
1.0,7.76,108261.02150845644
1.0,7.77,108400.53443674537
1.0,7.78,108540.04736503452
1.0,7.79,108679.56029332346
1.0,7.8,108819.07322161233
1.0,7.81,108958.58614990172
1.0,7.82,109098.0990781914
1.0,7.83,109237.61200648021
1.0,7.84,109377.12493476909
1.0,7.85,109516.63786305855
1.0,7.86,109656.15079134729
1.0,7.87,109795.66371963565
1.0,7.88,109935.17664792528
1.0,7.89,110074.6895762149
1.0,7.9,110214.202504504
1.0,7.91,110353.7154327938
1.0,7.92,110493.22836108238
1.0,7.93,110632.74128937158
1.0,7.94,110772.2542176606
1.0,7.95,110911.76714595032
1.0,7.96,111051.28007423853
1.0,7.97,111190.79300252812
1.0,7.98,111330.30593081654
1.0,7.99,111469.8188591052
200.0,6.0,83591.77395254026
200.0,6.01,83731.12656037505
200.0,6.02,83870.47916820268
200.0,6.03,84009.83177603464
200.0,6.04,84149.18438386549
200.0,6.05,84288.53699169093
200.0,6.06,84427.88959951886
200.0,6.07,84567.24220734803
200.0,6.08,84706.59481518297
200.0,6.09,84845.94742300162
200.0,6.1,84985.30003083612
200.0,6.11,85124.65263866892
200.0,6.12,85264.00524649119
200.0,6.13,85403.35785432364
200.0,6.14,85542.7104621545
200.0,6.15,85682.0630699819
200.0,6.16,85821.41567780703
200.0,6.17,85960.76828564337
200.0,6.18,86100.12089346275
200.0,6.19,86239.47350129315
200.0,6.2,86378.82610912532
200.0,6.21,86518.17871695213
200.0,6.22,86657.53132478049
200.0,6.23,86796.88393260569
200.0,6.24,86936.2365404411
200.0,6.25,87075.5891482613
200.0,6.26,87214.94175609213
200.0,6.27,87354.29436392363
200.0,6.28,87493.6469717506
200.0,6.29,87632.99957957941
200.0,6.3,87772.3521874055
200.0,6.31,87911.70479524032
200.0,6.32,88051.05740306278
200.0,6.33,88190.41001089354
200.0,6.34,88329.76261871912
200.0,6.35,88469.11522655284
200.0,6.36,88608.46783438118
200.0,6.37,88747.82044220706
200.0,6.38,88887.17305004207
200.0,6.39,89026.52565786845
200.0,6.4,89165.87826569613
200.0,6.41,89305.2308735276
200.0,6.42,89444.58348135577
200.0,6.43,89583.93608918462
200.0,6.44,89723.28869701481
200.0,6.45,89862.64130484007
200.0,6.46,90001.99391267214
200.0,6.47,90141.34652049732
200.0,6.48,90280.69912832743
200.0,6.49,90420.05173615705
200.0,6.5,90559.40434398668
200.0,6.51,90698.75695181522
200.0,6.52,90838.10955964575
200.0,6.53,90977.46216747252
200.0,6.54,91116.81477530231
200.0,6.55,91256.16738313533
200.0,6.56,91395.51999096468
200.0,6.57,91534.87259878966
200.0,6.58,91674.22520662304
200.0,6.59,91813.57781445756
200.0,6.6,91952.93042228512
200.0,6.61,92092.28303012154
200.0,6.62,92231.63563796092
200.0,6.63,92370.98824579576
200.0,6.64,92510.3408536344
200.0,6.65,92649.69346147997
200.0,6.66,92789.04606932272
200.0,6.67,92928.39867716293
200.0,6.68,93067.75128499912
200.0,6.69,93207.10389281978
200.0,6.7,93346.45650061237
200.0,6.71,93485.80910835529
200.0,6.72,93625.16171602381
200.0,6.73,93764.5143235675
200.0,6.74,93903.86693093671
200.0,6.75,94043.2195380653
200.0,6.76,94182.57214484407
200.0,6.77,94321.92475112915
200.0,6.78,94461.27735688585
200.0,6.79,94600.62996185137
200.0,6.8,94739.98256607019
200.0,6.81,94879.33516919859
200.0,6.82,95018.68777194078
200.0,6.83,95158.04037500524
200.0,6.84,95297.39297797058
200.0,6.85,95436.74558515215
200.0,6.86,95576.09819729824
200.0,6.87,95715.45082059424
200.0,6.88,95854.80346323091
200.0,6.89,95994.15616380415
200.0,6.9,96133.50856307078
200.0,6.91,96272.8625213088
200.0,6.92,96412.2273568086
200.0,6.93,96551.42878442496
200.0,6.94,96690.51446337014
200.0,6.95,96848.26552630909
200.0,6.96,97134.04804812773
200.0,6.97,98059.17154098321
200.0,6.98,100890.33440179046
200.0,6.99,110908.5157090989
200.0,7.0,164892.27195882655
200.0,7.01,165133.3018319879
200.0,7.02,165369.0157582318
200.0,7.03,165604.57879217702
200.0,7.04,165840.247422782
200.0,7.05,166075.85426022054
200.0,7.06,166311.46870144235
200.0,7.07,166547.11305204334
200.0,7.08,166782.75029652944
200.0,7.09,167018.32169570128
200.0,7.1,167253.36146918772
200.0,7.11,112410.88032457465
200.0,7.12,102954.31548992572
200.0,7.13,100322.29083280158
200.0,7.14,99624.7483718092
200.0,7.15,99629.1149086181
200.0,7.16,99756.09327385624
200.0,7.17,99895.96044619141
200.0,7.18,100035.4530438538
200.0,7.19,100174.8074694124
200.0,7.2,100314.1631381072
200.0,7.21,100453.52063770872
200.0,7.22,100592.87769774652
200.0,7.23,100732.2347965914
200.0,7.24,100871.5919101166
200.0,7.25,101010.94902138859
200.0,7.26,101150.30613291315
200.0,7.27,101289.663243607
200.0,7.28,101429.02035147988
200.0,7.29,101568.37745758542
200.0,7.3,101707.73456172709
200.0,7.31,101847.09166457353
200.0,7.32,101986.44876624086
200.0,7.33,102125.8058670567
200.0,7.34,102265.16296728372
200.0,7.35,102404.52006710091
200.0,7.36,102543.87716661848
200.0,7.37,102683.23426594774
200.0,7.38,102822.59136517048
200.0,7.39,102961.94846431765
200.0,7.4,103101.3055634329
200.0,7.41,103240.66266252933
200.0,7.42,103380.01976162291
200.0,7.43,103519.37686071778
200.0,7.44,103658.73395981606
200.0,7.45,103798.09105892244
200.0,7.46,103937.44815803369
200.0,7.47,104076.805257149
200.0,7.48,104216.16235626808
200.0,7.49,104355.51945539087
200.0,7.5,104494.8765545169
200.0,7.51,104634.23365364409
200.0,7.52,104773.59075277217
200.0,7.53,104912.94785190152
200.0,7.54,105052.30495103
200.0,7.55,105191.6620501581
200.0,7.56,105331.01914928622
200.0,7.57,105470.37624841463
200.0,7.58,105609.73334754433
200.0,7.59,105749.09044667309
200.0,7.6,105888.44754580202
200.0,7.61,106027.80464493191
200.0,7.62,106167.16174406093
200.0,7.63,106306.5188431893
200.0,7.64,106445.87594231857
200.0,7.65,106585.23304144813
200.0,7.66,106724.59014057684
