Time,Depth(m),Pressure(Pa)
1.0,6.0,127672.28541472025
1.0,6.01,127885.03210183691
1.0,6.02,128097.77878242498
1.0,6.03,128310.52546374615
1.0,6.04,128523.27214601841
1.0,6.05,128736.0188240835
1.0,6.06,128948.7655061647
1.0,6.07,129161.51218691286
1.0,6.08,129374.25887116167
1.0,6.09,129587.00554765925
1.0,6.1,129799.75223076143
1.0,6.11,130012.49891323947
1.0,6.12,130225.24559145774
1.0,6.13,130437.99227492457
1.0,6.14,130650.73895584856
1.0,6.15,130863.48563705233
1.0,6.16,131076.23231527323
1.0,6.17,131288.97900022424
1.0,6.18,131501.72567726395
1.0,6.19,131714.47236001905
1.0,6.2,131927.21904288314
1.0,6.21,132139.96572278423
1.0,6.22,132352.7124042913
1.0,6.23,132565.45908306135
1.0,6.24,132778.20576736119
1.0,6.25,132990.95244474098
1.0,6.26,133203.6991275532
1.0,6.27,133416.44581019678
1.0,6.28,133629.19249026597
1.0,6.29,133841.93917151127
1.0,6.3,134054.68585074655
1.0,6.31,134267.432534513
1.0,6.32,134480.17921243614
1.0,6.33,134692.9258952925
1.0,6.34,134905.67257588689
1.0,6.35,135118.4192577543
1.0,6.36,135331.1659384934
1.0,6.37,135543.9126180481
1.0,6.38,135756.65930133077
1.0,6.39,135969.4059809738
1.0,6.4,136182.15266199282
1.0,6.41,136394.89934382908
1.0,6.42,136607.6460250034
1.0,6.43,136820.3927063736
1.0,6.44,137033.1393875269
1.0,6.45,137245.8860670696
1.0,6.46,137458.6327500681
1.0,6.47,137671.37942906754
1.0,6.48,137884.12611051928
1.0,6.49,138096.87279173348
1.0,6.5,138309.61947349124
1.0,6.51,138522.36615384897
1.0,6.52,138735.11283556357
1.0,6.53,138947.8595160545
1.0,6.54,139160.60619702903
1.0,6.55,139373.3528795062
1.0,6.56,139586.0995610203
1.0,6.57,139798.84623960571
1.0,6.58,140011.59292140976
1.0,6.59,140224.33960365283
1.0,6.6,140437.0862822756
1.0,6.61,140649.83296448347
1.0,6.62,140862.57964725659
1.0,6.63,141075.32632783605
1.0,6.64,141288.07300776668
1.0,6.65,141500.81968997876
1.0,6.66,141713.5663710534
1.0,6.67,141926.31305089963
1.0,6.68,142139.05973313318
1.0,6.69,142351.8064143723
1.0,6.7,142564.5530963969
1.0,6.71,142777.2997751025
1.0,6.72,142990.04645535944
1.0,6.73,143202.79313399724
1.0,6.74,143415.53980958826
1.0,6.75,143628.28648422778
1.0,6.76,143841.03315676958
1.0,6.77,144053.77982190833
1.0,6.78,144266.52648252767
1.0,6.79,144479.2731354526
1.0,6.8,144692.0197795029
1.0,6.81,144904.76640997594
1.0,6.82,145117.5130371488
1.0,6.83,145330.25966160672
1.0,6.84,145543.00627701488
1.0,6.85,145755.75292881927
1.0,6.86,145968.49961285378
1.0,6.87,146181.24639736197
1.0,6.88,146393.99331546153
1.0,6.89,146606.740578218
1.0,6.9,146819.4882746754
1.0,6.91,147032.23657665457
1.0,6.92,147244.9861495637
1.0,6.93,147457.73714905404
1.0,6.94,147670.49120501583
1.0,6.95,147883.2475169324
1.0,6.96,148096.0188619368
1.0,6.97,148308.67985257806
1.0,6.98,148523.1489394807
1.0,6.99,148915.7855455077
1.0,7.0,197105.1387297716
1.0,7.01,197395.1822016689
1.0,7.02,197677.4446955152
1.0,7.03,197958.61023099697
1.0,7.04,198240.4407096456
1.0,7.05,198522.01698185777
1.0,7.06,198803.5217792976
1.0,7.07,199085.28616416943
1.0,7.08,199366.9497769424
1.0,7.09,199648.23897889227
1.0,7.1,199925.38470042168
1.0,7.11,151302.39493474746
